index,P07585_N,P07585_C,P07585-2_N,P07585-2_C,P07585-3_N,P07585-3_C,P07585-5_N,P07585-5_C
1,45.0683183419863,32.4789099661733,0,0,0,0,0.842125531460926,1.00660911016398
2,85.4637543666532,64.9780372497406,0,0,0,0,1.56071274309296,1.50912525564767
3,61.7079402339955,42.7586297072955,0,0,0,0,1.22307047809366,1.16770486940502
4,74.0044305586651,41.2738318257066,0,0,0,0,1.1550799077847,0.984497213245281
5,119.488313329098,107.68436817614,0,0,0,0,0,0
6,88.5681441823028,71.7164464912572,0,0,0,0,0,0
7,69.1739616453667,39.8262204224945,0,0,0,0,0,0
8,92.3701208747195,57.9315063589023,0,0,0,0,0,0
9,91.5835197116673,47.6078847594034,0,0,0,0,0,0
10,79.31455132574,67.327929270868,0,0,0,0,0,0
11,64.2706960157424,51.7364242344299,0,0,0,0,0,0
12,68.8408132757949,45.6688648439585,0,0,0,0,0,0
13,72.2836090204293,51.1207155651736,0,0,0,0,0,0
14,118.058618353024,53.2301064960729,0,0,0,0,0,0
15,111.276492607678,60.2251840983026,0,0,0,0,0,0
16,76.3642221049109,40.3482908342969,0,0,0,0,0,0
17,64.9040718318531,36.1447396094315,0,0,0,0,0,0
18,74.4655470970145,22.1701223103836,0,0,0,0,0,0
19,34.986637319846,45.7506480738911,0,0,0,0,0,0
20,49.0384176258819,27.619774137083,0,0,0,0,0,0
22,86.3010727864599,35.6132579591352,0.861992727508321,0.60124933524459,0,0,0,0
23,55.4928323343131,46.1615054935562,0.91483842056814,1.24828783301884,0,0,0,0
24,44.6973579417027,36.9340391305698,0.846246460261799,0.940092377381309,0,0,0,0
25,71.9829611471793,60.0040216009676,0,0,0,0,0,0
26,56.7071429098174,56.4507686294107,0,0,0,0,0,0
27,57.3988777561768,58.3103847639285,0,0,0,0,0,0
28,64.8417406470713,46.2148188107165,0,0,0,0,0,0
29,65.5231463374659,57.6260453357562,0,0,0,0,0,0
30,65.3948389983093,87.9673579097736,0,0,0,0,0,0
31,90.3044757791052,42.809327770366,0,0,0,0,0,0
32,50.2552645663566,78.7551733774007,0,0,0,0,0,0
34,111.727827409565,88.3848003853948,0,0,0,0,0,0
37,33.0320490879679,38.0550272979384,0,0,0,0,0,0
38,60.5946078492079,30.7970243629588,0,0,0,0,0,0
40,30.3567028064458,39.7829698053429,0,0,0,0,0,0
41,53.2037855475349,42.6793656748416,0,0,0,0,0,0
42,48.6849972972327,35.013704411997,0,0,0,0,0,0
43,51.0439035990837,38.7310946066338,0,0,0,0,0,0
44,39.3910580109508,40.6372372997251,0,0,0,0,0,0
45,46.5712222083952,40.3163143861191,0,0,0,0,0,0
46,22.7546202887344,25.064977783538,0,0,0,0,0,0
47,50.9272594578389,36.2472186745998,0,0,0,0,0,0
48,30.4073633174351,32.7182033391626,0,0,0,0,0,0
50,17.712465134473,11.9323691726602,0,0,0.923605185705855,0.90448017020061,0,0
51,36.5975299507018,20.9894594699334,0,0,1.13612289927417,1.05301478354677,0,0
52,27.1702841181052,26.4876849478188,0,0,0.652430658662828,1.20305293584775,0,0
53,67.6498862025542,34.8460898277364,0,0,0,0,0,0
54,44.2853724198826,21.7467404930723,0,0,0,0,0,0
55,48.8019664492181,36.4287294819421,0,0,0,0,0,0
56,60.1388016944375,42.8904482430449,0,0,0,0,0,0
57,64.2481541172939,48.4165939763555,0,0,0,0,0,0
58,103.391598743864,36.0429136914496,0,0,0,0,0,0
59,53.5618220154121,34.703826752363,0,0,0,0,0,0
60,61.0148736947318,31.0910861759289,0,0,0,0,0,0
61,30.796871380451,21.432696420956,0,0,0,0,0,0
62,47.4421685465692,37.9008492464709,0,0,0,0,0,0
63,51.7006654500037,37.0291984524995,0,0,0,0,0,0
64,52.7638182665308,36.0392113379136,0,0,0,0,0,0
65,81.0541517487959,63.5066476993963,0,0,0,0,0,0
66,93.3869059075392,46.8593209775846,0,0,0,0,0,0
67,95.3918439862756,53.9395676971386,0,0,0,0,0,0
68,62.8225559268964,47.7154366580784,0,0,0,0,0,0
69,69.5061494938917,50.017597943395,0,0,0,0,0,0
70,65.4694073171816,41.5576213723459,0,0,0,0,0,0
71,52.46886980814,52.9338449382359,0,0,0,0,0,0
73,211.814620381584,79.5728632058368,1.26424127437269,0.9540152181767,0,0,0,0
76,82.8465633642237,66.9021096933243,1.10343084994381,1.1362432425843,0,0,0,0
77,148.635598079553,59.7979589370115,0,0,0,0,0,0
81,96.4079776842845,41.824817000793,4.17767044081203,1.55048125419997,0,0,0,0
82,68.4380796440396,39.2454580279619,4.30960243598334,2.64286440836281,0,0,0,0
83,42.4489543856459,53.4786901159087,2.46513461771382,5.76675543214129,0,0,0,0
84,60.327964822656,33.2122518009253,3.39554598319277,1.80770008941387,0,0,0,0
85,63.130910862297,41.7151454420062,0,0,0,0,1.40039862871721,1.00719923463286
86,69.1586858816498,49.2446321438017,0,0,0,0,1.35441281989955,1.08728374392091
88,58.6491377113105,52.9824069916459,0,0,0,0,0.84713385952324,1.50417762895639
89,122.061219947685,56.5593871128979,2.49439678564968,1.13210637062145,0,0,0,0
94,128.953948525257,150.872369891205,1.37364689976607,1.79079536054506,0,0,0,0
96,90.4630732212195,48.8967424461766,1.61821670950928,1.12579718395047,0,0,0,0
98,120.841655064248,50.4185834189616,1.66105670882236,0.603749680867996,0,0,0,0
99,80.6638116400143,57.83538021074,1.29922778066792,0.664111830263435,0,0,0,0
100,75.6279448481121,52.2755800447312,1.78817539815389,0.781096275849692,0,0,0,0
