patient,O75410.5_N,O75410.5_C,O75410.6_N,O75410.6_C
9,0,0,1.09663977290138,1.15960211488485
10,0,0,0.944284809888734,1.40829187492231
11,0,0,0.692376181239503,1.21833381994571
12,0,0,0.972529044977438,1.30059202900017
77,0.746421198559438,0.454809909136115,0,0
78,1.08552958727001,0.490199358076036,0,0
79,1.0471346985519,0.758042885342736,0,0
80,1.53336196374486,0.431682564079382,0,0
97,0.877050889106724,0.621851311371429,0,0
98,0.868547932810234,0.827159781948184,0,0
99,1.07835405476135,1.77798279892305,0,0
100,0.845549587271735,1.05989771613344,0,0
