patient,P84157_N,P84157_C,P84157.2_N,P84157.2_C,P84157.3_N,P84157.3_C
1,0.704829217119184,1.4627407051795,3.657569976747,4.24670870050851,1.0848558158809,0.792435568382946
3,0.923952276808734,0.915230881385466,4.44321896804979,2.45519403739044,1.04618298389556,0.938189713411903
4,0.76165519816504,1.34962927401718,3.43079369651478,3.97010022881843,0.955481885606977,0.87927434452147
5,0.748757632691404,1.2501315171442,4.37853563745713,7.92953929082672,0.932887395907674,0.96715645175198
8,1.10712541099108,0.956881164866134,8.59856975586906,4.62576073615794,1.17037292526267,1.07111209773442
9,2.35900163511973,1.92324037184855,2.71045506744674,1.93907072382331,0.740386590891186,0.754505670030633
10,1.85827633287717,1.88966948930685,2.09140920637512,2.71288382028523,1.18805717454673,0.710790591193958
11,1.91697030788926,4.00420671330597,1.47959441969246,6.82339367316043,0.739981864552615,0.83908266149276
12,2.52136904515346,2.40890947565451,2.02729540882749,2.54050636082356,0.979623110182884,1.1586650827758
13,1.81239771903241,4.77603798071287,2.69145648368472,11.234384628902,0,0
14,2.4638182935005,3.60742094284092,3.21509567414303,4.12811817439254,0,0
16,2.15388302489924,2.05919566268738,3.39014634585072,2.58708787515144,0,0
17,1.80502695578731,2.29656962734315,2.9226920825104,3.6422353045682,1.3578384112796,1.15672521745987
19,1.39260315417203,1.78638514920448,2.77016065653964,2.20613218103388,1.11052014751789,1.01489873376891
20,1.70702039479934,6.07894467060781,2.76370003407465,6.43391182709344,0.786278255446801,1.60256185107001
21,0,0,3.12990612874349,1.70512709230127,0.868810595567867,1.05485506529482
22,0,0,2.57116916838021,2.09184245668949,1.1976342995647,1.05485259200633
23,0,0,3.33937355446764,1.27800826294878,1.17224846656114,0.812781954887218
24,0,0,2.59057908299949,4.28496036037683,1.06160837950138,1.3104595370004
25,0,0,3.29623548255371,3.46158528705178,0,0
26,0,0,0.43427475770268,3.48980415889138,0,0
27,0,0,1.41175444981802,2.61751429187316,0,0
28,0,0,2.21623099156247,4.44826708782653,0,0
29,0,0,0.812476773718294,1.19643112376722,0,0
30,0,0,0.921855243917188,0.701861400943344,0,0
31,0,0,0.824926060712676,1.26906204303321,0,0
32,0,0,0.360614823040471,1.05074928809385,0,0
34,0.875038663779771,1.7793774428479,2.61138528347166,3.38271340588748,0,0
37,0.891630685514875,1.25253839632499,0,0,0,0
38,0.968032964649751,2.15801738924706,0,0,0,0
39,0.738080873799807,0.474560832791152,0,0,0,0
40,0.503949054632204,0.820082411624376,0,0,0,0
41,3.49464012092471,3.20056545075332,4.11638247521334,2.79384660316796,0,0
42,2.9120065503768,3.9593846582699,2.0753793662867,2.22146617251128,0,0
43,2.84029793849529,5.08130583666085,1.2056152131757,2.37180315456763,0,0
44,1.85471028554365,3.76042107292439,1.10023121052927,2.85103211120454,0,0
45,0.780104113421754,0.718254822307713,1.07575716040177,1.04790506162551,0,0
46,0.56372911678459,1.00444903284819,0.426479779814904,0.829447015219966,0,0
47,2.00331911974389,1.73698245944419,2.28327996841967,1.34355125224791,0,0
48,0.567740980872185,0.837460654811547,0.203823084345805,0.329107088030177,0,0
49,1.99643881208296,2.99977429949358,0.456606702065539,1.08947936481296,1.41243112681262,1.01163860164866
50,3.12381123194657,2.4667824831321,1.57286533554896,0.762382207806274,1.15915400947248,0.673036093418259
51,3.82887587428289,3.68148765406768,2.4080474273688,1.39421364248554,0.848882986496128,0.850314173478773
52,3.21951632951199,7.07324061721066,1.54983934743963,2.45197695991106,1.03762345599422,1.31486543404076
53,1.1590863501515,0.635812244639407,2.8575064231686,1.68356315980307,1.33086985918193,0.616154334190028
54,1.39723286774565,0.503509327590029,2.34245463897764,2.31648919342479,1.3541850064226,0.891993986817253
55,0.929517836970407,0.629641360233955,1.57376656676738,1.75993385889475,1.10784453651508,0.705736380484868
56,1.38446879717902,1.14877690854,3.33691964544242,3.31340819889395,1.20460552291875,0.965689854368881
57,0.921031657319479,1.38709504971667,4.91835347076371,5.79814925180793,2.30118901762938,1.95405719608321
59,0.822414781839565,0.867436797138497,3.57925887944617,2.33234032742205,1.97106903755059,1.80108796556338
61,0,0,4.02256899365149,5.72513118564519,0,0
62,0,0,2.39970280568702,4.98041831391922,0,0
63,0,0,3.54882644771239,7.51879786505582,0,0
66,0,0,4.00782172418037,1.10701276493297,0,0
67,0,0,3.15934730907769,2.11921613146641,0,0
68,0,0,2.64733476312675,1.40892435407493,0,0
69,0,0,0.997149145641317,0.799851353437721,0,0
70,0,0,0.788017076402179,0.70823264982245,0,0
71,0,0,0.679185531734605,1.37830550099995,0,0
72,0,0,0.312684147598137,1.45442043997946,0,0
73,1.67492254220808,3.64254456465449,1.84979474090503,3.62542707045038,1.24606267215513,1.4284998835825
74,1.87409616681931,3.9196837761049,4.05333977375656,5.49097614323808,1.44301912322244,1.22097360178185
76,1.55493753627844,4.44451425709422,2.83388772591151,2.88854788612811,1.3505221215223,1.04529299869525
77,3.66984598161688,3.49064818341011,2.79611045898118,1.25709575404839,1.10410754646778,0.85876681975443
78,3.85796417864708,6.90563588171676,3.32564344699164,3.27063816990841,0.96829861554609,0.980107846349496
79,3.58587401852158,4.0120309768395,3.2532416639632,3.30839157694347,1.0018812024146,1.11472558046548
80,2.50373991363557,4.81407291617547,2.10244213377638,3.03076487384281,0.669251295322401,0.932809836120197
81,1.15422014968783,1.11102978244852,3.93397265542347,3.73717341560667,0,0
82,0.716591693488967,0.833099042153023,2.58409398884817,2.7550865563497,0,0
83,0.751628727653469,0.760378291387133,2.68454593655355,2.84563694360407,0,0
84,1.16687187342459,0.913018187458797,3.96760181069532,2.3523229910341,0,0
85,1.97293920537852,1.70178011047216,2.41896266519342,1.84028991280945,1.14843545943687,0.795160110745442
86,2.31610222564882,2.28729569318927,3.37118941859153,3.90684283564781,1.11519876717338,0.984001985059813
87,0.893877910139476,2.35949091395572,0.968338374831706,3.38232702204735,0.569509089484407,0.933004231311707
88,1.54342034426689,2.40399751630876,2.82735072708802,5.46957391351318,0.711284803844747,1.22430522906545
91,0.814044786860263,0.909181729670237,2.78763074348455,1.92509896066767,0,0
92,0.875274097278076,1.41580662913263,4.35708422763684,4.22745006177946,0,0
93,0,0,3.3870783465711,2.96735791146906,1.10894230213332,0.828445684222698
94,0,0,6.41886292550822,5.17549177702095,1.36726021853501,1.38316615598081
95,0,0,2.02316479348428,2.77416547120804,1.48397120888015,1.59472740937735
96,0,0,3.16779902850523,2.77884772696759,1.28248395675551,1.68325432155865
97,0,0,2.04871378752726,1.86278113351264,1.08818131464578,1.15700774577334
98,0,0,3.63806113349349,2.93979925217376,1.12454008928215,0.998442510943227
99,0,0,2.18066734149557,2.22382009186914,1.28715792105597,1.27367878220677
100,0,0,3.32483133723898,4.60727338114417,1.45296365685234,1.40015314440893
