patient,Q03001.11_N,Q03001.11_C,Q03001.13_N,Q03001.13_C,Q03001.3_N,Q03001.3_C,Q03001.8_N,Q03001.8_C
1,0,0,0,0,1.12438638146896,2.96132577526914,0,0
2,0,0,0,0,1.54224372219339,1.6368406695753,0,0
3,0,0,0,0,1.96529910674485,3.26620829792279,0,0
4,0,0,0,0,1.41753607127985,2.56847881494015,0,0
5,2.95551845668707,0.283030977555185,0.550242869553901,1.27465363389833,1.1712732136963,1.21347045845422,0,0
6,0.717239844184752,0.571790020404378,0.434907090524746,1.63413398802008,1.17363584246825,1.41089762521064,0,0
7,0.737866815062141,0.216182526432944,0.424754404538724,0.804656201527212,1.59378420165731,0.819793964873269,0,0
8,2.6850306065665,0.48408273047672,0.669321055612028,1.07719945552198,1.85444643260428,1.96806108090266,0,0
9,2.66645873933239,0.460227617634192,0.871542593050409,1.10618448811868,1.22947541399581,1.39891614961244,2.07868318733292,2.82015663581186
10,1.36415053659905,1.19770331002175,1.02387408909424,0.820405057648534,2.12466091915829,1.25634813709439,1.61558273573365,1.5163666646046
11,1.52296375994022,0.464652702043619,0.565320701594381,1.08648112732634,1.0714495441666,0.669148929743054,1.52234101772758,2.15619834518571
12,1.28484649311014,0.499913131029806,1.20282343959553,1.37878692778978,1.01625292258988,0.620802194283505,2.00201431527503,1.99071854799693
13,1.18306954512361,0.827598050077554,0,0,0.708905987057823,1.62325428080706,1.21072301222994,1.92086921766064
14,1.94316419233326,0.822015763983413,0,0,0.911868288197637,1.58610190662896,2.99691324071938,2.40287915084891
15,0.999808489759742,0.930837896869362,0,0,1.01689769434951,1.6811471001544,2.83055233449062,2.00328086708357
16,1.70344401886613,0.843077142224051,0,0,0.817768602210232,1.89835360247046,2.29719481980695,1.74872890115562
17,1.0328810919586,1.3745370715422,0,0,2.45166025593547,2.41711757367027,0,0
18,1.81027964605409,0.97865067759105,0,0,1.51777024030425,1.52667565538284,0,0
19,1.35240645696854,2.5614406616311,0,0,1.27779148718942,1.94642085152633,0,0
20,1.16062750097019,0.792862484868889,0,0,1.64557483030129,2.48733919709923,0,0
21,1.7313701386552,0.681369108527398,0,0,2.13939826777807,2.45996872537158,1.13032964235713,0.6424480445099
22,1.74943858034654,0.511805951391703,0,0,3.8861541331069,2.6716223894179,1.2474044982636,1.48051176688061
23,1.22193073420642,0.653531621489839,0,0,2.08242315258438,2.51020155697754,1.61344751722759,0.702382467560016
24,1.64396722820078,0.448713370372151,0,0,1.94902633150179,3.43340281858048,1.70829772662533,1.22491318023964
25,2.63021365739942,0.419374666450717,0,0,0,0,0,0
26,1.66344512267976,0.536562311652519,0,0,0,0,0,0
27,1.09322785431895,0.596656940081937,0,0,0,0,0,0
28,1.59907177051278,0.574643351184581,0,0,0,0,0,0
29,0,0,0,0,1.5376389156283,2.44729762433454,0,0
30,0,0,0,0,1.46415916617002,2.74462378004677,0,0
31,0,0,0,0,1.1991859886448,2.6333294571833,0,0
32,0,0,0,0,1.58192117458209,3.04376156790074,0,0
33,0.400301557900012,1.26648054190939,0,0,0.640914601220025,2.5353339325267,0,0
34,0.701427254749313,0.987239716159745,0,0,0.895506100770243,2.17864845324993,0,0
35,0.886568593236871,1.97232289066065,0,0,1.15072334676244,2.20209804623163,0,0
36,0.390067380741457,1.39216844290534,0,0,0.476404086186621,1.88059814752844,0,0
37,1.74308384724014,0.432206209552063,0.812818660336464,1.11386933636082,0,0,1.82762766251437,0.886594181852746
38,1.52758587408183,0.545530280709953,0.60788523067396,1.721973371865,0,0,0.93144746083127,1.2955771590107
39,1.5418093244877,0.47955759989434,0.374937764475178,1.13764062338735,0,0,0.713915570505475,0.518972257572797
40,0.965878958437046,0.739186367838747,0.642212818660336,1.72757560119723,0,0,0.576127536660453,0.490529272916414
41,1.91581941891839,0.835421147303797,0,0,0,0,0,0
42,1.50040081335784,0.548127908340828,0,0,0,0,0,0
43,1.50769366128338,0.603922105345482,0,0,0,0,0,0
44,0.762436945215657,0.538254213428225,0,0,0,0,0,0
45,0,0,1.13051297865383,0.615760651354159,0.65313690239184,1.000615354915,2.22216209326215,1.69748469761371
46,0,0,0.828226864633737,0.735070719279437,0.580766338075186,5.0695592369599,1.60679907586034,1.76064737757655
47,0,0,1.1197426207319,1.15010617205254,1.03548144483725,1.36740710352844,2.86708289647043,3.00476059003722
48,0,0,1.17110671429577,1.70670022227833,0.342669835945575,2.35840602967378,1.29244028411432,2.11129668789098
50,0,0,0,0,0.555251982449785,1.04700016101115,0.57747991099624,0.428170273132719
51,0,0,0,0,0.899539105583061,1.64335527110252,0.860671706326457,0.533723777412867
52,0,0,0,0,0.401121543291873,0.75976633256853,0.811981985483448,1.25240242136868
53,0,0,0,0,0,0,2.52924218206227,1.39323305556813
54,0,0,0,0,0,0,1.86022971656743,0.95622080798645
55,0,0,0,0,0,0,1.80241545561898,0.818038778845885
56,0,0,0,0,0,0,2.23108397926135,1.357037039581
57,0.947622282608696,0.968948143115942,0.787257110503427,1.48801564451298,0,0,1.1713402846331,1.60140568443567
58,0.907699275362319,1.03380887681159,0.937205109363016,1.07494990623733,0,0,1.23572721289898,1.03627323955248
59,0.830932971014493,1.00872961956522,1.04399015391534,1.17213381359097,0,0,1.04449191757157,1.00397437479434
60,0.924462182971014,0.774060235507246,1.03642087594817,1.03411194500327,0,0,1.24700765054294,0.95127406219151
61,0,0,0.987809061516428,0.602167182662539,0,0,0,0
62,0,0,1.51111892489902,0.861868905602772,0,0,0,0
63,0,0,1.44605627642513,1.15156985669322,0,0,0,0
64,0,0,2.13843554625524,1.50287728446095,0,0,0,0
65,1.47371528347648,0.174401635756879,0,0,0,0,1.19210835922652,0.925765483121663
66,2.24854796943669,0.314595984463045,0,0,0,0,1.2060152644122,0.754013695737428
67,2.79448638692853,0.512838047303828,0,0,0,0,1.16104256538659,0.854028779148692
68,1.58017169064683,0.294643671243868,0,0,0,0,1.08595734411294,0.871362635373616
69,0,0,0,0,0.815528169211061,0.915327340161894,1.16364498595557,0.728346648183952
70,0,0,0,0,1.00402217510727,1.32219916200023,1.20804606087136,0.835667992071888
71,0,0,0,0,0.844528107675697,1.41502805453152,0.98690402363842,1.06496309536838
72,0,0,0,0,0.451721032227748,1.11378448078139,0.873916268437116,1.07842386215786
73,0,0,0,0,0,0,1.15026343347078,1.69919497349303
74,0,0,0,0,0,0,1.32912821519733,0.545220564173048
