patient,Q14978.2_N,Q14978.2_C,Q14978.3_N,Q14978.3_C
1,0.616424962503007,1.81089741949025,0.51875312281403,1.13339412411312
2,0.655370644333987,0.843823106337888,0.790546617367842,1.04002823023883
3,0.779067207920184,0.967504312794025,0.730176376536425,0.741599630258819
4,0.636082088979212,1.33883971763357,0.634986759268512,1.05889002698111
5,0.675418481999541,0.990201979668272,1.13938411688739,2.48457671058582
6,0.487072919055263,0.675227394328518,1.100176181137,2.20521155141246
7,0.727719177558664,1.19268325307651,1.22329327197369,2.54018781571078
8,0.786120347015211,0.80297427959948,1.54770070634587,2.05901873645999
9,0.756701109965841,1.49066793876873,1.22056446627238,2.89142196695487
10,0.61175303047082,1.11211251288429,1.35428054799011,2.19611261750801
11,0.730472523447283,1.50931502415006,1.29901360955101,4.39840786546597
12,0.608337947542827,1.4102018042269,1.17677621188914,2.50515672164069
13,0,0,0.516973833730932,2.14725581535359
14,0,0,0.900971545969702,1.38063003740189
15,0,0,2.25280137867716,1.35202925926205
16,0,0,0.769169407213973,1.73077038854313
17,0,0,0.797625574948978,1.09412409759664
18,0,0,0.495963934326358,0.561782265679734
19,0,0,0.556325961802065,0.878198391665905
20,0,0,0.741120655517987,1.58356940509915
21,0,0,1.44431052294876,4.11638497144519
22,0,0,1.83900204712138,2.07690387182526
23,0,0,1.84715819755644,2.33197729923064
24,0,0,1.89750194310208,3.63160443299638
25,0.638867666372048,1.36631062773708,1.09163274493318,0.993210492593589
26,0.620221812752486,3.50870622543806,1.61135578162105,0.948126543746531
27,0.587089718814136,2.12973699059718,1.46276310680999,1.02024704708233
28,0.562137032542857,2.15872944536825,1.2766560514864,1.02787378018717
29,0.771717553808033,1.11812607147567,0.977855671079743,1.09226408987203
30,0.676074251962492,1.2471143902219,0.963811192951709,1.77859618375451
31,0.660917426098544,2.76733968641768,0.909259566271148,1.90823326938714
32,0.693332384766479,1.18084427077188,0.927527650806433,1.11849781714547
33,0.342954628090588,1.53625597340536,0.236973636233053,1.27335005469432
34,0.605700057136921,1.63072992416372,0.529686861209021,0.923820204855088
35,0.591828121753584,0.933208238105132,0.640851684474548,1.28745455951736
36,0.19939454342406,1.31450953147725,0.362255947316664,0.948344253781643
37,0,0,0.86605332942618,1.55075408600783
38,0,0,0.632570848018703,1.2903347861719
39,0,0,0.766549720407739,1.11159861081369
40,0,0,0.74167542824389,1.72110651877446
41,0.94099540326214,1.238973657762,1.1256440155911,1.50606965821297
42,0.81576186440411,1.99912728143441,0.690668103748647,1.5869752056901
43,0.616580392502812,3.43145378529863,0.931791257648048,3.93101077346911
44,0.574412647802923,1.41420735415045,0.654036450469452,1.76286289030016
45,0.670602892853243,0.932243301466282,0.214687708083633,0.71185777067519
46,0.58715986141307,2.56760083787513,0.329324810227727,2.87159408709549
47,0.731358767410231,1.46056328240561,0.388320681848449,1.20455453455853
48,0.47374790283031,0.900866664681181,0.280820348914636,0.796689306165934
50,0,0,1.00350172654573,1.08944271133684
51,0,0,0.486010463492416,1.86316864565168
52,0,0,0.646181103182819,1.85123220476763
53,0,0,0.951727459273839,1.11321244608233
54,0,0,0.814921060345911,1.23503496796348
55,0,0,0.786372963691947,1.70559068637715
56,0,0,0.65354495581892,1.16157293018971
57,0.627263304505555,0.908305801185502,0,0
58,0.718540472257312,1.19090305444887,0,0
59,0.774726298059793,1.32438538528812,0,0
60,0.617019725974152,1.52940676319114,0,0
61,0,0,0.706563693186149,1.22088365936982
62,0,0,0.592253428407099,1.89988843384681
63,0,0,0.620172685002321,1.19266296627376
64,0,0,0.618707079946504,0.885346721271716
65,0,0,0.71778512067348,2.17722853655904
66,0,0,0.677602138664497,1.75965761442602
67,0,0,0.701907031191625,1.26838329915566
68,0,0,0.473910119635696,2.01728532407907
69,0.79736351272586,1.60867495628521,0.529079616036138,1.63807235674243
70,0.904922284826112,1.25999611424131,0.89373825946716,1.15024560548857
71,0.688288323295123,1.47230425490577,0.822455464399198,1.2280864915136
72,0.576024868855644,1.21587332426656,0.412214951856896,1.29175570096286
73,1.08502113281961,0.94825128272761,1.70842900587108,2.67219982740925
74,0.865968310190855,1.06601729562711,0.950465911867418,2.55708551881354
75,0.864134496423435,1.49063310536265,0.951974676670478,3.62030806937757
76,0.576106411439983,1.35089272817479,1.15963970782701,2.19893562681722
77,0,0,0.699270372566008,2.87973459802089
78,0,0,0.818363810479274,1.5376442154225
79,0,0,0.481020566373296,0.778517032240412
80,0,0,0.47959323270555,1.12752063477587
81,0.770944603708946,1.2708791797019,0.504015180067392,0.886352865666852
82,0.485886257389939,0.974192013513031,0.314312848203058,1.37233518544087
83,0.583936621980087,1.02144955809057,0.347410096909132,1.83982752637294
84,0.560119904361997,2.02183020685881,0.576174608090812,1.89280663325659
85,0,0,0.358808949898544,0.822288951532731
86,0,0,0.765146872574253,0.880009805123177
88,0,0,0.767564107801882,2.31550707466874
89,0,0,0.56291074727555,1.19598462410199
90,0,0,1.08618570681886,0.86008497867685
91,0,0,0.600546852068981,1.03620305100761
92,0,0,0.571140211677583,1.52203182854838
93,0,0,0.851421990495417,1.12626621346998
94,0,0,0.816663716556392,1.07627864874493
95,0,0,0.92630923279955,0.797092162191835
96,0,0,0.539498242257081,1.27853671542938
97,0,0,0.582213723633028,0.842295572195317
98,0,0,0.53964830137427,1.40901644715287
99,0,0,0.608348076797064,1.42749492169583
100,0,0,0.885137992863568,2.04153189055882
