patient,Q53EV4_N,Q53EV4_C,Q53EV4.2_N,Q53EV4.2_C
33,0.529597658019644,0.522957824249576,0,0
34,1.01345316796631,0.707379138363836,0,0
35,1.73730383091695,1.48475055182774,0,0
36,0.391136056004836,1.24261418324674,0,0
53,0,0,1.03845140900711,1.73449260496514
54,0,0,0.741374769554912,1.08717408480379
55,0,0,0.78429646673967,1.42073382032907
56,0,0,0.814230070831543,1.11676808560775
65,2.28808827385888,4.90744505715716,0,0
66,2.37258385181878,3.31874533195667,0,0
67,2.53880416138625,3.17336569333418,0,0
68,3.10668194528338,3.35480336656218,0,0
97,2.18839427165194,0.502684458693651,0,0
98,0.993644213729751,0.712098536603693,0,0
99,0.978966417653431,1.26000488424955,0,0
100,1.29169614958327,1.3239384584557,0,0
