patient,Q53S33_N,Q53S33_C,Q53S33.2_N,Q53S33.2_C
1,0.993279154013317,2.6810538988489,0,0
2,1.67085169442755,2.4703194311752,0,0
3,1.28530578012065,1.79441245510499,0,0
4,1.18843124611553,3.21334795221553,0,0
5,1.64502939792482,3.920841714839,0,0
6,1.13031526860012,2.45113302597942,0,0
7,1.26068011008401,4.47596668902054,0,0
8,1.53949989996305,2.9132869183647,0,0
9,0.590336529422824,1.70096053598592,0,0
10,0.658039788750449,1.18581329368131,0,0
11,0.633573467329812,1.24460339434959,0,0
12,0.704571091626929,1.47903314020065,0,0
13,1.92170228107152,4.20847184337582,0,0
14,2.42986043369664,4.76300436627651,0,0
15,2.5661533559725,4.97561313279437,0,0
16,2.13021153577607,2.92586623066451,0,0
17,0.96927104576052,1.14884805638929,0,0
18,0.641630325277223,1.05437090178936,0,0
19,0.450929537793302,0.977714100459104,0,0
20,0.66417070169384,1.73034863331974,0,0
21,3.19484400305346,7.44952569525481,0,0
22,2.81265337440094,5.08078903489238,0,0
23,3.92060670819954,5.12174240557328,0,0
24,3.51025404131572,9.44623954883882,0,0
25,1.41974866709804,2.36495984041975,0,0
26,1.5888509541351,2.85406776359496,0,0
27,1.48581154693578,3.56340909623627,0,0
28,1.50067722580259,3.38835393698622,0,0
29,1.82060389362639,2.58362241870526,0,0
30,1.93138324750294,3.89857710704324,0,0
31,1.78907508500408,3.27020553499333,0,0
32,1.63366874737563,2.78652385339364,0,0
37,1.78147876420953,4.73919296052008,0,0
38,1.68971230122674,3.44517245352993,0,0
39,2.66887256687953,4.64017997981824,0,0
40,1.50430553041361,4.45663111295896,0,0
41,3.19841837760471,3.84942026771409,0.861109935232612,1.00008466325192
42,2.97627728043544,3.99442604534958,0.271761983377782,0.941434195487449
43,2.17955995602795,4.59671625398253,0.296537272996656,0.928650044448207
44,2.1498779224365,3.85820422595119,0.145316005587775,1.03227080952179
45,1.09749760851513,2.0941654531666,0,0
46,1.04731002304681,3.07864290461533,0,0
47,1.11089780378883,1.96220015318849,0,0
48,0.740961530490705,4.39608833434269,0,0
49,1.12060259561772,3.99011950007014,0,0
50,1.39878302593289,2.9059332508032,0,0
51,2.08621837150534,3.79081500204251,0,0
52,1.77194452340716,4.82488191862089,0,0
53,2.31947823132695,3.68678589551693,0,0
54,2.38231536444453,8.14686380513168,0,0
55,2.18805923616583,5.21642998529257,0,0
56,2.1759921312308,4.46327456632094,0,0
57,2.06694386284619,4.91440237659287,0,0
58,2.45689775277121,3.73879345001682,0,0
59,2.38999409790423,3.55776760444998,0,0
60,2.78643049671541,7.14708703270233,0,0
61,3.49959495456415,5.78804712097043,0,0
62,2.6300683761957,9.17315951514509,0,0
63,2.96274105420851,5.6103249377433,0,0
64,3.21604551015284,7.27808885389858,0,0
65,1.86552391812327,2.62562881864729,0,0
66,2.23434046272165,3.40029075286678,0,0
67,2.35035965109588,3.18401691726014,0,0
68,1.99672994706485,2.65757435298906,0,0
69,2.09510473425247,3.80399476664849,0,0
70,2.73463203972505,3.85463838676005,0,0
71,2.01049109040634,3.49871474308353,0,0
72,1.42282915057526,3.433711161831,0,0
73,4.62830175403857,7.36362427074121,0,0
74,3.61061040388146,6.87585519036175,0,0
75,3.06920226765665,8.43571016080472,0,0
76,3.13639698000206,7.13833577098102,0,0
77,1.92691617140999,2.21750689715657,0,0
78,1.70298189470721,3.23866021443189,0,0
79,1.31002959422954,2.28788547261971,0,0
80,1.08061730767003,2.03345240768485,0,0
81,1.70441754503955,8.08715534853247,0,0
82,1.78828798120115,3.18788111193541,0,0
83,1.61133647982428,3.91843147625166,0,0
84,1.42673045268616,1.78260118093557,0,0
89,0.964398246283464,2.82555408337067,0,0
90,0.805430953826894,2.39854581706218,0,0
91,1.14839752924969,2.31168249208242,0,0
92,1.2661294207024,3.31808168421519,0,0
97,1.3549272449473,1.79828224978444,0,0
98,1.36879142092609,2.57375935554695,0,0
99,1.44433489681765,2.97209989890843,0,0
100,1.68332703799975,2.69423449107908,0,0
