patient,Q5EBL4_N,Q5EBL4_C,Q5EBL4.3_N,Q5EBL4.3_C
1,1.53837883164107,2.06730521721567,0,0
2,1.46045197978353,1.37781495212015,0,0
3,1.77679032524374,1.77588270301837,0,0
4,1.66080769658576,2.32155168959112,0,0
5,1.64977497399616,2.83151149279653,0,0
6,0.895975745500927,2.34386373200249,0,0
7,1.69046040579723,1.77179705069977,0,0
8,1.68827923481627,2.50681164340907,0,0
9,2.37893649076745,1.89687823464809,0,0
10,1.69998761701493,1.82994758348935,0,0
11,1.68008038884203,2.20155438391181,0,0
12,1.66645657822025,2.01576501916084,0,0
13,0.910420767062078,1.30625742504034,0,0
14,1.25738603117187,1.47465645335745,0,0
15,1.25666613472348,1.20097168289093,0,0
16,1.13819884036385,1.17201624199869,0,0
17,1.2976678434067,1.52157619984047,0,0
18,0.746159799717267,1.03376217215154,0,0
19,0.803792419898753,1.21715987079552,0,0
20,1.01474084077681,1.2180641441783,0,0
21,0.850301449674039,1.17375985949395,0,0
22,1.06833447071292,1.20788477374963,0,0
23,1.01845905345331,1.13553685198019,0,0
24,0.936594174147803,1.83758219551291,0,0
29,0.987110623387625,1.39397789842517,0,0
30,0.766409649224135,0.935761041161295,0,0
31,0.815310346155327,1.17513765353664,0,0
32,0.683386277001271,1.48146971622194,0,0
33,0.560172950288714,1.13305488548799,0,0
34,0.897410117115005,1.19563014390004,0,0
35,0.921004001859851,1.34681858102872,0,0
36,0.2668855038886,1.28073821796028,0,0
41,0.882372716528472,0.881993495072448,0,0
42,0.815137682980169,1.32895018472505,0,0
43,0.615926603199419,0.892418595345115,0,0
44,0.46030970527746,1.32379696064472,0,0
45,1.77633389970282,1.95104293959183,0,0
46,1.05503304905001,2.72178383562309,0,0
47,2.04966079578337,2.31000794437066,0,0
48,0.861569945840356,2.04414528777213,0,0
49,0.416996010965452,0.971048747056549,0,0
50,0.800776719502337,0.62022458088778,0,0
51,1.39990949987699,1.37442448950901,0,0
52,0.787131409693178,2.06963237619935,0,0
53,1.90468455662416,1.77188845115219,0,0
54,1.32789496254201,1.98416216622392,0,0
55,1.44998629614944,2.52753813009829,0,0
56,1.44417984243385,1.85942234718292,0,0
61,1.20202122742552,1.86120326918582,0,0
62,1.56506570046461,1.57140680540502,0,0
63,1.46216002036151,5.4326107622276,0,0
64,1.68049777913813,5.08937323498994,0,0
65,0.94245819839684,1.01013459197501,0,0
66,0.860095259422587,1.16806914490457,0,0
67,0.811325765405728,1.01996485909185,0,0
68,0.899333069202324,0.914804830152277,0,0
69,0.989047708086621,1.2244336872139,0,0
70,0.970470709630953,1.68047562656251,0,0
71,0.973697878794174,1.67410785393251,0,0
72,0.473500509006295,1.23336034183062,0,0
77,2.55830257081496,1.95203514129217,0,0
78,2.43872578633655,3.0786830197303,0,0
79,2.16858152805664,2.40579618157822,0,0
80,1.87137150229429,2.07124426181555,0,0
85,0.945691148835042,1.17783989488947,0,0
86,1.19975188052576,1.48746054429247,0,0
87,0.365190512832593,1.07912603317682,0,0
88,0.869847202374409,1.91524678465428,0,0
89,0.740484108599751,1.98033588254331,0,0
90,0.623821558140723,1.30470652858919,0,0
91,0.812977976869752,0.867658956583945,0,0
92,1.0455791929962,1.61571085486536,0,0
93,0.956758493975538,0.693578152255863,0,0
94,0.833253492287759,0.812316946716714,0,0
95,0.671455108108818,0.789902836479475,0,0
96,0.753495319697696,0.827365467838208,0,0
97,0.70791432612649,0.826421499292786,0.91994815475342,0.598673371631634
98,0.896657910689028,0.843871489189735,0.802427842621168,0.839060951313866
99,0.952095372802586,0.882117599515054,1.13485067972301,1.02427179638476
100,0.70527702566175,1.16605374823197,1.14996005529276,1.26817318433902
