patient,Q5JWF2_N,Q5JWF2_C,Q5JWF2.2_N,Q5JWF2.2_C
5,0.808854581187974,1.25966832881251,0,0
6,0.623154449623987,1.18341806487242,0,0
7,0.948893075836081,0.735852810759011,0,0
8,1.34761316939269,0.991476765150162,0,0
17,2.22873769583423,2.51030557314006,1.071880245689,1.18940513886769
18,1.65278735563724,1.44619652858434,0.789211525255608,0.719048050511216
19,1.80009011824795,1.55504186537788,0.688124713871509,0.926190771402411
20,2.1537001368229,3.23894663574303,1.0959102701053,1.2919535899588
21,0.705143273433706,0.865739679456047,0.834289888892393,1.04449560089559
22,0.772579893152016,1.0251869839728,0.937377145680258,1.18207141580734
23,0.757659057795046,0.555423020883924,1.14330989246634,1.07228827010606
24,0.624191355026712,0.808032054395338,0.85075630958763,1.28673541252772
25,1.11352180709123,0.873800689144959,0,0
26,1.10798043680391,1.12084649108919,0,0
27,0.816649730703797,1.17346647974737,0,0
28,0.944017766928526,1.7351829515785,0,0
29,1.00631920289353,1.1501318810253,0,0
30,0.899668796164133,0.896296706900773,0,0
31,0.732417788001829,1.43453296563702,0,0
32,0.691800279929602,0.991237187215624,0,0
33,0,0,0.383421007799288,1.02498618400003
34,0,0,0.752055779243174,1.15283612354205
35,0,0,0.690041676535238,1.36346260123077
36,0,0,0.314874949618346,1.20565895048263
37,1.08552525007087,1.19670048191795,0.764364417825421,1.11165790315847
38,0.402783683635038,0.991093123557283,0.717183469925378,1.34317982888376
39,0.744755598752683,0.523984530028753,0.646969436867772,0.864558762130624
40,0.312626554084153,0.894919612845746,0.418819395434498,1.17649938644846
41,1.26586103611454,1.25478090826918,0,0
42,1.16200736115132,1.15471414983429,0,0
43,0.937072790325344,1.03067934092292,0,0
44,0.702883609918058,1.20106990730621,0,0
45,0.786528948594364,1.08424294199111,0.855056981142427,0.949911762285463
46,0.648311168035258,1.0155662718506,0.530066353542157,1.13174393689556
47,0.881881407933302,1.41308694035108,1.02016513711135,1.57796160211649
48,0.718291480122316,1.37734150976208,0.484418956935728,1.20371025111935
49,1.45447284919738,0.672706733917098,0,0
50,1.06443953577056,0.936776440284063,0,0
51,1.07582941798637,0.742774296136938,0,0
52,1.00949756445033,1.0134980537188,0,0
53,0.897779487379831,1.28295082656922,1.76763232233989,1.55645133165157
54,0.863740041651516,1.4804769789729,1.18599528022227,1.75809395380198
55,0.745964821598685,1.18878414237245,1.11077527580475,1.32961137396682
56,0.74161335012216,1.05540312716935,1.16508759488962,0.895810325385662
57,1.04932856813634,0.987185912185272,0.951641147252349,1.31498862004304
58,1.41465627297702,0.916706600188023,1.04151179268915,1.27614407932092
59,1.07093290802609,1.11091154511634,1.06842765735117,1.02075112487415
60,1.18752171956791,1.06397898826137,1.30780278558443,1.07714990528631
61,1.12787988935852,1.56868711883046,1.07826400197568,1.28529994485181
62,0.957711954400265,2.083237144644,0.789612458662072,1.88565942931841
63,1.38072672478562,1.51211557753088,0.858452991278417,1.43902783219354
64,1.27371593346401,1.22096815489807,1.12449377865338,1.54504975406138
65,1.1639609821022,0.859785996987846,0.78770832734544,1.2593996230707
66,1.11557826345837,0.989610696648103,0.947061552800897,1.11958266782182
67,1.3327904451683,0.974532415677209,1.0076494475399,1.41579654029818
68,0.955461279815068,1.27196945816259,0.827639018341429,1.97933869027334
73,0.997631521270353,1.01463507752349,0.978537972299874,1.04030893437797
74,1.12053082203887,1.09032741567155,0.928060301614161,1.18292055442687
75,0.947462192716398,1.04460517106072,0.901877264360621,1.36184681650125
76,1.00779830459343,1.16157973996225,0.918774765408261,1.50284586699484
77,1.37100765186052,1.03176396229206,0,0
78,1.25516735923401,1.00583639273275,0,0
79,1.13819520088935,1.29239341411044,0,0
80,1.06031163289,1.16667339062143,0,0
81,0.831977008412593,0.819843649358675,0,0
82,1.55578696816424,0.689074091632854,0,0
83,0.989900310935717,1.08761455741521,0,0
84,1.02609113587989,0.923845271063361,0,0
85,1.07724590798199,0.806240394639268,0,0
86,1.42541941169516,0.853342934216041,0,0
87,1.19819553558954,0.880522746568938,0,0
88,0.918825969671241,1.27752641138349,0,0
89,0.826360457423684,0.996140251394008,0.574627854587217,2.18624497548478
90,1.70058280565794,1.0385117978767,0.634232960819824,1.55523359394555
91,1.00320952650978,1.14380493337114,0.920232047940869,1.7248671172166
92,1.21550200044104,0.685679362379107,0.782298982581681,2.04966355993345
93,0.930549697736539,0.978978630676227,0.69420148640645,0.914358724518064
94,1.00118093631379,1.01424855897652,0.624516153684492,0.872077338988556
95,1.2845740194011,0.962378743146352,0.263752125484802,0.847490495023022
96,0.997258540700127,1.09898425418248,0.557520872738389,1.43706654439159
97,1.9147191922174,1.54935427397327,0,0
98,1.85437449495494,1.86973922582152,0,0
99,1.94569580367598,2.9645003626949,0,0
100,1.86924051834581,2.64007158445825,0,0
