patient,Q5T7W0_N,Q5T7W0_C,Q5T7W0.2_N,Q5T7W0.2_C,Q5T7W0.4_N,Q5T7W0.4_C
9,1.35865947701969,2.41263861640324,0,0,0,0
10,1.39028721853921,3.9002949182682,0,0,0,0
11,1.30349318192011,2.30918582478339,0,0,0,0
12,1.79258287373081,4.57815883769043,0,0,0,0
25,0,0,0,0,0.638393153145947,0.857693291333345
26,0,0,0,0,0.650214332548552,0.724416650265903
27,0,0,0,0,0.58270036909612,0.887314649442883
28,0,0,0,0,0.618418601518272,1.05165135519424
45,0.58122640966206,1.20678656551777,0,0,0,0
46,0.334912514635465,0.884842456341997,0,0,0,0
47,0.667913527404027,1.63818984273296,0,0,0,0
48,0.303896054041421,0.821380142736011,0,0,0,0
57,0,0,0.70683435101675,1.46312811607193,0,0
58,0,0,0.878174892162904,1.46612514705059,0,0
59,0,0,0.853111870483446,1.6771329337292,0,0
60,0,0,0.931919780404459,1.41474427202958,0,0
69,0.863811561773233,2.37037375059282,0,0,0,0
70,0.867512724273987,1.22576602329565,0,0,0,0
71,0.968454556862796,1.36462073270305,0,0,0,0
72,0.276373023724272,1.40258576152519,0,0,0,0
77,0.94631915437816,1.61903607017773,0,0,0,0
78,1.11789324156737,2.35617326158088,0,0,0,0
79,1.02969723958232,2.11363680366683,0,0,0,0
80,0.753736993509875,1.09227513076548,0,0,0,0
89,0,0,0.713950838315422,1.48606309174199,0,0
90,0,0,0.919816534293061,1.34573489045494,0,0
91,0,0,0.893608615626327,1.495231809857,0,0
92,0,0,1.20376248567031,2.00177208599184,0,0
