patient,Q6PIJ6_N,Q6PIJ6_C,Q6PIJ6.2_N,Q6PIJ6.2_C
5,1.38975392409762,3.2158568663667,0,0
6,0.893318173851298,2.67149846674693,0,0
7,1.31677615347076,2.16758076317943,0,0
8,2.01064739161772,3.01402411229336,0,0
9,2.24983976967842,5.50211496590394,0.903087186386884,2.36470111343976
10,2.13652422985966,4.84725009268809,0.607304414948209,1.72554054869897
11,1.86974969859125,3.80344689173262,0.632295359086479,1.15594840746203
12,2.42474170383573,5.64231287258017,0.791790645726065,1.79560488844041
13,2.84034452719432,5.63427975077821,0.722372935016537,2.06193228437228
14,2.54076744302208,4.86561391775421,0.921881362916274,1.25146668052285
15,2.85696482692729,4.27820400647258,0.641481048252128,1.55824005587585
16,2.85638117206105,4.65411528116644,0.819308584748456,1.57236610762626
21,1.50965060770561,1.82538421529646,0,0
22,1.2559905045888,2.30979081694554,0,0
23,1.9521256572111,2.48835786650884,0,0
24,1.38170686348284,2.50913635184058,0,0
25,2.33425601368625,4.68052933196112,0,0
26,2.2682614292604,3.51894525713168,0,0
27,1.68235547738614,3.81526436767107,0,0
28,2.50873681767615,3.34740085284525,0,0
29,0.797614405551056,1.44724396852535,0,0
30,0.805603047481928,1.11537538618435,0,0
31,0.814391553435916,1.08012137936551,0,0
32,0.530009898317286,1.0574602317606,0,0
34,2.41119523097632,7.35186820548708,0.593925565946732,2.68571453124765
35,2.98179348749431,5.18190769942968,0.655705443443998,1.67257051641498
37,1.60328846364279,1.96164476238947,0.559221967353035,0.905493171876667
38,1.21519063581087,2.24639626206458,0.583445801771045,1.27027099114478
39,0.918367174192476,2.86378139079428,0.641178784807426,1.66088098794409
41,1.81935263759604,2.39723324135629,1.03849217035564,1.24572420629236
42,1.08347812363777,2.18973492109073,0.625569389614333,1.20544436741172
43,1.07748054999415,2.96852625220143,0.619066172383959,1.61792596072859
44,0.580035565538303,4.22015730875537,0.355252708718895,2.05252995204235
45,1.36145908839883,2.06318436769787,0.682051591249385,0.963415165187798
46,0.639840452749013,1.8888314846366,0.445509631907389,1.01669128656557
47,2.04682927170176,5.45633799159578,0.983097685729503,2.77843095876921
48,0.361226300259295,1.89768873848429,0.408914748156857,1.04580306090662
50,0.661841266852458,1.74939444391386,0.382681281130546,0.587958270589598
51,2.27666392054655,2.99946361882634,0.535072541410865,1.4476355264682
52,1.37502414805005,3.66517808623292,0.406119686088266,1.99591683076567
53,2.16970692367932,2.25392265266632,0,0
54,0.895521905109292,1.3600098538203,0,0
55,1.41281479172991,3.41641074303425,0,0
56,1.44925179997845,3.19697104152077,0,0
57,0.990925760496497,1.15196765245193,0.87453691848058,1.31276141698677
58,0.938704217405614,3.42099769617754,0.959342723004695,2.84716175842936
59,0.921054116319526,1.48412243170812,0.874528382415706,1.82960307298335
60,1.55402698763459,2.74755747801965,0.886197183098592,0.875407597097738
61,0.714339045332435,0.971411944690476,0.954910505520125,2.130138053961
62,0.155757138778886,2.25346782517037,0.574348530338663,2.38245759093466
63,0.496717003506255,2.0075761457548,0.688148504584855,2.37903504550969
64,0.627733085431108,1.71623491175803,0.5762516011413,0.89580551809205
65,0.950178925371528,1.81201625126683,0.859447651135864,1.99236056088491
66,1.17526614588472,1.55735925882743,1.00736099628779,1.32590389099662
67,1.21959838204827,1.18050386102118,0.928348812532722,0.819704506581034
68,0.819408245813864,1.43772589888699,0.743906778631502,1.79096791672087
69,1.47751714963065,2.29162635064217,0,0
70,1.65583417373321,2.46775637786714,0,0
71,1.19923438229228,2.14872234018695,0,0
72,0.780838783738929,1.98758341925475,0,0
73,1.20258865075894,1.12348738883219,0,0
74,0.920866339440476,1.04914062626557,0,0
75,0.275171307770812,1.32469909769808,0,0
76,0.819960797654339,1.34583110592733,0,0
77,3.06336916147924,3.96198109707565,0,0
78,3.2272662155678,3.44116586182024,0,0
79,2.57932353198409,8.08377232660592,0,0
80,2.3098828404515,4.81483406729866,0,0
81,3.13399081171972,5.17823311626746,0,0
82,2.6169731669739,4.2791370342745,0,0
83,2.5584283273936,4.65779372108575,0,0
84,2.82235186236501,4.09779020726975,0,0
85,1.79788555691647,3.08713382140411,0,0
86,2.65512018068603,2.58376671110905,0,0
87,0.948817326635259,1.93382087011731,0,0
88,2.07589962101468,3.7097576592752,0,0
89,2.33085285193266,6.90814834008695,0,0
90,2.51929639953745,7.82584924236498,0,0
91,3.35072378255107,6.26718055182008,0,0
92,3.04654346072485,4.8268317937928,0,0
93,0.808323112810523,1.40962653007239,0,0
94,0.740410744775509,1.03986003895823,0,0
95,0.391270471105981,1.23512613327562,0,0
96,0.888536180650747,1.52741504941923,0,0
97,0.532773610418455,0.767908648284585,0.627045951374325,0.736514753043266
98,0.949707199448846,1.11755209484784,0.789079751878114,1.16678318186358
99,0.855584290055064,1.29521184981054,0.870729163198952,1.3468657412031
100,0.790155320538198,0.858761651611046,0.663648368232409,1.08481196666556
