patient,Q6ZR52.2_N,Q6ZR52.2_C,Q6ZR52.3_N,Q6ZR52.3_C
25,0,0,0.559843845522622,2.7895133374981
26,0,0,1.04167880422964,3.99461105971495
27,0,0,0.865395282643584,3.80614188240964
28,0,0,1.0949026657862,3.86082483495245
53,0,0,0.64366909244684,2.31810751276533
54,0,0,0.49733458724919,3.03516855280017
55,0,0,0.621980976665804,1.88130297847094
56,0,0,0.592776308564287,1.01880873785795
73,0,0,0.939839948183437,1.44257991937752
74,0,0,1.06217135259978,1.21659834493808
75,0,0,0.303858970316269,1.72800565891407
76,0,0,0.67802739118948,1.26353153736673
85,0,0,0.374711661812437,1.15760266202599
86,0,0,0.689349018324905,1.90393321307567
87,0,0,0.103527911439472,0.951359259915577
88,0,0,0.389440953337302,2.16383515915965
89,0.705852878464819,1.75109275053305,0,0
90,0.603923240938166,1.36144722814499,0,0
91,0.599059168443497,0.834864072494669,0,0
92,1.02959221748401,0.960999466950959,0,0
93,1.01002710624325,1.07319126429689,0,0
94,1.26328316107279,0.532912047953809,0,0
95,1.51466602023051,0.701681468585407,0,0
96,1.19557264693567,0.719842651563567,0,0
97,0,0,0.418235847282302,1.05951100244499
98,0,0,0.502631182997931,1.38406620274591
99,0,0,0.448113597893549,1.33790671431258
100,0,0,0.546003385367689,1.91357908595072
