patient,Q70UQ0_N,Q70UQ0_C,Q70UQ0.4_N,Q70UQ0.4_C
1,0,0,8.25927375027401,13.7016992663668
2,0,0,12.7673417823115,13.7621580234044
3,0,0,11.2840734526205,12.7639981869304
4,0,0,9.7424724166162,27.0064903169301
5,0,0,7.85568564893791,26.924943700069
6,0,0,6.80698968823005,14.6663158311701
7,0,0,8.26092892309356,14.0616247756419
8,0,0,10.439493248225,19.6845931881866
9,0,0,7.74173001273366,22.2091958553204
10,0,0,7.68359193872877,11.2875165079704
11,0,0,9.42058966988448,36.8041392906148
12,0,0,10.2595576334184,16.5390958346144
13,0,0,12.7942798540573,44.8204480435465
14,0,0,14.5966285978368,36.9845247156003
15,0,0,19.8689185861449,40.7949236656497
16,0,0,13.1822388678736,22.2906963116142
17,0.933071533071533,1.15347655347655,8.03096422683239,12.8811819777515
18,0.837945637945638,0.59962115962116,4.55733441218992,7.91605177314901
19,1.11709401709402,0.858135058135058,4.29638682543938,9.2001561876438
20,0.865665665665666,1.33392623392623,7.29239835954183,21.0226269146139
21,0,0,10.9164177348229,22.2810336388314
22,0,0,14.3748308898225,21.8671080400214
23,0,0,16.0461598467813,16.8157144704318
24,0,0,13.0990687412026,31.1428858670791
25,1.51409432645306,2.19406412275298,7.11187890124253,10.133765934061
26,1.71090699828974,3.61003857501206,6.36274850226784,16.2078911704717
27,1.60287728938527,3.08070331308951,5.56463195999919,13.4344382720145
28,1.47825886429332,3.00259435254675,4.92211954419784,13.1739129540208
29,1.61195100833617,3.08326124493307,7.22854425970657,17.3845092600387
30,1.75320698047338,3.93787068411606,9.59611274495535,25.6754065869344
31,1.74268193619403,4.226147172093,8.82783205769582,21.8536281543555
32,1.01655530260925,2.65041772885194,5.89859591438797,14.1322956815574
34,0,0,10.6136597312468,18.9958232576729
39,0,0,4.81896575980404,7.17084608589098
41,0.704547141902581,0.912406695640752,11.2645574216571,13.5698349517666
42,0.529269156305861,2.85513052615949,8.8326636093759,25.6590684659641
43,0.434919674012987,2.81130674646914,7.09445309120748,26.5493193881545
44,0.393166151719884,1.42752671345924,6.05526622840688,18.8266284064573
45,0.606488313963613,0.875815084986957,3.55383084293292,8.63929665422773
46,0.534966640222762,0.973428273400657,5.05988857941705,12.9695594656004
47,0.601118031869889,0.565760010131944,5.26347743862989,8.56536331316197
49,0,0,4.11774710343961,13.3729178920006
50,0,0,3.91375175368991,6.89738010829223
51,0,0,6.79539078146323,10.8402445841694
52,0,0,5.26620823798639,17.9667596395071
53,0,0,11.6538298821554,17.7999221518173
54,0,0,9.91702298736012,12.4954747253445
55,0,0,9.91613271741251,21.2436447256335
56,0,0,10.1834044032246,12.1453247080477
57,0,0,13.3293541757651,27.8863174561095
58,0,0,14.7678872648859,21.0407909737384
59,0,0,14.4140242778296,26.4562509634751
60,0,0,16.1287327417226,22.7359960851185
61,0.825547926855999,1.43661008242981,10.6102698138903,15.7147080215976
62,0.548601040169863,1.15885506036661,7.5734493507944,19.5258450444612
63,0.666739361949444,1.43493845993752,8.89489815078673,21.6848193035823
64,0.645227462432775,2.4600747912686,10.0321843259097,33.4738618374097
65,0,0,7.60905789373233,16.9482967549856
66,0,0,7.84850982984799,17.1214293618485
67,0,0,10.1981787878398,17.1495049892336
68,0,0,6.40111603627892,10.1445757842191
69,0,0,8.59279885230078,14.3770482336526
70,0,0,9.26963795730276,31.8554928589085
71,0,0,7.88763494827416,30.1709513768997
72,0,0,5.21072660056108,13.1929942618792
73,0.751490979614422,1.71374725389112,13.7739956070525,27.1359612042381
74,0.577936898389863,2.71610849663893,12.0534073492387,35.1095733506663
75,0.478845785099517,1.20122061458054,9.99828078337421,25.5038065672261
76,0.736726364288806,2.64601629312281,13.0597238622788,41.4492893007606
77,0,0,17.1785113341096,14.2582387029913
78,0,0,19.3964653917934,32.9820033822887
79,0,0,11.9206923524347,16.4104310145116
80,0,0,11.3244619083816,24.0972478338371
81,1.12719768253815,2.06570751031865,17.8004832598494,24.7180126423397
82,0.797934195698315,1.38228441451594,12.5843709090929,26.7514361402502
83,0.783567591485125,1.93973354719616,12.406271765239,46.8245887899127
84,0.921128863876771,1.28170435768558,12.1481614565986,22.5510300768835
87,1.00164585262835,0.871210557053275,4.6953296022812,17.7384221919838
89,0,0,5.18244447202531,20.0954879728333
90,0,0,6.14826535945151,17.1036702604969
91,0,0,6.4582288036015,14.2356665821432
92,0,0,7.9416405329076,23.9371699964165
93,0.668114058294417,0.527705951367641,6.38719412526084,5.80668198380384
94,0.440802065840024,1.58600381881341,6.30453356347435,15.5163674491954
95,0.326459085785272,0.638679288688491,4.42308166292646,7.29128007961782
96,0.647748970530723,2.12644068186524,7.17496709560499,18.328942801427
97,0.554988437267276,1.01370281817113,7.60909949150587,13.9462894345288
98,0.797593383765139,1.78271469446949,9.64560835059335,18.8527290724323
99,0.576693450397836,1.03565241249559,8.88323756912732,14.6772430430592
100,0.537214753263042,1.38485477991612,8.50702759220138,17.1884720091515
