patient,Q7Z5L9_N,Q7Z5L9_C,Q7Z5L9.2_N,Q7Z5L9.2_C
1,0.523385542522281,1.686627469012,0,0
2,0.721023900134029,0.772423373802792,0,0
3,0.801033096256004,0.960908655116077,0,0
4,0.625243354823562,1.15748848038976,0,0
5,0.741738963690828,2.07076038848638,0.712961230507184,1.0631254314711
6,0.519390631964095,1.19015672129108,0.882814062570568,1.15184556721916
7,0.57723602516662,0.805448448853095,1.00185169652823,1.70038001716207
8,0.826318708085865,0.850293334162546,0.871736142922584,1.67040446987928
9,1.80358887131569,2.88166438317572,0.877119184193754,1.40605766578199
10,1.69567956182864,4.43719024103851,0.602243086669901,1.33665325380744
11,1.33793312093264,3.23601330479826,0.835148350028062,1.40928245959495
12,1.5268163601257,3.14438944546251,0.840575326046631,1.5199718425083
17,0.784544468546638,1.71688219589521,1.8177426703964,2.97838632170644
18,0.826820874353412,0.715645336225597,1.99353971743602,1.43548156351343
19,0.378212080760888,0.734511096278992,1.33178738296894,1.70656601868969
20,0.706459619556149,1.39952653095278,1.86400247127064,2.22044105381438
21,1.51917637756398,1.96124582842113,0,0
22,1.81177051054619,2.29813920693459,0,0
23,1.73150197317882,2.01169046789258,0,0
24,1.63066231356446,3.59882011881602,0,0
25,0.925216125136781,1.41909748409851,0,0
26,0.908270519354262,0.943731172154625,0,0
27,0.630087060392971,0.800746356498577,0,0
28,0.778189998299772,1.35950231274604,0,0
29,1.79818073440117,4.12405480316182,0,0
30,1.73118948515627,3.33591352129665,0,0
31,1.61515462031946,2.61309458796901,0,0
32,1.62051148667445,2.77864702486489,0,0
33,1.12566603475572,2.10642506085537,0,0
34,1.37263993175818,2.67705438162126,0,0
35,1.21975077644557,2.3672633057895,0,0
36,1.06103975466665,1.79330199206894,0,0
37,1.39588215264143,1.60609113057397,0,0
38,1.14736289650523,2.74455624155925,0,0
39,1.28974281293977,3.74236574546192,0,0
40,0.730544683390015,1.60643895217523,0,0
45,1.38657109701868,1.75703980358498,0,0
46,0.962711063002406,1.87012351818572,0,0
47,1.9688830461244,3.56150201867394,0,0
48,1.08482521561304,2.13617446977864,0,0
49,0.984872038502248,1.71173000681631,0.576900289888168,1.40649679346895
50,1.30748667990513,1.08181730973107,1.23913553699087,1.31587661040172
51,1.82951285840084,2.53221779223577,1.06401009851123,0.826922174224692
52,1.45069593982311,3.87258360428739,0.798216267991145,1.03572792377908
53,2.24627496339644,2.05921454477624,0,0
54,1.47871792203615,2.04845784988857,0,0
55,1.64541640995606,3.1695496972698,0,0
56,1.73891120650808,3.12802798270565,0,0
57,0.784417230120337,1.32954408813001,0,0
58,0.978420726462128,1.30831629868748,0,0
59,0.981917068252662,1.31925855355045,0,0
60,0.976820548870164,0.82617909039616,0,0
61,2.70015349861953,4.58727006237847,0.732653472050656,1.25539634174238
62,2.2393145274141,4.62444671488061,0.624415529751938,2.13635199063018
63,2.47744836936457,5.23686271187523,0.651463577552682,1.63616441113765
64,2.1261037873051,3.69597522163792,0.792957991343893,1.65495438615755
65,1.5027746505972,2.44837981354285,0,0
66,1.91930913947194,3.38153675688006,0,0
67,1.56588008502459,2.2303462435005,0,0
68,1.40206394183617,2.29237681315115,0,0
69,1.39825875400963,2.61039789474896,0,0
70,1.21579631313489,2.2820236219967,0,0
71,1.30340078241035,2.04327462518922,0,0
72,0.552692389040095,2.11492297669061,0,0
73,2.05766886013543,2.51345756645862,0,0
74,1.91524788842042,2.53780554423206,0,0
75,0.912088674237025,2.90579582599491,0,0
76,1.72257548019497,2.44131381227143,0,0
77,0.975912789706885,1.59180619461486,0,0
78,1.13492139570552,1.07717173653715,0,0
79,0.893388931492842,2.20904162406271,0,0
80,0.690269256987048,1.19452965235174,0,0
81,3.0787276332504,5.03356283782699,0,0
82,2.63589438103147,4.19691162672231,0,0
83,2.27786783721093,4.35033005274106,0,0
84,2.83565035560837,3.96178214607565,0,0
85,1.3181497007578,2.30212887880483,0,0
86,1.64524638587079,4.64585433502969,0,0
87,0.547948148794478,2.69799245332885,0,0
88,1.09622619738773,3.2684500852636,0,0
89,1.80395284241833,4.57356230528194,0,0
90,1.6132236982267,4.42376747396047,0,0
91,1.58472217868,2.59942535297879,0,0
92,1.91207220684576,4.27591547668357,0,0
93,0,0,1.31236475456513,0.686382445617099
94,0,0,1.07636049370585,0.995299209239901
95,0,0,0.62040388836906,1.72086682134985
96,0,0,0.944820979149034,1.00523898105615
97,0.741912696301762,0.774250471181428,0,0
98,0.687538788455983,1.19396658973325,0,0
99,0.657214438314558,1.14033055629438,0,0
100,0.93365422290099,1.14701146565309,0,0
