patient,Q86SQ0_N,Q86SQ0_C,Q86SQ0.3_N,Q86SQ0.3_C
9,1.29438328450756,0.755044600044666,0,0
10,0.870787956017393,0.885905334927287,0,0
11,0.95235874463026,1.21099630850882,0,0
12,1.33503566689875,1.36396986376952,0,0
21,1.83666273627658,1.96216772846445,0,0
22,2.30423267006336,3.05832420732401,0,0
23,2.49730603406361,1.85846353993063,0,0
24,1.97278485027535,2.30610473232468,0,0
25,0,0,0.80958586504637,0.743488967061081
26,0,0,0.653271506236009,0.871762072273745
27,0,0,0.439565078349856,0.983290693955868
28,0,0,0.782881355932203,1.10051966741286
29,0.967499309520904,1.49918748273802,0,0
30,1.05393444623576,1.3087115981219,0,0
31,0.878133651060769,1.12501525477073,0,0
32,0.888184136323054,1.15210772758512,0,0
33,0.633387520806434,1.22670846102391,0,0
34,1.16915825334847,1.25631193317051,0,0
35,0.872322386945227,0.755170884992922,0,0
36,0.332696047166436,1.11711494485323,0,0
37,0.96180616999941,0.996317550201818,0,0
38,0.686555687573207,1.33844410176033,0,0
39,1.01221654827211,0.219775682348678,0,0
40,0.361076000033707,1.24519259128178,0,0
41,2.50040022575791,2.59141683935895,0,0
42,1.42147399726447,2.55177520084831,0,0
43,1.42017973758203,2.7494692899998,0,0
44,1.0924044229072,3.21827445128661,0,0
45,1.09313933811882,1.26771957749635,0.76414798206278,2.01482062780269
46,0.654222332115068,1.32306693762121,0.40537668161435,1.09938714499253
47,1.25851691019093,0.83543374620419,0.740260089686099,1.46268310911809
48,0.511501402421592,1.12412396943262,0.449718236173393,1.67244394618834
50,1.22479795302429,1.42699428089378,1.04676939426142,0.73601639593138
51,2.17686846185887,1.76272571387898,1.86335205708213,2.64357066950053
52,1.83562636600694,2.96473731331741,1.4214194625778,2.79274328222256
53,2.09550291746352,2.24788492290215,0,0
54,1.38917626344222,1.79251035325241,0,0
55,1.76085917039179,1.90496778760756,0,0
56,1.95252673774444,1.45196665366044,0,0
57,1.77331047845391,2.48669839925325,0.781119762842046,2.08482439338961
58,2.64403159147584,2.53475388199261,0.887552094863182,0.545498586741356
59,2.0233778031126,2.34285834862723,0.927466625600354,0.489398153940922
60,2.48071627797157,2.11013368903539,1.13983721057073,1.08802949074564
61,1.90079696601849,2.15205827098481,0,0
62,1.63458812393561,2.31043086575679,0,0
63,2.11213358116258,2.67629696408778,0,0
64,1.94199133252404,3.13171340575024,0,0
65,1.35763034235847,1.04053146903897,1.88359282048338,0.615697457440599
66,1.13036957297418,0.995648703077658,1.76356526093849,0.844626686188011
67,1.15900527961392,1.02800674919717,1.65253602038896,0.764761421740781
68,1.14319818811875,1.14851106420809,1.37824837401875,1.07702318638099
69,0.876057777804661,0.569831481403072,0,0
70,1.01776371103839,1.21686335234662,0,0
71,1.05761600019356,1.53307464781065,0,0
72,0.374125197340963,0.8460740489829,0,0
85,0.889912660132965,1.26731687662207,0,0
86,1.07109844399938,1.66968465212187,0,0
87,0.4090634369482,0.968885913039356,0,0
88,0.70642783499046,1.73604280483036,0,0
93,2.51058365530489,1.52413208238027,0,0
94,1.99083800772059,1.99014719617055,0,0
95,1.22154671313705,2.28544874363434,0,0
96,1.92599026504928,2.50716391997262,0,0
97,0.54797736150986,0.735708276462559,1.00836580421003,0.750013189330962
98,0.989547053701699,0.981704770085189,0.996450185781148,1.05232019173519
99,1.29931725655387,1.38285993316704,1.08099756562634,2.55400465771802
100,0.62439844448628,0.931104979526521,0.722755741127349,1.04180641076852
