patient,Q86UW9_N,Q86UW9_C,Q86UW9.2_N,Q86UW9.2_C
13,0.594299501849089,1.68221574934164,0,0
14,1.51184044596753,1.63236017464632,0,0
15,3.63290872766063,1.2946357182907,0,0
16,1.42847455705862,1.75526843674536,0,0
17,0.596711608023677,0.97746981725936,0,0
18,0.784708977310095,0.678057030112275,0,0
19,0.518959928594917,0.81020341053225,0,0
20,0.680203880302532,0.792803119274675,0,0
45,0.731030630842495,0.30763713328238,0,0
46,2.00152272326415,0.8112646246105,0,0
47,0.908777705920395,0.818754776882827,0,0
48,1.52640366864601,0.580542065965077,0,0
81,0,0,1.22429350322542,1.39857003055661
82,0,0,0.951424976533323,1.2335323840147
83,0,0,0.890447564458469,1.85863274150706
84,0,0,1.10578578418646,1.30925286093747
