patient,Q86XK7_N,Q86XK7_C,Q86XK7.2_N,Q86XK7.2_C
9,0.818408700409871,0.492407298975801,0,0
10,0.290271551848261,0.882687489801208,0,0
11,0.275522898088866,0.377214217836608,0,0
12,0.308363489762812,0.504396279480509,0,0
13,1.08274535142735,0.942942082385765,0.489395073891626,0.620481351161154
14,1.74002062766419,1.96924493931105,0.744439127375088,1.30654468684025
15,6.15628520515043,44.1710893659089,2.47037860661506,26.6877973258269
16,0.833647802060252,3.1627103634141,1.0886812104152,0.940526389866291
17,0,0,1.27038250675612,0.870859814533476
18,0,0,1.06162784352806,0.906551637981292
19,0,0,0.728715720427452,0.851480314644044
20,0,0,0.764795248748575,0.927740427279489
33,0.323156551693668,0.24898885971759,0,0
34,0.34660590230129,0.412815675921005,0,0
35,0.265345166675815,0.281547509870416,0,0
36,0.287989889266584,0.436400246877548,0,0
37,1.06188287858203,1.15354879770647,0,0
38,0.919328275974489,1.40121697766643,0,0
39,1.16022450279764,1.21357934355169,0,0
40,1.13008422001433,2.14175543877774,0,0
41,0,0,1.08084321109278,1.29996491689214
42,0,0,0.826767650984988,1.72519825214436
43,0,0,0.675313982953737,1.27601499341241
44,0,0,0.424766284590261,0.962950934698714
61,0.838221128493584,0.761372071416016,0,0
62,0.824621952138212,12.9965095547799,0,0
63,0.845863947969766,1.43262938502875,0,0
64,0.837077066017126,1.12347136077141,0,0
69,0,0,0.523200881814659,4.81853743046323
70,0,0,0.503164629922193,0.623421664842361
71,0,0,0.433393460386958,1.65489559740418
72,0,0,0.385372328454003,0.561745141071681
77,0.368081467474436,0.211657653534392,0,0
78,0.388041841810495,0.275064135763065,0,0
79,0.381361484818192,4.07913690727113,0,0
80,0.382999506184735,0.42618064003276,0,0
81,0.673170755366722,0.269737799377237,0,0
82,0.397093288323681,0.439450862846667,0,0
83,0.30670779617612,0.353208877765814,0,0
84,0.293190350085848,1.01731513546547,0,0
85,0.690869607905421,2.38443634599502,0,0
86,0.692024695778731,2.06284255574743,0,0
87,0.691187257070582,11.8810028472916,0,0
88,0.587714485379475,1.31413769802538,0,0
93,1.2521376060651,2.80934195507235,0,0
94,1.21193944541977,1.90808890171219,0,0
95,1.55874756874406,26.8642964844202,0,0
96,1.37768518615162,3.07145766721508,0,0
97,9.53982985754131,7.07180477770399,0.654224692437395,0.640479610316618
99,9.00672566271879,146.511037776694,0.856123149940673,43.9610941110348
100,10.6349385241906,12.8977406697338,0.844738649846999,1.32143258602386
