patient,Q8IWV8_N,Q8IWV8_C,Q8IWV8.4_N,Q8IWV8.4_C
9,0,0,0.848512967437087,1.04320198413547
10,0,0,1.08601483825447,1.42973637510423
11,0,0,0.812242628979496,1.46908982061534
12,0,0,1.12154112591136,1.27038977143957
21,0,0,0.872999801906103,1.25897475403341
22,0,0,1.29967571295461,1.09693027828524
23,0,0,1.19557370193472,1.0671354888884
24,0,0,0.879679968304977,1.23778604391815
37,0.453516377221862,1.6572630383274,0,0
38,0.218369465865628,1.07064701340882,0,0
39,0.459311189400729,1.41799852689308,0,0
40,0.39036268602412,0.841552264236336,0,0
45,0.548552394229797,1.31469528710005,0,0
46,0.28438682282327,1.89016713581048,0,0
47,0.810941249713991,1.67419957324763,0,0
48,0.231809015010828,1.18963342929054,0,0
73,0.842888423803245,1.15303468382913,0,0
74,0.977577091978079,1.01946504397479,0,0
75,0.392320441320574,1.14502607033547,0,0
76,0.865692406334305,1.29953061298557,0,0
