patient,Q8IXM2.2_N,Q8IXM2.2_C,Q8IXM2.3_N,Q8IXM2.3_C
1,0.580993477961025,1.81436326377805,0,0
2,0.752729010265808,1.14340111524896,0,0
3,0.879790545999094,1.37606155543733,0,0
4,0.541137120450829,1.2517536600264,0,0
17,1.05475830283313,1.06430798427545,0,0
18,0.669649993222177,0.853634810898739,0,0
19,0.614782160769961,1.10429713975871,0,0
20,0.690677511183408,1.13582214992544,0,0
21,0.911093489383521,1.38637718084176,0,0
22,1.00401016675783,1.55032043398399,0,0
23,1.21012564047026,1.35234521943334,0,0
24,0.962132865378567,1.47585639760491,0,0
33,0.463318103395958,1.13259582289346,0,0
34,0.714093616430993,0.990116435327675,0,0
35,0.672745636926385,1.48189313612443,0,0
36,0.314439541194524,0.967921763782804,0,0
37,0.569557149680208,1.37738675921568,0,0
38,0.473026453308795,1.16084751482766,0,0
39,0.613720734428772,0.754996560941403,0,0
40,0.429927867351598,1.10391328667736,0,0
57,0.768690222951139,1.4271592809704,0,0
58,0.798296607830083,0.937921179546303,0,0
59,0.718266404689606,1.07538606433594,0,0
60,0.768629329522758,0.958466622282123,0,0
77,0,0,2.72052058984311,3.55917458393967
78,0,0,3.30424093221153,2.85854639769534
79,0,0,2.21469738820171,3.01026314013624
80,0,0,1.89039239463986,3.05100460817295
93,0,0,0.871787998907211,1.07979938040918
94,0,0,0.764766828694993,1.15876370496755
95,0,0,0.827973340068763,0.796576271011706
96,0,0,1.56129670771499,1.20211444388889
97,0.688441640435863,0.994494937795522,0,0
98,0.656937423067664,1.34293539727745,0,0
99,0.734766829729153,1.14684253796086,0,0
100,0.811497040801959,1.2627940461753,0,0
