patient,Q8N2S1_N,Q8N2S1_C,Q8N2S1.2_N,Q8N2S1.2_C
1,0,0,2.95975477875692,5.68508365019939
2,0,0,4.18429110559784,3.71056554198574
3,0,0,4.73501365074778,3.96902294757571
4,0,0,4.32000416920077,2.94381835846727
5,0,0,4.1606620831564,3.80142174236503
6,0,0,3.23476755944089,3.29682073207629
7,0,0,2.74809645573027,2.41298102355721
8,0,0,6.85758312309524,3.73010720637083
9,1.10726403153928,0.425939778983979,5.12119207332581,2.82074152809278
10,0.785145766341323,1.94697955406809,2.59677109692546,5.38321010458314
11,0.575382629998476,0.772978185569788,4.24288997601137,3.91645339619041
12,0.782926388263532,0.920176841179745,3.93812758783561,3.11323472546028
13,0.613070980074604,1.87565212196838,1.70960515205257,2.12573990934473
14,1.65971844260663,0.608909346749678,4.67070516535865,2.69945338426981
15,0.164470138455616,0.393629448699738,2.60406059225746,2.51857175588913
16,1.45162018292602,1.26196054745058,3.66555221817911,6.29894361472755
17,0,0,4.68275693317146,2.49898552172504
18,0,0,3.46671128111058,1.24986356309333
19,0,0,2.14578671908208,4.72664533728253
20,0,0,4.41943151656564,2.38813366668279
21,0,0,3.52790514150756,2.34943777566191
22,0,0,2.94234840983748,5.73014268348699
23,0,0,3.82946409802605,2.85228838135865
24,0,0,3.52616605384347,2.15178932813539
25,0,0,3.68115080708446,4.69831203795588
26,0,0,3.09512806690909,4.97597924432431
27,0,0,2.43892915485522,4.06677419111029
28,0,0,3.96485406146562,4.43333652659846
29,0.56681999746446,0.871060215293848,3.66444030762843,5.49451672167491
30,0.490464287674058,0.324159345452206,3.25170840602716,4.67749895058147
31,0.510076879847565,0.384533583607544,3.67445610753584,1.93023307220582
32,0.7849615979201,1.25108470028591,2.55904241775452,3.67530023971136
35,1.38498944456577,0.636091577491446,3.9436347676121,1.97265156091179
37,0,0,3.28889930912322,2.48322424907077
38,0,0,1.84779553167913,2.52153724909291
39,0,0,2.01323951331454,1.53213435147754
40,0,0,1.08393330444324,1.92391176049067
41,0,0,2.22405089171648,2.27384730600775
42,0,0,1.44015310898903,1.88997075108309
43,0,0,1.53034608151752,1.79897074973115
44,0,0,1.16495934364024,2.14274487245865
45,0,0,1.68928456041689,1.76130940809252
46,0,0,0.958160388238035,2.41946459596571
47,0,0,2.25816381416629,3.66178444749512
48,0,0,0.853416730149074,2.09922001228913
51,0,0,5.12741392910965,3.43245524326165
53,0,0,4.67095126511215,4.22183399403893
54,0,0,3.02367573105505,4.57208283931604
55,0,0,4.63808016150028,4.18213284969806
56,0,0,4.75759958824886,3.87060288167694
57,1.19239736379936,0.923462675241866,0.973417119850135,1.30247025765053
58,1.4018247795517,0.685546791337499,1.05504955893249,0.784488543428723
59,0.69488792475691,1.36859996206025,1.16106653059513,1.13126476632509
60,0.948912903798258,2.99646915559581,1.15685157484168,0.985086885406327
61,0,0,5.49373803112005,4.67182204023632
62,0,0,3.34280492536675,4.63192774186172
63,0,0,4.03868960838253,4.04148980079011
64,0,0,4.15019940108524,3.70772646565233
65,1.31872702193831,0.401424443150768,4.32284314559508,4.11584504565752
66,1.23544482380645,0.595308148591029,3.90152281728873,3.25768751856418
67,1.36031698580277,1.25161928137997,4.75355764335406,5.06842070754818
68,2.99660147584058,2.27322455958169,5.04665554412731,3.46999233171081
69,0,0,2.05778971315708,1.16022382653084
70,0,0,3.36133673173915,1.68030392303774
71,0,0,2.76208412767177,2.59818808040412
72,0,0,0.595133844836122,3.45067923914862
73,0,0,6.40361832240641,5.06514624192664
74,0,0,5.40379494143956,2.58959061507451
75,0,0,1.13596660344374,3.69308621026851
76,0,0,3.63778905991339,2.80673432646443
77,2.48951127586314,0.879761609330893,7.92609555743144,3.1218708948885
78,1.43860315786208,1.29922333033471,7.85224052172403,3.1392491178262
79,1.80468289543072,1.68290318578031,5.09702314687213,5.90541164992726
80,0.896274079473896,1.2740445761082,4.64180955109056,3.88769846639756
81,0,0,4.96710656399574,2.54064399611785
82,0,0,4.03673169673965,4.23234106810863
83,0,0,3.73781856181936,3.33919800760934
84,0,0,7.85524013514521,2.22821362671821
85,0.869510113726617,2.07553610355375,9.39930620339552,10.2473279242652
86,1.24348142014634,0.948020345742434,13.4470192650183,15.0174384085491
88,0.551989793331869,0.972818831640671,7.31506417264129,9.52457147247883
89,1.19011704260548,0.612878391786022,2.90390411929865,1.68389191687027
90,0.65682597580104,0.913982124551776,2.33538390658517,3.68091627956459
91,2.79152583541578,0.599313306134548,4.7128090386019,2.29561700031932
92,2.29025578111427,0.383023264430658,5.0045454204171,2.60969832044312
93,1.64985744697507,1.47563719560699,5.16068437170193,5.62093256661788
94,0.666292080920622,1.02802069733556,4.61577464365873,5.84295736399996
95,0.223840572939421,1.41696191599346,1.28292345232397,6.73735329591955
96,0.351435505173071,0.416158871495203,3.5441113475866,3.59332927782599
97,0.657960399402551,1.44976768288169,1.54366442205504,1.47771652494677
98,0.963817751901865,1.17872523874013,3.25255932352455,2.21326033338405
99,2.46419442351824,5.92715649943608,2.70816951572784,5.314568448226
100,0.731160975949626,0.765849601337729,2.21987372124296,1.73121119213019
