patient,Q8N3C0_N,Q8N3C0_C,Q8N3C0.3_N,Q8N3C0.3_C
1,21.1437269098841,55.0868281016138,0,0
2,27.4660799273913,35.318824217167,0,0
3,24.3636469865818,36.099364196333,0,0
4,19.4728401462784,45.5537370189759,0,0
5,16.1664080073494,28.2310611987291,0,0
6,14.2022088219086,29.6315483822106,0,0
7,16.8173242181199,27.7761137364746,0,0
8,18.5964379320358,30.0448694041931,0,0
9,22.6125290440368,48.3245239486214,0,0
10,23.7680063628282,37.6247113183893,0,0
11,21.4304182935889,42.7492949407307,0,0
12,24.6397432472961,55.0073874239322,0,0
13,23.3359644682941,48.3116322989757,0,0
14,28.5872342266055,60.7574656949288,0,0
15,38.2134648484731,60.5983377366667,0,0
16,29.3576767535976,58.2741154526411,0,0
17,28.6876241983116,39.5384280438515,0,0
18,20.0446307380544,24.1129958937027,0,0
19,19.0118588533479,25.4269618536199,0,0
20,23.4398192919712,37.815418389629,0,0
21,23.9922451737386,47.3481501928634,1.84815516450864,1.08716096860528
22,31.8915168003543,50.6727166091916,1.18028242101559,0.984336403023959
23,37.141671513526,51.855045927276,5.37904340810299,1.96210099057056
24,30.3185659050501,48.040655137569,3.14456927774006,1.57944290624234
26,30.092334180949,38.8042123762171,0,0
27,26.3398970318002,64.0541733758727,0,0
28,24.3284947976794,38.2930884019083,0,0
29,30.6823475154087,48.5536190824856,0,0
30,30.452655680501,56.4714208494171,0,0
31,29.2668678919818,68.0793459615942,0,0
41,17.7789800722347,24.3376278702473,0,0
42,14.9043336368989,38.4690191182716,0,0
43,11.5375379187127,25.489472641045,0,0
44,11.3630862509343,31.3912365724137,0,0
45,20.9030994927734,33.0519766761128,0,0
46,16.6483340883555,52.547694556726,0,0
47,25.7710791809585,52.0860473603671,0,0
49,8.98672406779411,22.6571932260039,0,0
50,10.6531894577365,19.8876046032295,0,0
51,14.9528905069961,24.2674297260565,0,0
52,12.2230693741715,30.4930807938357,0,0
54,25.454965146652,60.2809972619378,0,0
58,42.6093377372122,76.2067353844322,0,0
59,45.3969148181247,73.7852624021959,0,0
60,40.8461732075776,56.6279599518286,0,0
61,35.8552366075673,71.423394979209,0,0
62,26.1766728739501,89.8100416237364,0,0
63,27.4445355270769,57.805794567034,0,0
64,29.9706458494799,65.7950218454371,0,0
65,31.9584859263554,48.7822818056352,0,0
66,35.2589646329945,91.5427571907729,0,0
67,37.9733366195991,64.7065441471695,0,0
68,30.2398413342012,52.5078473520219,0,0
69,31.4192673977519,51.3814669684613,0,0
70,31.6055285623654,50.9024406872786,0,0
71,27.4481302438408,52.166196944254,0,0
72,21.8402531130692,40.3366187785816,0,0
73,46.3080061813548,59.664559635669,0,0
74,36.2233135024947,65.5931119550375,0,0
75,28.0484958651738,51.4223145917708,0,0
76,31.7554322024842,62.1050381288912,0,0
77,42.3170137957973,72.4256387088206,0,0
78,37.5052238460965,74.3723980796525,0,0
79,32.2844541819304,68.6857792149542,0,0
80,27.0202878813413,45.2330666234273,0,0
81,46.3582085567849,85.0472126973881,0,0
82,44.4651524777803,79.714706942805,0,0
83,41.5911297020793,83.2045943181814,0,0
84,41.566669158074,67.3469671373856,0,0
86,28.0528666227488,74.1322320599317,0,0
88,18.9710814507447,54.2812996555601,0,0
89,15.1880581232353,55.0439383752335,0,0
90,15.5232204723103,69.3895805202708,0,0
91,18.6963377761792,32.5710428034016,0,0
93,21.4080135954746,33.2427228206422,0,0
94,20.1959952569449,37.136170222346,0,0
95,14.5041051511151,33.7523489324414,0,0
96,22.585826770038,53.8132716425225,0,0
97,27.8782414865077,31.0090679109257,0,0
98,26.8799396669938,44.0713658450839,0,0
99,29.2428146123991,61.2937511419275,0,0
100,32.3966900444713,68.4837251713489,0,0
