patient,Q8N3V7_N,Q8N3V7_C,Q8N3V7.2_N,Q8N3V7.2_C
1,0.685159176717742,1.34891213327653,9.40536282072468,10.9499118335391
2,0.916678664296523,1.12716802068489,10.3051425404349,6.45670497917913
3,0.984699349189793,1.35389825030484,12.6919274112896,9.89020344527509
4,0.786291850915982,1.12069811514786,9.75466254789974,7.32576946005847
5,0.829753943070326,1.48327460934193,16.8098667963588,27.052641846252
6,0.842741335170465,1.77859255085926,7.16709911708239,15.3801594841784
7,0.858212941853031,0.962757215461098,9.88593006859583,8.32621685581215
8,1.1479275344973,1.52827363141962,24.69995837888,19.9427935440253
9,2.23951046398843,5.77394739894548,23.8096216687026,15.8677275297486
10,2.28677378036421,3.86857287305671,15.5910729981827,28.7287090350463
11,1.78294695588776,2.84538706971395,18.0786537536178,19.6337569105665
12,2.63555831828976,3.44426310067654,22.1994489362314,21.0777191028029
13,0.673078056798164,1.06267111254696,10.7545557872895,9.00152151137574
14,0.961294666122722,1.77696474344614,17.7625476951375,11.361312521538
15,1.33903453024669,1.60426634721728,16.1370740620651,9.32639707331544
16,0.793512992173333,1.15600748002066,17.6878175464569,15.3257316176966
17,1.15157420100377,0.861633453045872,38.814375560576,18.3413338201141
18,0.767430636591252,0.687823308824362,24.3634422762924,10.2517515343007
19,0.714977284828985,1.13253537562169,16.5916330610357,17.2753964195493
20,0.660316992760601,1.02007431996103,20.3758888628813,15.2824789376524
21,0,0,14.1267716389092,10.074654644602
22,0,0,16.2655745337753,19.6615989270572
23,0,0,16.3571830249318,10.1746424978833
24,0,0,16.0039594664597,10.4150151970538
25,0.625988955620944,1.53969930267242,24.2731072082616,19.8547938749314
26,0.982651457132492,0.956217501713088,20.1413692177527,20.350911635915
27,0.712601878350599,1.1631424079971,11.7763376715957,15.837131011749
28,0.669559434076343,1.43920351485348,16.8706934253643,15.1515451752009
29,1.09336842164286,1.31617607204069,17.3464930705298,15.6606285437518
30,1.2974089351832,1.31395003280184,14.9006919967861,12.8398488525613
31,1.47536871695285,1.12304333767576,14.4414808249967,12.1001395235629
32,1.92136530406649,1.66867714207214,11.9634821747635,15.7838557588767
33,0.697513831327977,0.975187669565834,10.7381666912559,19.4426128276486
34,1.06853891511798,0.678963579688037,23.4182485039957,14.2144262844899
35,0.804439597931355,0.842652160031588,17.4090552500169,19.7711853930299
37,0,0,16.7729667805972,11.8891831082621
38,0,0,9.89490165707454,9.55424398503016
41,0,0,23.1087967953454,17.8123740314434
42,0,0,14.6350221750904,14.1321201280138
43,0,0,13.772568884364,16.6107130594421
44,0,0,7.53834315392218,19.5523049671521
45,1.26587033977338,2.04802213541314,10.1927635899355,14.4738866591283
46,1.00041765122542,1.7121832969732,6.31481250478937,11.5735410202657
47,1.72184324866036,3.43760408362356,16.2063738863766,22.0337024586103
51,0,0,15.1710581652174,7.84648800803651
52,0,0,7.55711357026317,9.43340785779682
53,1.57797374672954,2.0174070520263,21.2125087030546,23.3598869001369
54,1.60254353338909,2.46100776653613,18.512394884589,14.0293955052469
55,1.38835708242663,2.89393380402198,17.928072587275,14.0779989749032
56,1.37405101145669,2.61403395872641,17.9232297613265,15.3579488351468
57,0,0,16.3448853114363,13.6879737387911
58,0,0,18.9735491512693,15.7204173580945
59,0,0,17.0700239885647,13.5878757536316
60,0,0,19.7811572636847,9.55173476777577
61,0,0,15.0337743323082,11.9656544737111
62,0,0,10.9015624007025,12.2325611391451
63,0,0,10.4987431995824,12.9614254652275
64,0,0,14.0751866795881,12.393407165708
65,0,0,24.0668912060378,17.8752608055081
66,0,0,27.1397807191693,17.2391274592456
67,0,0,27.3375508423021,18.8203777230531
68,0,0,23.2026131201783,23.8266379065959
69,0.619235898602923,0.756367829477568,14.4487138604118,11.6437373493086
70,0.660633305829989,0.720443545465063,18.219891749025,12.7427939131887
71,0.746211085839676,0.863138864768724,19.3593324371021,12.7415976305701
72,0.426060711620439,0.801524592185575,7.4854079865176,16.9813514362446
73,0,0,18.6942258872298,18.3817492785616
74,0,0,21.7682877793012,18.0579155028837
75,0,0,8.63102417049397,16.8678865915383
76,0,0,16.4530512981965,19.9671002482789
77,0,0,29.8635729131828,16.3367906304723
78,0,0,24.9525572194819,15.5710757419702
79,0,0,29.8216962960944,29.4894733604027
80,0,0,21.5071265706535,23.3677511629717
81,0,0,11.9655766635183,8.61684378673042
82,0,0,11.1673680051942,9.15356568379327
83,0,0,12.7388091072515,12.0705051384235
84,0,0,12.40854489584,8.99446747668465
85,0,0,14.7091138702648,12.4993404802323
86,0,0,20.4630318782638,21.4194885815143
87,0,0,4.77102448402506,22.4909422278661
88,0,0,10.9003674567772,12.7788639359194
89,0,0,12.1205981181227,16.4286573371561
90,0,0,12.8889484271914,21.2647236060701
91,0,0,17.3332688959959,13.3214194576852
92,0,0,20.5991075719512,18.9676390200551
93,0,0,21.146967864533,16.8620880232408
94,0,0,14.5963601481036,17.3907513388645
95,0,0,7.71093038191422,16.7228816267394
96,0,0,12.7837268525118,13.6259258275926
97,0,0,9.36399830873862,6.93161890447444
98,0,0,12.2949407169814,9.04610849716968
99,0,0,15.8825578065153,16.9261915486007
100,0,0,9.43419063461396,8.94039167736883
