patient,Q8N5H7_N,Q8N5H7_C,Q8N5H7.2_N,Q8N5H7.2_C
33,0.650893257659977,1.15601169231369,0,0
34,0.854734704425331,1.05119531722349,0,0
35,0.717760809782927,1.01561006767694,0,0
36,0.441726152165857,1.06651405223022,0,0
37,0.798100488069038,1.12032325027597,0,0
38,0.92099252275457,1.64743086845741,0,0
39,1.01117074085131,0.845185612030242,0,0
40,0.648822177634913,1.53450155168464,0,0
45,0,0,1.20201808630893,0.524632621849857
46,0,0,0.865330141631757,0.639184786222488
47,0,0,1.52677704634617,0.672341911031319
48,0,0,0.973319369638939,0.652340581155662
61,0,0,1.36188823446922,1.26641600056093
62,0,0,0.998816785864535,0.811388655167578
63,0,0,1.07202706492778,0.820423152433039
64,0,0,1.18439734960034,0.824014864675361
