patient,Q8NAA5_N,Q8NAA5_C,Q8NAA5.2_N,Q8NAA5.2_C
21,0.586457592624378,1.08428348413146,0,0
22,0.776079902573785,0.471556776107692,0,0
23,0.957122657316365,0.965908998030225,0,0
24,0.83112244480952,0.608255073600928,0,0
73,0.92909570143031,1.03098550044475,0,0
74,0.954274831238711,1.46175380770217,0,0
75,0.888412907169012,1.3287257090157,0,0
76,0.768547370489012,1.21123947458894,0,0
89,0,0,0.800696031072524,1.09418042953195
90,0,0,0.641462399634441,1.28189666427312
91,0,0,0.84036980220641,0.926064038122593
92,0,0,0.970224884130818,1.01281904824075
