patient,Q8TBY9_N,Q8TBY9_C,Q8TBY9.3_N,Q8TBY9.3_C
1,0.764365876102266,0.862840390457738,2.67184379927867,1.18575097956887
2,1.07290332425471,0.904392418350219,2.73641800264271,0.95505780908162
3,1.51701894487628,0.807046180736987,4.10269274181898,1.7936187209355
4,0.790334737513814,0.910514706902372,3.88125781977739,1.27517375410447
5,0,0,0.81061086787151,0.583396813328342
6,0,0,1.23496897309845,2.26904725079826
7,0,0,0.683386839621346,0.520186638412648
8,0,0,1.4768747316856,0.74828242647282
9,1.70423561101644,2.74314908471222,3.86141719808294,0.992070344991484
10,1.10231020834479,0.957939365620362,2.55673941458391,0.596428882639522
11,0.856426254741356,0.53936493320873,0.976971521368875,0.904899592030736
12,1.63088202957506,0.998928041339124,5.60540262209371,1.26861013189686
13,0,0,1.51313830941037,0.60378553850987
14,0,0,2.1653564509735,0.773623151548697
15,0,0,2.78724390955398,0.785875101912591
16,0,0,0.849700433081762,0.556528015677709
17,0,0,3.79935871388742,2.18700088106436
18,0,0,6.1634474962082,0.747663570201518
19,0,0,3.90267256188572,0.988396301943572
20,0,0,2.77209399629068,1.15053326520842
21,0,0,1.42616653840372,1.11954480490196
22,0,0,0.748545543068304,0.89895647062255
23,0,0,1.58966926109325,1.09231117862055
24,0,0,1.52074382038102,0.790446018501276
25,0,0,1.47586571762645,0.778457498440249
26,0,0,0.917528049591945,0.546805139992323
27,0,0,1.14889439185995,1.15139592197242
28,0,0,1.94113105320642,0.673689623540465
33,0,0,1.6323644029531,0.234128839843199
35,0,0,0.876782771503266,0.156826084330592
36,0,0,1.5692732015542,0.649111454315896
37,0,0,1.06610215722103,0.402898501748805
40,0,0,0.672685096902359,0.926306413731676
45,0,0,1.66257525160512,0.641808446033221
46,0,0,0.744430603514154,0.525751569277463
47,0,0,1.39296114305345,0.792959520012768
48,0,0,1.08776863014014,0.586247705764364
49,0,0,2.5744270721782,0.657299097703895
50,0,0,3.80491073144746,0.982100982475795
51,0,0,1.7408466096622,0.329501458062178
57,0,0,1.69349634189199,0.691536831343649
58,0,0,1.1560792749811,0.605233171105739
59,0,0,0.958983397407908,0.584290902120318
60,0,0,1.63632975154684,0.625893227974143
61,0,0,1.67395100569126,0.61843331330199
62,0,0,1.53807487009085,0.601993707801619
63,0,0,1.12691152037895,0.609107426915055
64,0,0,4.19806992117077,0.599361589310333
65,0,0,3.18215467930577,1.41763279171048
66,0,0,1.52070267951029,0.824001102660836
67,0,0,2.28310816969417,1.31258878531683
68,0,0,1.52441971361942,0.652688513875519
69,0,0,0.90256099891699,0.269815092055807
70,0,0,0.830047142766134,0.209863349684653
71,0,0,2.69892336115181,0.32584012868701
72,0,0,0.781308530292413,0.340039497993247
73,0,0,0.588078999204894,0.888289562531714
74,0,0,1.22258581354557,0.318680203451321
75,0,0,0.845977121715192,0.656629947938517
76,0,0,1.0092136438643,0.659430799781046
77,0,0,1.16873080063771,0.992466073025625
78,0,0,2.16376326943267,0.530552747210017
79,0,0,3.62596725901155,0.429716724345764
80,0,0,2.37837811564335,0.283542015009527
81,0,0,1.54372006170334,0.717048794349273
82,0,0,2.60073069741008,0.919558334009905
83,0,0,2.63207761630267,0.817569213282455
84,0,0,1.56292928472842,0.922895185515954
89,0,0,0.96769642802884,0.542180860068496
90,0,0,1.70475351272045,0.646579302621355
91,0,0,2.00431900753982,0.667961645476762
92,0,0,0.698476844476662,0.71027055652257
93,0,0,1.63055155669195,0.819329999355407
94,0,0,1.28453809544273,0.431990073268731
95,0,0,2.06052190541673,0.40011226660364
96,0,0,1.68444221224297,0.562086386197116
