patient,Q8TDD1_N,Q8TDD1_C,Q8TDD1.2_N,Q8TDD1.2_C
1,0.503643612498504,1.44143241943848,1.11270525844994,1.74813749920133
2,0.539901283399781,0.870669076846527,0.659657529870296,1.20453645134496
3,0.339533038149284,0.682977369922719,0.893351862500799,1.09225928055715
4,0.265545975020627,1.21641651603043,0.665609226247524,1.19526228356016
5,0.690224750610953,1.00198709987581,0,0
6,0.399411081286807,1.06731300829294,0,0
7,0.511604503024719,1.00736348703978,0,0
8,1.29496414406474,1.13178959176315,0,0
9,1.29947604019302,2.64697344091494,0,0
10,1.3100794252954,1.57548610989274,0,0
11,1.37806108595557,3.3156078819664,0,0
12,1.88316412603768,2.52360650502808,0,0
13,0.787537878787879,1.43419913419913,0,0
14,1.08361607142857,1.19151244588745,0,0
15,1.37508116883117,2.17876082251082,0,0
16,1.04867694805195,1.50177218614719,0,0
17,1.23526754723799,1.39824456299508,0,0
18,0.987932559267395,0.911410340531956,0,0
19,1.04314894588195,1.11752679276144,0,0
20,1.44344754134216,1.20567901938969,0,0
21,0.8695095436004,1.98700261679366,0,0
22,1.31769991533903,1.66670514892635,0,0
23,1.30837758793196,1.50560878934811,0,0
24,0.946614523204803,2.83411259909182,0,0
25,1.59050753911001,1.82661181974717,0,0
26,1.5255010657655,4.04359350503256,0,0
27,1.2090158985888,2.51632931947814,0,0
28,1.71922554507808,2.66095013642242,0,0
29,0.574581873343123,0.8687705065015,0.584839691321834,1.26847084751831
30,0.59713963079816,0.932443042207651,0.706786945390109,0.987109944015542
31,0.489463838283972,2.67916079035752,0.590643418911218,2.53922114435582
32,0.3213844342023,0.855757813673747,0.661959965118513,0.950714298617714
41,2.01244614339151,2.00887746277566,1.20067986154267,2.81778469434121
42,1.82046031532821,5.6209228362978,1.36685626165875,4.27111570818416
43,1.28857946356271,4.22966802361069,1.21575739626883,4.00369616492074
44,0.544096338805224,2.52836137856029,0.589232504408561,3.45658095919926
45,0,0,1.0049784596448,1.74790915684895
46,0,0,1.19688818797257,2.1056026903464
47,0,0,1.83901331985229,1.13976778178301
48,0,0,0.602272727272727,3.25685225074732
53,0,0,0.925523191820996,1.41682118031188
54,0,0,0.719906774715412,1.14148525164178
55,0,0,0.627878201387299,1.80875150512296
56,0,0,0.602337280510597,1.08415391775196
57,0,0,0.824484261114933,1.04404760717764
58,0,0,0.937310347348934,0.98125159948019
59,0,0,0.775251845426234,0.756599829167207
60,0,0,0.783338152546372,1.13513405721237
61,0.620409560393587,1.05474026220993,0.805172911048408,1.05281435737031
62,0.529701550113827,1.24217743994871,0.673611255645514,1.09015279681502
63,0.404053224378026,1.45024476911291,0.536433075946469,1.36429508011501
64,0.740457807890204,2.34505109996686,0.897332671283178,1.5030015252922
65,1.60821095083968,2.2936189431065,3.01654047889248,5.21632051214763
66,0.907756547644987,1.89124431996007,2.86730856115039,4.23788565396484
67,1.16939295377923,1.11300258696849,4.52682084567557,3.63237564910313
68,0.53647308641584,1.14920826086784,2.83806404242814,3.60431386551174
73,0.692626191547089,0.782383964714246,0,0
74,1.0070187020298,0.989696835599147,0,0
75,0.442395862048953,1.17710162064913,0,0
76,0.542899322432279,0.956054219926585,0,0
77,1.74038904718785,3.86499837145054,0,0
78,2.81653285372418,5.0742259861046,0,0
79,2.3779593132943,3.30064300291557,0,0
80,1.22112616928366,1.79700006442353,0,0
81,2.76451821385332,4.35628443043704,2.37034723717749,3.78564081663943
82,2.45471925038109,4.29554789451458,2.3012637713378,3.88161078782064
83,1.80510533867123,4.57821121161552,1.61905937476322,4.60312374409992
84,2.88870811907241,3.97927821883335,1.7811477294248,3.12778905577631
85,2.49190776526036,2.18199566748682,0.928377514762647,1.48836882333393
86,2.76274442655302,3.36264629808943,1.13055037194202,1.97575602648329
87,1.2003950211216,2.80861854823568,0.321094608757893,2.1252946138705
88,1.82890921578237,4.51195577237809,0.785876428334058,2.31775863391191
89,1.16334114045451,2.92447672337387,1.47156914861569,2.93438979742911
90,1.19859281304045,2.23269599325247,1.08907348617448,2.14822817562104
91,1.30831654228438,2.37463681733869,1.4806026408954,1.63514805252146
92,1.47874636400083,4.09455987622868,1.23642228282652,2.81617422239285
93,1.75832594291394,1.93347255075129,0.658558767972521,0.848612186221387
94,1.27985084365649,1.822963647879,0.468900288192242,1.08997601030902
95,1.15629720393859,2.21851349666427,0.421266195298201,0.872283669632843
96,1.56510615341426,2.73153637732474,0.400081695843216,1.1082718169652
97,0,0,0.803822140490219,1.40528061802153
98,0,0,1.47437398840921,3.30726790410941
99,0,0,1.2403132314734,7.59868926208321
100,0,0,1.18555574303983,2.86183897556095
