patient,Q8WVI7_N,Q8WVI7_C,Q8WVI7.2_N,Q8WVI7.2_C
37,0,0,1.07738776548391,0.835558946966807
38,0,0,0.644110072491415,1.10472307007504
39,0,0,0.815790728729493,1.14428335241002
40,0,0,0.624431673661452,1.08977966425029
49,0.357573161383415,1.74913762005682,0,0
50,0.55999064345944,0.500632411958335,0,0
51,0.693505659016098,0.940354872164856,0,0
52,0.468444221490734,1.18992650042837,0,0
85,1.20986949014828,0.953350345317896,0,0
86,0.896271328458257,0.989761070485476,0,0
87,0.558337141986593,0.933240656104002,0,0
88,0.793317083079423,1.68188223644119,0,0
