patient,Q8WWI5_N,Q8WWI5_C,Q8WWI5.2_N,Q8WWI5.2_C,Q8WWI5.3_N,Q8WWI5.3_C
1,0.627838518477719,1.27369116796563,0,0,0,0
2,0.868839867931052,1.45597446748613,0,0,0,0
3,0.865544264211335,1.02920755571467,0,0,0,0
4,0.829127384110723,1.28941949026772,0,0,0,0
5,0.758120919263416,2.31435514613443,0,0,0,0
6,0.369340000811078,1.2355963451574,0,0,0,0
7,0.531773983734765,0.801563508973331,0,0,0,0
8,1.42572240540802,1.59993573765992,0,0,0,0
9,1.11050549543412,1.56598482087684,0,0,0,0
10,0.642543797104664,1.69037546411463,0,0,0,0
11,0.621110283671087,1.16395459995035,0,0,0,0
12,1.01268095849244,1.33488610376098,0,0,0,0
33,0.444062336384158,1.46835830546202,0,0,0,0
34,1.03493904549915,1.54016759984321,0,0,0,0
35,0.74074381371183,0.916423239672354,0,0,0,0
36,0.28251788866541,0.804610855365741,0,0,0,0
41,0.745084614153688,0.7842371872057,0,0,0,0
42,2.13752849546565,0.826684609956427,0,0,0,0
43,0.584877794129606,0.765784979577703,0,0,0,0
44,0.595698857033429,1.25536396809033,0,0,0,0
57,1.38278877639205,1.96997867229063,0,0,0,0
58,1.38782338436655,1.74020233574096,0,0,0,0
59,0.836161170883316,1.6977253086175,0,0,0,0
60,1.08563987092375,1.20887676706811,0,0,0,0
61,0.971599190022313,1.75309610101505,0,0,0,0
62,0.764861413849587,2.19843937420195,0,0,0,0
63,0.72468497285027,1.66957811512517,0,0,0,0
64,0.721156152863942,1.44067429352663,0,0,0,0
65,0.803479969129306,1.3052360493766,0,0,0,0
66,1.22725040342384,1.01244732791033,0,0,0,0
67,1.12104778766906,1.29076231629255,0,0,0,0
68,1.03321488561748,0.984758626666832,0,0,0,0
73,0.770879163640137,1.15652433329874,0,0,0,0
74,1.16572584829304,1.16450788627166,0,0,0,0
75,1.22144209816333,1.2230362145896,0,0,0,0
76,0.703273840406766,1.29588694614507,0,0,0,0
77,0,0,1.46383381698678,1.4467785867318,1.46383381698678,1.4467785867318
78,0,0,0.62998870173037,0.999817164931296,0.62998870173037,0.999817164931296
79,0,0,0.143085318343983,0.269948946823123,0.143085318343983,0.269948946823123
80,0,0,0.925239209214887,1.14534450346215,0.925239209214887,1.14534450346215
81,1.44569485408377,2.91239771239861,0,0,0,0
82,1.93803045823081,3.67255233147609,0,0,0,0
83,1.67922941694343,2.54727179573834,0,0,0,0
84,1.8796639030376,3.03249971393217,0,0,0,0
97,1.22442931337405,0.676711738092327,0,0,0,0
98,0.600622333202474,0.648207976419557,0,0,0,0
99,0.709582129319166,3.10727685782872,0,0,0,0
100,0.700375845491463,1.03640037841978,0,0,0,0
