patient,Q96G97.3_N,Q96G97.3_C,Q96G97.4_N,Q96G97.4_C
1,0.569367064850568,1.04005067373828,0.780394041326285,1.63395830916834
2,0.557398956635375,0.747265599204791,0.981497207907339,0.835840279043563
3,0.73219381140889,0.787995745908391,0.816927372450248,1.18718412898308
4,0.541604251311157,1.00882619741905,0.7600975161146,0.919967605097019
5,0,0,0.929851740178889,5.69331029807035
6,0,0,0.568529839421043,2.14422976262996
7,0,0,0.847903991280361,1.86407463463083
8,0,0,1.7744552722581,2.16791819662369
9,0,0,1.39217948666315,1.95608427172766
10,0,0,1.03222569809075,2.2331400134141
11,0,0,1.00295916631882,2.92972131411734
12,0,0,1.27990837820609,2.85239502837013
13,0,0,1.60406627753168,1.67719010422932
14,0,0,2.41054571631648,4.63027868681048
15,0,0,2.34900425974652,2.78483338048308
16,0,0,2.67910703482523,3.30708336856489
17,0,0,1.6193755290402,4.03916764347265
18,0,0,1.10783396596243,1.93312318257461
19,0,0,0.971466841792448,2.19002645951506
20,0,0,1.83735028514306,5.90983230569731
21,0,0,0.898881070615967,0.71769405791761
22,0,0,0.776828276801956,1.10347026034264
23,0,0,1.21544508589377,1.50041820936204
24,0,0,1.00210566951517,1.68365824983769
25,0,0,0.824971615807505,1.82816608238387
26,0,0,0.749457214564576,1.20160993147956
27,0,0,0.291265387220142,2.55168910843757
28,0,0,0.503656332164768,1.11796495299179
29,0,0,1.39502802315286,2.27011267290676
30,0,0,1.15989301032495,4.90878812260931
31,0,0,1.33455200672896,2.8589292154268
32,0,0,0.629924371530067,2.48840600332989
37,0,0,1.69140421204176,2.67388375610046
38,0,0,0.942449297662839,1.2498051815114
39,0,0,0.559267746643509,1.36015664727287
40,0,0,0.849940233650106,2.14021317765465
41,0,0,1.03372330310971,1.37203174639983
42,0,0,0.721558101245275,2.24496788256847
43,0,0,0.566205968972474,3.03043039677202
44,0,0,0.420364422697864,3.35832966166547
45,0,0,1.03491641394344,2.09769048324666
46,0,0,0.76359222643656,3.75574584806396
47,0,0,1.57992783413772,4.22807193596706
48,0,0,0.563951301157433,3.16396154053969
53,0,0,2.91619076083351,3.66118450319875
54,0,0,1.63459312449823,3.39685148273784
55,0,0,1.94866246094986,3.24047705127448
56,0,0,2.23484979164336,3.24976834034552
57,0,0,1.69724934973092,2.08057649155314
58,0,0,1.77909930848227,2.76844311774406
59,0,0,1.85973159118651,5.17908678509041
60,0,0,1.55145765925017,18.0070745523384
61,0,0,1.83220776564213,3.41126147358257
62,0,0,0.754017666496855,2.47309260527882
63,0,0,1.05283374426472,2.07007118406901
64,0,0,1.01253484658368,2.47488261200651
65,0,0,0.77902728697824,1.34925405850626
66,0,0,0.903628742992268,1.39370831894147
67,0,0,0.879287669049074,2.20549924276643
68,0,0,0.875013284799532,1.43610343544916
69,0,0,0.63109843741223,0.935279326193914
70,0,0,0.617980498217348,1.21352172059781
71,0,0,0.650071537376214,1.82805586854305
72,0,0,0.263425731647276,0.540776304441926
73,0,0,1.57643386721561,2.10643336513196
74,0,0,0.924494987531589,1.63731987749159
75,0,0,0.488490569195495,1.43646968251577
76,0,0,0.956134625361919,1.95552375692457
77,0,0,3.56420951303124,3.568365688914
78,0,0,3.68235470979589,4.60468518568925
79,0,0,3.51946094435399,4.06442468624626
80,0,0,2.67772214718465,3.90545889557806
81,0,0,1.82169911248082,5.6272708175251
82,0,0,1.37929574522591,4.37045537097331
83,0,0,1.43320334824552,3.13687190697065
84,0,0,2.03133367124328,3.45710556587476
85,0,0,1.28506390123969,4.28047945064859
86,0,0,1.75869291992527,2.92139848773286
87,0,0,0.319115412053824,1.46687369664667
88,0,0,1.07153860487194,5.48562580857443
89,0,0,0.892011331703649,6.16514323923057
90,0,0,1.01200312951509,4.68363638573163
91,0,0,1.64885560047859,2.30488032267409
92,0,0,1.25674942198418,2.97779238038831
93,0,0,2.14917021174324,2.47012521111442
94,0,0,1.71709859748935,4.82849031059797
95,0,0,1.04730365844697,3.03667421646923
96,0,0,2.11850387652274,5.91850945587377
97,0,0,1.17874490225851,1.01707196858281
98,0,0,0.836204497937054,1.10585812975491
99,0,0,1.0126479636858,1.67694827133897
100,0,0,0.960970975665986,1.32332599311556
