patient,Q96IQ9_N,Q96IQ9_C,Q96IQ9.2_N,Q96IQ9.2_C
1,0,0,2.16221004631859,3.15441837934599
2,0,0,3.4557699457088,2.90656356338044
3,0,0,3.3708392939229,2.91660100273534
4,0,0,2.95070193407201,2.63232795331992
5,0,0,0.932778577123638,2.36430620343301
6,0,0,0.745849867573339,1.66793441901812
7,0,0,0.866190419458013,0.820469770979774
8,0,0,0.991449544983825,1.38615431142718
9,0.626058221374942,1.54335432459049,0,0
10,0.29140051137955,0.933498071032969,0,0
11,0.289756146041326,2.40788843613628,0,0
12,0.548524588682791,3.978550970808,0,0
13,0,0,1.26850262164968,1.50841792092502
14,0,0,1.00983263494418,1.57805761172433
15,0,0,1.43441240113972,1.69042183146278
16,0,0,0.972035184906185,2.21134122173676
21,0,0,1.35924334682017,1.68697327429733
22,0,0,1.72751897619532,2.50406110929495
23,0,0,2.2236849173242,2.2513245201045
24,0,0,2.10501828847748,3.46070213458471
25,0,0,1.02912429974236,1.13460762650481
26,0,0,0.956849917940349,0.902287126261839
27,0,0,0.774551422520102,1.27992655890416
28,0,0,0.914039076897687,1.79624909459323
33,0.384018575937487,1.80590509030742,0,0
34,0.635370754021774,2.04762169602759,0,0
35,0.549227624754939,1.48324202944898,0,0
37,0,0,1.33569947436948,1.07617302406327
38,0,0,0.921153493755124,2.04290881033901
45,0,0,0.709507264741982,1.21923022991311
46,0,0,0.472939636771557,1.49010565166285
47,0,0,0.989426177999595,1.588263196071
48,0,0,0.429998632396958,0.887190060468828
53,0,0,1.97203133911888,2.21669999100481
54,0,0,2.24876088486037,2.55866838512617
55,0,0,2.10400239090395,2.71579680660553
56,0,0,1.74536241514509,2.11779684727062
57,0,0,2.37728463163858,2.20041230045337
65,0,0,1.89522334592921,3.03320382452544
66,0,0,1.68071124597048,3.04352092117334
67,0,0,2.02769001058906,2.98414450106328
68,0,0,1.74994102022718,2.3928271631996
69,0,0,2.60183826417467,3.13750141993591
70,0,0,1.99045078062674,3.53322126348998
71,0,0,2.57582348649853,3.89148383861292
72,0,0,1.84952235688753,2.97917653303198
77,0,0,1.57169334176289,0.819086280903737
78,0,0,1.32004126043989,0.921648421122683
79,0,0,1.45331248128307,1.42385785112967
80,0,0,1.04739626659568,0.963481183242938
85,0,0,0.502874406754189,0.90108754124103
86,0,0,0.568721004869567,1.70347751951268
88,0,0,0.302786762981181,1.10066252512385
90,0,0,1.87584668988662,1.86112751852059
91,0,0,2.27653818198813,1.51472321371498
93,0,0,0.680855561736012,0.92442617961339
94,0,0,0.702264096063283,1.12717679919997
95,0,0,0.217184400661492,1.16713769740186
96,0,0,0.508560265196551,2.31103921124716
97,0,0,1.00083550206759,1.16638745513332
98,0,0,1.50439135270724,4.34600126622937
99,0,0,2.17921796134155,2.40093065176574
100,0,0,2.37419682975339,4.85729495071483
