patient,Q96JZ2_N,Q96JZ2_C,Q96JZ2.2_N,Q96JZ2.2_C
1,1.28565944667046,0.822605370713728,0,0
2,1.28639206762192,1.14201305169243,0,0
3,0.97987550461777,0.932242597893966,0,0
4,1.30165667676111,0.691797405217164,0,0
13,1.9450803832492,1.87061299811154,0,0
14,2.52715353801218,1.86039896464533,0,0
15,3.93472281707,2.68337864641136,0,0
16,1.96813295294289,2.29627901342314,0,0
57,1.01091788462246,1.51364447962302,0,0
58,1.03324375069028,1.59871424364025,0,0
59,0.783692430880241,1.76204303648345,0,0
60,1.25981344107794,1.48194925081913,0,0
81,1.12453646086402,1.16438863410167,0.744717923620838,0.917284033953795
82,1.15031944236219,1.53634164888976,0.817751489275529,1.3690998531819
83,0.828322986302904,1.12683767414892,0.651079197394401,1.70357510505088
84,0.867176281246557,1.24379855532937,1.29295695023373,1.56608501949137
85,0.882715962588343,1.0173521678386,0,0
86,0.672420470828545,1.06489646859417,0,0
87,0.558645214316849,0.717584680496419,0,0
88,0.570539278533291,1.7401252423871,0,0
