patient,Q96M27_N,Q96M27_C,Q96M27.3_N,Q96M27.3_C
1,1.38021520757053,4.57590995650322,0,0
2,1.67709527643375,3.41324025763352,0,0
3,1.83596363447093,4.84831751219233,0,0
4,1.39515421962672,3.3104319252486,0,0
5,0.59892175961582,2.81629139672904,0,0
6,0.46262402029629,1.32036877633308,0,0
7,0.400040018725743,1.4364344070433,0,0
8,0.675478337033178,1.12623265225993,0,0
9,0.74254052655877,2.95536921651382,0,0
10,0.603838358703019,1.67449749031652,0,0
11,0.589117501645292,1.29825288048799,0,0
12,0.726716260064109,2.23505895218668,0,0
13,0.561725169119995,2.0818900345945,1.07786058182863,1.67355720659779
14,0.792786967989476,1.93504764840014,1.08768117585111,1.43659569536507
15,0.724119448185296,2.14799702518542,0.979299407186821,1.55655659438528
16,0.766130887374681,2.29483941137978,0.678516631773073,1.40036682362485
17,0.914163664178293,1.50736898422544,0,0
18,0.65126940471314,1.9065146334735,0,0
19,0.442419935965492,0.817335295051955,0,0
20,0.735035904466532,1.15431814951974,0,0
21,0.757433970444774,1.3177367489251,0,0
22,0.704061133793403,1.28446905372692,0,0
23,0.910241355638256,1.22337139140803,0,0
24,0.773540304223724,1.65862448964844,0,0
25,0.806870007779094,1.74475419588064,0,0
26,0.738119086236088,1.81006807978402,0,0
27,0.485465805034548,1.63431648201911,0,0
28,0.543733253339163,1.46298320630869,0,0
29,0.785579370736178,1.47483284119065,0,0
30,0.78643977191732,2.40512676916811,0,0
31,0.700009333740624,1.61053694464243,0,0
32,0.462648067067169,1.23560058378305,0,0
33,0.418883330320852,2.02272954736592,0,0
34,0.623952664701832,2.68725809896973,0,0
35,0.611494434875873,1.24312668705196,0,0
36,0.174872318082209,1.23710969068038,0,0
37,0.526841813360887,1.80150505610722,0,0
38,0.363301626615409,1.81360780410718,0,0
39,0.401195079887254,1.84335184580203,0,0
40,0.276384826360135,1.57662794496403,0,0
41,0.700577472673168,1.21970478182729,0,0
42,0.701409062785422,1.74012256562859,0,0
43,0.487326537226363,1.28161368256681,0,0
44,0.383857281753631,1.20539318228691,0,0
45,0.594798840032434,1.09262915855616,0,0
46,0.350933418702958,1.01678494565865,0,0
47,0.618980798844706,1.66904237246549,0,0
48,0.422633388091405,1.18659494371914,0,0
49,0.358501373179704,1.27776624211058,0,0
50,0.391781294197385,0.9700172773823,0,0
51,0.966314981175097,1.49449748674813,0,0
52,0.694143319999843,1.84829988207501,0,0
53,0.787099551727335,2.3646579505156,0,0
54,0.59215986349131,1.34858895454895,0,0
55,0.539939947489406,1.96625620833287,0,0
56,0.54329610035777,1.85757404826512,0,0
57,1.32985562580888,3.23508211937733,0,0
58,1.49813035883302,3.9386237479039,0,0
59,1.64091687530357,2.86771809119626,0,0
60,1.56251507197164,3.40820771285485,0,0
61,0.808689808990049,2.98243356590034,0,0
62,0.458521579168096,1.65899624461474,0,0
63,0.53141322581875,1.82810057569865,0,0
64,0.530081207823402,1.00939084601014,0,0
65,2.21475596813738,3.66460807435743,0,0
66,2.35960034242618,7.14735532120969,0,0
67,2.85055023705184,4.42447196893809,0,0
68,2.19022121979257,4.38243969832987,0,0
69,0.771383448214787,1.66897062141413,0,0
70,0.78216663117255,1.48670446614388,0,0
71,0.553377177353207,1.50363621412019,0,0
72,0.305176307360777,1.67603851919951,0,0
73,0.999791543953759,1.25385777311216,0,0
74,0.620870833150712,2.6491984063268,0,0
75,0.246550052434713,1.22333766993177,0,0
76,0.566293833228749,1.85808098570847,0,0
77,0.908937046524667,1.92908432635008,0,0
78,0.854773254517297,2.04003610085729,0,0
79,0.648769089995769,2.54263006834568,0,0
80,0.571419042993787,1.99618147975997,0,0
81,1.10060632295691,1.87436567153265,0,0
82,0.857024191496269,1.8419874991591,0,0
83,0.745452577823146,1.83808281441487,0,0
84,0.892099082472207,2.01961409430326,0,0
85,1.08892920675756,3.39726802010287,0,0
86,1.58891296502913,5.02194643282395,0,0
87,0.493575627405738,2.73147033249294,0,0
88,1.18518874449583,4.40834572180797,0,0
89,0.884771333401247,3.98699207648683,0,0
90,0.946709641835139,3.51565306391895,0,0
91,1.04162447423326,2.20476089476539,0,0
92,1.17155479041047,4.02921363124476,0,0
93,0.754045818527855,1.44128729209058,0,0
94,0.79159959911319,1.67892205991031,0,0
95,0.578682135228435,1.34572235551371,0,0
96,0.929196910337008,1.82649092436805,0,0
97,1.08973504451277,2.25887781182378,0,0
98,1.27881360404018,2.43828635480064,0,0
99,1.13729437824324,4.19395509334288,0,0
100,1.24904046331096,3.01553953324789,0,0
