patient,Q96PK6_N,Q96PK6_C,Q96PK6.5_N,Q96PK6.5_C
2,37.102693367971,58.0133008283114,10.490690485476,15.9050461651292
3,42.5461264390018,50.5624015564145,14.152391412806,19.2035507674523
6,28.8123685342554,80.4425903213953,6.57195075964209,27.4788007233874
8,47.2575003784062,90.3806811860218,9.50584042259051,21.6781001088275
12,45.0883181369283,70.3079430249359,12.8348560426781,25.7987311680338
13,21.350450189289,50.2297083024638,8.37395783860366,19.2820527371483
14,28.4095257601436,57.4581633826842,9.85472274922491,31.1736346645577
15,32.6383792713035,49.966857302848,11.814528095806,25.3100396462691
16,28.5185570871866,51.7226060519203,9.61299955072819,21.9669633423776
17,53.5794483472016,83.371974399851,13.8388429018045,28.1204676472617
18,44.0325860429167,53.1759309824353,10.5450618823608,12.9267392746616
19,31.2182564321805,50.2174464360001,8.40629225546874,13.7929153006916
22,41.2274271538038,63.8707441683912,13.5603890913347,19.6341552608289
26,41.2389886851697,63.1291867300553,7.05080595864773,11.1333647877302
29,41.8720180981321,80.7191859033132,8.21852700386191,13.1875038803331
30,40.9068087609199,82.5897747951197,7.58272619833422,16.9153494164185
31,36.0159680990664,63.8075680675777,7.04914679047712,14.5643904858794
32,32.7034699860365,59.0162190597044,6.02156513429478,12.4284305878704
41,47.3500667435306,51.034942241488,14.7199955919662,19.9057013884588
42,32.1813253616747,63.3322443121744,13.0493940373553,36.2438182780378
43,25.0457987918885,113.988187683488,10.486761639009,32.0381813963023
54,34.1895931128598,65.3392098963596,9.80427435237021,32.3135710600014
60,39.256020762848,62.5532074373273,8.75022391313409,19.7541034825282
64,32.8862150245534,68.2991299004742,11.9330181054962,27.6677953502562
67,39.919162444304,66.0508845079936,18.5604112415568,33.7031653376128
71,32.8946015334817,56.7161330808023,6.08826603399719,12.376111709456
73,52.6542600960555,61.8423789184167,5.57210250463022,8.37100268752304
74,47.9454797239255,100.042118017305,4.79056015748597,15.4244426397844
76,44.1269957570435,79.8590495307717,4.36067346871027,12.7257949309177
77,47.4648794420794,69.5825759738365,8.98601997248563,16.0545440621914
79,41.1665140846733,68.5985767493484,5.4544787089528,8.20919642498713
90,28.1797047707736,74.8804862157691,3.63564355474672,14.2646801455366
91,34.6250002100695,63.4090744676976,5.44244112189242,12.0680388694015
94,31.999790702233,45.8759204912443,8.16857534998514,11.9247415157738
96,33.3561492291029,48.4339056280592,7.61697150970636,14.9288133844481
98,27.8722497283379,53.5198494844316,5.44289527365665,14.0877255357453
99,28.1993846167541,60.3341120700446,6.01306091087041,15.0341597292431
100,26.4445712086208,58.0401216817242,5.8726788961763,12.0991354522657
