patient,Q9BSJ8_N,Q9BSJ8_C,Q9BSJ8.2_N,Q9BSJ8.2_C
1,0.552262252542941,2.67077664098639,0,0
2,0.894399594655903,0.892931494303559,0,0
3,0.88670929281023,1.48491195637887,0,0
4,0.70223320853597,1.40353573684858,0,0
5,0.641499002275067,1.23022026207756,1.49941577711056,0.599841607695338
6,0.255553578464393,1.18707660239708,0.839637875929614,0.643195114310032
7,0.546486355952668,0.71795523583167,1.51189354100922,0.488149485762845
8,0.949421065341451,2.13774959010664,1.75455108958577,0.989794587500992
9,0.7342394302623,1.83417605515003,0.9565613093641,1.32981164475449
10,0.902010222086455,1.34380770440753,1.04180520525892,1.16474161524014
11,0.675596934285936,1.62679809783476,0.902123960289777,1.08117628119131
12,0.888373174546002,1.5187002174815,1.16068687952777,1.16138019855111
17,1.61764650301415,1.595701759359,1.46603329684513,1.31042201055435
18,0.734022147891982,0.311000245667744,0.7629029359387,0.550342281111638
19,0.486252055105165,0.635613318971219,0.730840426748575,0.725983956083455
20,0.809838993140201,1.61205756184213,0.995221134837519,1.32081297890764
21,2.46437903469383,3.25177575162718,1.20465501410113,0.786712959926543
22,2.42748070181399,4.18474856866004,1.1360349576966,1.10129041778711
23,4.93967533585363,2.9996465897435,1.15429264773398,0.792275529612383
24,3.48257986211159,4.39065752191255,1.19537449990162,0.92962550009838
25,1.07181007131277,1.31634226151995,1.30655934875377,0.92989963578049
26,0.755529474951016,1.01683856658345,1.10654100187546,1.28344907721997
27,0.54012710979382,1.0812488189133,0.922861569405561,0.838679976081107
28,0.626807435624559,1.58092557413246,0.90653284770732,1.23133035253187
29,0.782705450424878,1.69275244920412,0.984141736174017,1.21556886227545
30,0.853672355593378,1.32796865382799,1.02591379127796,1.16599708245591
31,0.749871154399693,1.62959819513766,0.867075279696011,2.00023234474077
32,0.340459566373403,1.08517234592285,1.26479947766549,1.00483512346623
33,1.15736725809459,2.54788085187111,0.517212589375504,0.902214633822896
34,1.70516084731483,2.02774001147513,0.920194719800197,0.783150438174806
35,1.55922193269436,2.53204810240472,0.716009680734675,1.1272254086132
36,0.548716523505586,2.68133701225432,0.342562631922112,1.10539955132668
37,0,0,0.880661362727232,0.631600293346371
38,0,0,0.579170185341571,1.26033379261301
39,0,0,0.526740077336771,0.680517282249582
40,0,0,0.373227699008845,0.681043231551032
41,0,0,1.1498633276806,1.12667549422724
42,0,0,1.00163387305348,1.38157130578205
43,0,0,0.944951642003701,1.12223074004383
44,0,0,0.617189738348007,1.31322740260645
49,1.66108853893838,4.431572715955,0,0
50,1.75524418520609,2.31346656715134,0,0
51,3.39602764455917,3.86338931072507,0,0
52,1.76761196502242,4.62412438184258,0,0
53,0,0,1.06251712485158,0.829632190806727
54,0,0,0.935421369205276,0.670693996842504
55,0,0,0.920175358480226,0.902600367939668
56,0,0,0.924644129274689,1.31734796393669
57,0.843389366074722,1.15258320222224,1.4332939765358,2.47986110566038
58,1.07096560498047,1.13122275837668,1.83698582303178,2.06894392869891
59,0.825085253577639,1.17938632479919,1.59339862773924,2.13959532224163
60,1.11619328661011,1.14187098668313,1.80106196235366,2.8599186713768
61,0,0,1.37391192625189,1.52307840555038
62,0,0,0.841213503356567,1.78684461289735
63,0,0,0.96138609621088,1.80627736913671
64,0,0,0.926498142378398,1.35227893232262
65,0.996237354020964,0.988163861986478,0,0
66,0.857418143761317,0.955936342342642,0,0
67,1.516462614416,0.942289482864595,0,0
68,0.623769456949682,1.35843978935827,0,0
69,0,0,3.03030945257122,3.23326972436283
70,0,0,3.65834798600336,3.17639322301898
71,0,0,2.89502233680149,2.94780236916424
72,0,0,2.86410397801387,2.98656471776372
73,1.15487845210279,1.48576406720963,1.0170144147031,1.03778884966638
74,0.935398522764855,1.35036608220784,1.16035517332272,1.11806980458231
75,0.297474395755974,0.893299741067083,1.14132766186177,0.91363840750867
76,0.688627117778178,2.20299211370462,0.953918432110315,1.09952037129877
77,1.51063624106439,1.25993538375436,2.243525824329,1.86778207190537
78,1.05277162990664,2.04481925258847,2.48460228269665,3.2951039811522
79,1.10723752830141,2.04355745503574,2.22003635418848,3.00500344577787
80,0.879544124755145,1.42986084611667,2.02539748909952,2.21345317038222
81,2.77814008588068,3.7431661691167,1.30780804304607,1.37935160774484
82,2.52754198856929,2.51585406279186,1.34996272365805,1.33748325265796
83,2.07262112613482,2.85887983862305,1.35944117901288,1.13562645863947
84,2.17277269065155,2.51310720054859,1.64469973636442,1.07998206413692
85,0.925182946558264,1.76306785716744,1.00871415995275,1.27035811260062
86,1.2822574538245,1.92712427974474,1.0350572214979,1.05968419527742
87,0.221395970012598,0.587511444916392,0.562869358175747,1.293157564344
88,0.719346555510426,1.52453170499997,0.900563485961139,1.61266933366021
89,0,0,2.13450191409739,1.70925070378836
90,0,0,3.06589553331707,2.12340498481216
91,0,0,2.17714576068508,2.26074834873086
92,0,0,3.05342749031048,2.22928919129766
93,0.84426326608829,0.990948050590572,0,0
94,0.928295181352566,1.42362983868158,0,0
95,0.393240653635762,0.897522734399498,0,0
96,1.18295529772482,1.34017630047734,0,0
97,0,0,0.664302863240263,0.828965113521845
98,0,0,0.928381943209437,0.812348094137175
99,0,0,0.797224198233446,0.982034352955125
100,0,0,0.84824233801648,1.1097871835912
