patient,Q9BST9_N,Q9BST9_C,Q9BST9.2_N,Q9BST9.2_C
1,1.67090486690984,3.88258257923029,0.699454759084112,1.01871200792371
2,2.03245932393069,3.31402892070828,0.894175681187004,0.970948806587559
3,2.4661900179753,2.55491425075092,1.11778514691888,1.11781185061467
4,2.04187991395535,5.5997194134246,0.860089627313511,1.11286923928454
5,2.57285229983346,2.79638477079408,0,0
6,1.59059698695047,4.97077127608223,0,0
7,2.06517460399513,3.01205517264875,0,0
8,3.48777307495885,3.47145504146926,0,0
9,0,0,0.973497086087535,1.07001994758869
10,0,0,1.19124652872844,0.986779833378965
11,0,0,1.44885985841123,1.18297023506864
12,0,0,1.29947979817734,1.12516134079086
13,0.688143893257054,2.04695862141529,0,0
14,0.83300371467448,1.21494287105282,0,0
15,1.08044954159526,1.31049542665257,0,0
16,0.389450538476217,1.8887416651657,0,0
17,0.668076784634167,1.13845750411594,0,0
18,1.07532256448507,0.610148148972778,0,0
19,0.811404143520322,0.837318153537108,0,0
20,0.928335083611337,1.53464127959547,0,0
21,2.04474148389067,6.15498325722975,0,0
22,1.83031093181217,2.57077322592451,0,0
23,2.16029145299509,3.25930250371823,0,0
24,1.65827915325209,4.78507710510938,0,0
33,0.527939393644317,0.898048113111091,0,0
34,0.537550330832412,1.36132547190481,0,0
35,0.51827490006865,1.01791704602441,0,0
36,0.293233393868281,0.776689338870739,0,0
45,0.711271032521161,1.10158664884685,0,0
46,0.741681230937939,1.31018813611597,0,0
47,0.821466022411843,1.14559473630102,0,0
48,0.833069463006751,1.50190192248381,0,0
49,0.675593936962133,1.54645194904749,0,0
50,0.794035976579889,0.597566161014259,0,0
51,1.37517891471383,0.922682892259905,0,0
52,0.581526219863975,0.861126249408608,0,0
53,0,0,1.84189720479261,1.26341721111758
54,0,0,1.86487914267848,1.68269113281727
55,0,0,1.38045259503633,1.97477557122424
56,0,0,1.01380174080543,1.69653779531521
61,1.27056943048843,2.24955580875369,0,0
62,1.48368856932444,2.38961759515568,0,0
63,1.77943404811981,2.59269759686425,0,0
64,1.94526597550133,2.46221264024096,0,0
65,2.79210703647397,3.40066975147068,0,0
66,3.40257589002506,6.49481931939949,0,0
67,2.73279038229501,4.13257199557062,0,0
68,2.49814717681342,4.38555501311995,0,0
69,2.43507879970099,2.95177013621154,0,0
70,2.3464812803353,2.72554735950492,0,0
71,2.73677265195135,2.58455518852371,0,0
72,1.82251612013437,3.00160277315686,0,0
73,0.849108307322577,1.72442519892733,0,0
74,1.30516844712123,1.31622485016339,0,0
75,0.502392256854384,2.03702319719817,0,0
76,1.18147448015123,1.41657507949766,0,0
77,2.33258265542384,2.81586528029008,0,0
78,2.40967615000569,2.68499098413588,0,0
79,2.73886150037714,3.20405210849312,0,0
80,2.2130047238702,2.21710476310777,0,0
81,1.86146983632153,1.93319452066711,0,0
82,2.26351317049466,5.09587361805462,0,0
83,1.82595248690283,4.82723207805756,0,0
84,1.94853214041638,3.12027081677464,0,0
89,0.710349694324796,0.831639865909531,0,0
90,1.08141291448187,1.30332767530816,0,0
91,0.598540655038558,1.02134525458749,0,0
92,0.860470971493955,1.43241812018024,0,0
93,2.14128922695462,1.65695750326307,1.14008021282599,1.25701358378008
94,1.68822626733956,2.17145790432767,1.04439920996413,1.54210165665686
95,0.986834378591174,1.6675824731022,1.12268229271635,2.97583034382684
96,2.33368631884952,1.93282342232718,1.11983050505865,1.39780926276754
97,1.49535925276356,3.02317634121096,0,0
98,1.42000410311681,2.00908872540444,0,0
99,1.63114921460594,1.68679802084444,0,0
100,1.78651212628955,3.99538325194891,0,0
