patient,Q9BTE6_N,Q9BTE6_C,Q9BTE6.3_N,Q9BTE6.3_C
5,0.43690229365656,1.29933901578919,0,0
6,0.410100831103471,1.05706083535645,0,0
7,0.439636015665149,1.31338566863367,0,0
8,0.701629718889736,1.58337911195383,0,0
9,0.51361664101673,1.2903341111056,0.742515749817019,1.30502781756705
10,0.504587201509209,0.526937397607109,0.647172666490047,0.833741204574744
11,0.759112346720945,2.04189048304622,0.524941513509145,1.31515350178041
12,0.499214615499181,1.24558407387182,0.771370582080907,1.24954535453366
13,0,0,0.829070057178828,1.17158566332686
14,0,0,0.883003068771967,0.969935214814038
15,0,0,0.72007947332529,1.31291966112364
16,0,0,0.841941850705555,1.1129150710801
17,1.77199316838414,3.11603127660587,1.10132850306268,1.07204677359714
18,0.937749786817952,2.69338528608273,0.673233262415528,0.766132014297887
19,0.573053068284681,2.04872474272338,0.407011216445785,0.897862283696229
20,1.19525503021139,3.58618948516531,0.650360930541637,1.01870836705055
21,2.62648616463745,3.96509964481482,0,0
22,3.09256418198535,3.31775925379647,0,0
23,2.83547186415979,2.99665561945277,0,0
24,2.71867504198611,4.79907628986107,0,0
25,0.840613430480799,1.51410887638495,0,0
26,0.93412567898158,1.67734819988922,0,0
27,0.932209788191056,2.23613939986849,0,0
28,0.796012529160894,1.64667914319094,0,0
29,0,0,0.59188051412224,1.5831154965445
30,0,0,0.790379866780945,1.40265944583637
31,0,0,0.922465457309199,1.58123680846759
32,0,0,0.50717339698719,1.4627165961199
33,0.270539537539252,1.36098854043473,0,0
34,0.487373271889401,1.66357815749766,0,0
35,0.574770196974022,1.2988866685698,0,0
36,0.185832551690388,0.859459239019616,0,0
37,0.687242102135807,1.56229161852573,0,0
38,0.457465421054369,1.53939441455122,0,0
39,0.701494569702572,1.52051629089229,0,0
40,0.38501551513551,1.1528612220645,0,0
41,0.851436504828336,1.61061245946985,0,0
42,0.645610395475442,1.48039734538565,0,0
43,0.632988275806105,1.63256136414154,0,0
44,0.65102617568297,1.56208212933659,0,0
45,0.627240958196336,0.912116486613434,0,0
46,0.529423203381869,1.60687646782527,0,0
47,0.752166275246595,1.32029121653358,0,0
48,0.574731798966651,0.797703147017379,0,0
49,0.476692091570234,3.15537225435951,0,0
50,0.747677298686188,1.72992662189239,0,0
51,1.16696156505952,3.49068688242305,0,0
52,1.27682734285012,2.93676646358196,0,0
53,0.683847892117206,1.47349442169362,1.03291284540791,1.64405438044791
54,0.508640782990608,1.71998093529917,0.694948166393648,1.77404134731505
55,0.499097980437777,1.41705496361611,0.851226190618536,1.54179091985221
56,0.533508511176472,1.37833397091379,0.67491301280595,0.827778508483493
57,0.60775936339855,1.54275599555131,2.42279650416585,3.72017116374055
58,0.802836040664797,1.35865615062893,2.25522893582052,4.24007120430311
59,0.786862262880058,1.57666160184213,2.74065529075976,3.76424918914432
60,0.873494258995285,0.764509155845173,2.01934633450047,2.31080731580998
65,0.985210046840999,1.40376080355057,0,0
66,1.0797403459595,1.68015343193302,0,0
67,0.960258916386973,1.67152903281329,0,0
68,0.99698791477643,1.23987263182483,0,0
69,0.553368804470126,1.24815492877167,0,0
70,0.700612163167229,1.02863912885939,0,0
71,0.526932318782539,1.16386807025574,0,0
72,0.514822548963518,0.98043843087896,0,0
73,1.47997931179768,3.0629800256172,0,0
74,1.16285069714278,3.91746613072011,0,0
75,0.438751298382694,2.45312973396693,0,0
76,1.1213257551412,3.21693999827529,0,0
85,0.47157852867274,1.25656548017501,0.920311383550825,1.77807027440362
86,0.601521192894632,1.8575239869224,0.902216288719241,2.02072756446417
87,0.306703726340503,1.10558126449159,0.273960487884372,1.57750742732503
88,0.380596059256672,3.03205370742261,0.680361776540935,1.90312511752097
89,0.640080349338785,1.10338860748497,0,0
90,0.63635009759998,1.05384930421231,0,0
91,0.555452922414664,0.986844834647372,0,0
92,0.735951719479396,1.66598822417678,0,0
