patient,Q9BY32_N,Q9BY32_C,Q9BY32.3_N,Q9BY32.3_C
1,2.20724395682223,2.8519868516295,0,0
2,1.77071914270884,2.37288777665902,0,0
3,1.89614121613247,2.63481052568686,0,0
4,1.49226843332252,3.05842634869131,0,0
5,0.638845250926486,1.4043024406089,0,0
6,0.567285062528607,1.91757592759379,0,0
7,0.498849089754758,1.10800395694606,0,0
8,0.665750269456215,1.21623676711601,0,0
9,1.32399873057289,3.29763930968462,0,0
10,1.45197299297976,2.67146458083319,0,0
11,1.41951420852825,3.31861245572478,0,0
12,1.5516027508613,3.93940337425003,0,0
13,0.158104870183545,0.339697028671157,0.351340269479131,0.449528027803054
14,0.455662349565883,0.993987866916946,0.580281319548749,0.954103033558813
15,0.50065604027899,0.721497822615916,0.587080788922632,0.989308541545613
16,0.772930543435726,1.90703689520306,0.781447819937947,1.67763586330896
17,3.07089964621704,4.08693671700423,0,0
18,1.70574462730483,2.64268019152067,0,0
19,0.882710996363109,2.12801171040192,0,0
20,2.12501251037286,4.82334565197765,0,0
21,0.889976686090066,3.24592105166189,0,0
22,1.60906370690611,3.15519007865188,0,0
23,1.27709474304783,2.59717516521158,0,0
24,1.70834710865115,4.92324555662625,0,0
25,0.882348227078831,1.30693625174605,0,0
26,0.439039357732977,0.725216295643637,0,0
27,1.06860414388879,2.91663518859702,0,0
28,1.43512290546468,5.41507476738896,0,0
29,2.6103738503195,5.59701971228779,0,0
30,2.62937634524177,5.58320271080668,0,0
31,1.57319049008625,2.50513966891654,0,0
32,1.45730854697889,5.27036547999979,0,0
33,2.16670942502332,8.05796765679462,0,0
34,2.53781993603709,5.68725900906139,0,0
37,0.496794490607869,1.09084707577209,0,0
38,0.440912936255579,1.29415737850592,0,0
39,0.548040005475284,3.2530590904297,0,0
40,0.552290082331214,1.28607909092337,0,0
41,0.923281350927378,1.48310418012365,0,0
42,0.454410814801144,1.34310233459445,0,0
43,0.661567777060072,1.98138783796254,0,0
44,0.408441450585956,2.37552828273507,0,0
45,0.720093641659816,1.40720897816219,0.584910914160307,1.41037741033711
46,0.571932520819186,2.11355302190929,0.429308380260791,2.81817548976145
47,0.754723185246077,2.06405161013617,0.53430986410883,2.19990180956184
48,0.539097180027878,2.63908645770042,0.229892759920715,2.8121961317364
49,0.88078971891914,3.86192595042703,0,0
50,0.557117626278048,0.73763471120411,0,0
51,1.49658828248597,2.52096308950851,0,0
52,1.5140525241652,2.95811131596393,0,0
53,4.57845949537291,7.87836029189028,0,0
54,3.2540463000249,11.1102026784062,0,0
55,2.95907383370828,8.46832495234528,0,0
56,4.05942508758649,8.27254347681343,0,0
57,4.56523382946059,19.2439549499987,0,0
58,5.75558582299575,14.0912085728166,0,0
59,5.04389476913594,7.123676527227,0,0
60,6.00187475289973,8.95264776325548,0,0
61,2.66730258801448,3.63627599893514,0,0
62,2.4924128234749,6.39314156235373,0,0
63,1.69943743358913,2.57260148534846,0,0
64,3.23076602095448,7.12221598826591,0,0
65,2.83166471909592,6.31155250506528,0,0
66,2.20567906852564,7.34308263204383,0,0
67,2.1123013235866,4.2564684427319,0,0
68,1.94535162958135,4.99719283973707,0,0
69,0.777571825764597,1.48995473310917,0,0
70,0.878300232078983,0.721767936335297,0,0
71,0.508298164048438,1.06672845227062,0,0
72,0.933930253755007,0.714640124388208,0,0
73,2.76333713964494,4.2952512358863,1.32004483013161,1.79662828799309
74,1.72124101217681,4.40990333316922,0.658712619051906,1.83143690474047
75,1.57322639399332,4.35047798485535,0.51845192013395,2.10645355850422
76,1.03997511579328,1.67210224501162,0.476088345966188,0.804901157661632
77,4.63904116956945,6.97367848124249,0,0
78,4.74820130292912,6.89175879752013,0,0
79,3.89289447847656,6.03780959865928,0,0
80,2.98856210281129,4.16054078736787,0,0
81,2.99388864678426,4.80837978650638,1.35632640357185,1.46976770809855
82,2.45087516742107,3.33034163760166,0.623345819067756,1.14036970653158
83,1.66046625877894,2.89857086730848,0.472254122260025,0.936118832709047
84,1.89742376575308,4.55234558045806,0.674880777335351,1.6679152401089
85,2.02134284725772,4.08414555213798,0.699594843023982,1.3997638071667
86,2.61722698017361,4.6384571287213,0.984918165430174,1.48654236299923
87,2.20345260469956,4.68241257402796,0.504218154126235,1.00387606123165
88,2.30576851642164,6.53133567135194,0.384875329450331,1.40212871022055
89,0.935015192784234,3.59920517730149,0.625971347948774,1.77991001835152
90,0.854645788083556,5.56908549061502,0.999565878011721,2.31742210470233
91,1.23957612445421,2.20519602991956,1.16545967598713,1.65559326716262
92,0.883766378987577,1.89024237307985,0.732499950667956,1.24896896027784
93,2.11838037772459,2.90727323274865,0,0
94,2.21816310163197,3.38335025586268,0,0
95,1.14774792503242,1.79724923221755,0,0
96,2.75303807701112,3.69911701637443,0,0
98,0.952146201375848,2.04472059492645,0.707644318573157,1.75155311935491
99,0.628881208299476,1.99798764721187,0.653059803642449,1.49170322832502
100,0.850580339362582,1.93830757677952,0.73939546142284,1.303377016693
