patient,Q9H3S4_N,Q9H3S4_C,Q9H3S4.2_N,Q9H3S4.2_C
1,6.0100066195021,9.64170021146704,0,0
2,8.15113960636003,6.66912503349529,0,0
3,7.83623633258476,8.40659164577917,0,0
4,7.12122296056552,6.18258062750125,0,0
5,4.57945550280761,8.65987688834059,0,0
6,5.53944670846933,11.7311498169064,0,0
7,3.97571253215131,6.52653032139483,0,0
8,7.22555645571431,8.48983907196973,0,0
9,3.35388249481615,3.92013410702555,0,0
10,2.84931867109993,3.38670980653697,0,0
11,3.06135334507326,3.43527872949842,0,0
12,3.1630384304554,3.411499337541,0,0
13,8.75701702440249,6.51573606152107,0,0
14,7.82991972895243,4.80275973989275,0,0
15,8.80762603018276,12.0056498899079,0,0
16,9.29269296540475,6.36711315983689,0,0
17,8.89464447780703,5.89640113053586,0,0
18,9.62868250659189,7.79931356138975,0,0
19,7.70894478969055,10.6070466549833,0,0
20,9.33613014794273,5.81038009665492,0,0
21,6.70431056358835,5.36486653572591,0,0
22,7.93474454506708,9.40561995362867,0,0
23,7.9881299580744,5.66405035838577,0,0
24,6.67536824391685,4.28732386872724,0,0
25,3.13602726048843,3.47388804554651,0,0
26,3.75186127208658,3.42659626783164,0,0
27,2.64414522478414,3.28529187728095,0,0
28,2.79217007185951,2.74072450536276,0,0
29,3.53283975751271,3.5122778319772,0,0
30,3.12374693234747,3.00016814095496,0,0
31,2.77262119677914,3.39363531933924,0,0
32,2.61678674435293,2.99057344113359,0,0
33,4.46642396614073,7.79019002316638,0,0
34,6.47843770118419,8.35800854737522,0,0
35,7.45702670196246,7.15545852246357,0,0
36,3.44165649662066,7.16145328106563,0,0
37,6.79264674152358,5.93518187244871,0.776345297672312,1.40694439841359
38,4.87056101178445,6.38806120954353,0.706017521183398,1.66917221798738
39,5.82660241732208,4.53653517854736,0.660184049757509,1.71160087937339
40,4.19106196279927,6.84142853597475,0.583983473082999,1.55546128437124
41,9.59081984364569,9.96535855469058,0,0
42,9.66773214872989,7.38695875394252,0,0
43,6.33104628154633,5.87653919621795,0,0
44,5.69091727572415,10.3640603280573,0,0
45,2.94058049487479,3.54221472601453,0.835092269445905,1.0186750011952
46,2.04944595180482,4.31997992939628,0.622197255820624,1.23371539895779
47,3.89983338599149,6.27681047780834,0.95013625280872,1.61600014342401
48,1.65362552056978,3.12999677075291,0.615970263422097,1.07945092508486
49,1.92948480219573,3.28189102080755,0,0
50,2.21441669639969,2.07605348787707,0,0
51,4.80286428468394,3.6648616578415,0,0
52,2.62177487485429,3.85987830701657,0,0
53,6.14082422261362,4.28419516866207,0,0
54,4.38079442827158,2.81709357907302,0,0
55,3.95000254460461,3.26041851500494,0,0
56,6.68306462435229,5.13154395358601,0,0
57,5.78949752264886,5.78716214546783,0,0
58,6.4502829100806,5.18260063693489,0,0
59,5.93847182791876,6.20058294782762,0,0
60,6.2692254797267,3.48019712103223,0,0
61,6.53582448075148,6.40639580723131,0,0
62,4.58242312397605,6.26624943311484,0,0
63,6.0934987281116,6.76000539607384,0,0
64,9.04655380893854,6.86784045387651,0,0
65,4.69903723172479,4.01499190492095,0,0
66,5.7285947127409,3.73566759566474,0,0
67,7.09285834383083,4.08891421779261,0,0
68,4.42922179404328,4.51626790119531,0,0
69,5.50140197934153,3.91413026637702,0,0
70,6.91229939501583,6.90928433701896,0,0
71,4.97090056202483,8.30246786218376,0,0
72,3.17891960504056,4.64717128156332,0,0
73,7.878451527199,5.49678025508428,0,0
74,6.20961536017926,11.407653013865,0,0
75,2.36577426941503,5.28764944128328,0,0
76,3.43239557138616,7.07023630398077,0,0
77,12.0869420553313,5.9268405449102,0,0
78,10.7850633361192,8.21675286164683,0,0
79,10.0556402107678,8.34055177923875,0,0
80,7.11286030682023,6.77848170976375,0,0
81,3.20174530916077,2.44773604726385,0,0
82,3.52393552384702,3.70134289720159,0,0
83,2.7486044358479,6.80250305484778,0,0
84,3.28344838206801,2.77316470026632,0,0
85,3.5688233479409,5.03257463698509,0,0
86,4.22451852095587,4.90792933264868,0,0
87,2.66870094875339,3.99608237355295,0,0
88,3.24763808495211,2.68539682985868,0,0
89,6.24015877076073,8.88810764759614,0,0
90,5.30382083190254,5.50075369770611,0,0
91,4.81315485661454,7.9840160754816,0,0
92,6.54613008978275,6.33773783120335,0,0
93,5.66459232067199,6.91482094568156,0,0
94,4.81962516856358,5.17186649313367,0,0
97,4.14975743348562,4.22712260934605,0,0
98,4.99694996142464,4.43432254421467,0,0
99,4.59283993992886,9.55703424172352,0,0
100,4.51432917043706,4.41911268156601,0,0
