patient,Q9H6D7_N,Q9H6D7_C,Q9H6D7.4_N,Q9H6D7.4_C
1,0.598269553072626,1.65965782122905,0,0
2,0.822988826815642,0.883463687150838,0,0
3,0.752283519553073,1.06118016759777,0,0
4,0.679452513966481,1.96518854748603,0,0
5,0.756053478880151,1.32883885717022,0,0
6,0.728859204998384,1.37936730223706,0,0
7,0.59834703819407,0.938328126683184,0,0
8,0.855003770332867,0.843106275509593,0,0
9,0.914544954019226,1.1768957769114,0,0
10,0.958449897324484,1.3063431891908,0,0
11,0.800078494687658,1.2011342668373,0,0
12,0.970438007797387,1.75368850629446,0,0
13,0.784906736553292,1.90327614758461,0,0
14,0.857315513940219,2.15559739706247,0,0
15,1.16430354034278,1.31371376592645,0,0
16,0.915316535947297,1.11973385409047,0,0
37,0.745576585584137,1.14514308887382,0,0
38,0.599948260070059,1.3671409493578,0,0
39,0.704710431189389,1.63997399019738,0,0
40,0.591208407039427,1.20901952832761,0,0
45,0.729290260799808,1.1706171289131,0,0
46,0.47135276119356,1.72768585582615,0,0
47,0.755304091442683,1.25702189676788,0,0
48,0.422904561004139,1.21940028014087,0,0
49,0.356321640657368,1.894059710487,0,0
50,0.454493666118442,0.849174837729595,0,0
51,0.857354270505078,0.90771145371684,0,0
52,0.628410189451482,1.16586734629823,0,0
73,0.869838388223454,1.25327071452533,0,0
74,0.855391992422598,1.18939558379541,0,0
75,0.906167492156205,1.17557274503226,0,0
76,1.07706651932829,1.34979379205557,0,0
77,0,0,1.04372280483648,0.914010647470474
78,0,0,1.72339636261555,0.725139610194301
79,0,0,1.44170710432917,1.57368510757755
80,0,0,0.955143018988992,0.845295863327385
89,0.741786502418057,1.13192817111222,0,0
90,0.87158900285557,1.49619043960406,0,0
91,0.593817627700306,0.708877022695163,0,0
92,0.946888112037357,1.32296108486036,0,0
