patient,Q9H7U1.2_N,Q9H7U1.2_C,Q9H7U1.3_N,Q9H7U1.3_C
1,0,0,0.658294508025824,1.17817433748356
2,0,0,1.08064678394627,1.27425526526676
3,0,0,0.930208112899253,1.00878382831987
4,0,0,0.75899978144503,1.12029196168697
5,0.816657122986229,1.36430751274136,0,0
6,0.862967009580977,2.57606971494014,0,0
7,0.535986257100169,0.997872965934546,0,0
8,1.07067808398,0.633040002281708,0,0
9,0,0,2.34888951813443,3.9108047853213
10,0,0,2.1963879168424,3.87376890501125
11,0,0,2.68877749309261,5.53140330973087
12,0,0,2.88805486377066,4.82814117617093
13,0,0,0.733185078433409,2.51937681548903
14,0,0,1.08801394466887,1.77237769238429
15,0,0,1.26101606356473,1.94807795052769
16,0,0,0.996697991492296,1.93830254920624
17,0,0,1.84916148156324,3.2811620370157
18,0,0,1.36779628338532,1.75011094118571
19,0,0,1.07530080495314,1.52113982752519
20,0,0,1.47959788433845,2.19694338126047
21,0,0,0.715191817079218,1.53133420563651
22,0,0,0.959842985427757,1.25024944286115
23,0,0,0.993638161471683,2.48722314829752
24,0,0,0.921783083293004,1.28122218039947
33,0,0,0.438137621451705,1.19414412269004
34,0,0,0.913668079634216,1.13847875785864
35,0,0,0.922104210325776,1.14303915031435
36,0,0,0.408180129548485,1.04575871594589
51,0,0,2.55963149678328,2.84282998784827
57,0,0,1.63691623086358,2.80894171892826
58,0,0,1.87888332785806,2.32607195741258
59,0,0,1.60323932616038,2.01135582097814
60,0,0,1.59214757097516,1.87786056246117
61,0,0,0.827917753591779,1.48621214151174
62,0,0,0.729605081686855,2.29377319977618
63,0,0,0.844956536130573,2.11129587743425
64,0,0,0.642728569514607,1.60642934264345
65,0,0,1.01113039813218,1.19561660852831
66,0,0,0.966442431939307,2.14298707276629
67,0,0,1.04660126333069,1.31832827742254
68,0,0,0.838905926784496,1.32836615516008
69,0,0,2.50273121553238,4.04446857921006
70,0,0,2.4036786529914,3.69368657125181
71,0,0,2.48118636371813,3.52687699425572
72,0,0,1.90757875586283,2.70653068080651
73,0,0,0.829735609103079,1.03891956715752
74,0,0,0.956771530566711,1.16605310129407
75,0,0,0.380118390227577,1.40586652164212
76,0,0,0.753179384203481,1.4767333221776
77,0,0,2.09304570135184,2.20717969603572
78,0,0,1.93655478209927,2.98573366522566
79,0,0,2.38113726327308,2.85453026559385
80,0,0,1.3172576856921,2.08022256098515
81,0,0,1.54617479554573,1.62856326380973
82,0,0,1.98262594569392,3.22601402977919
83,0,0,1.51185802426535,4.45323805546833
84,0,0,1.53727171498201,1.93579150915233
