patient,Q9NPH3_N,Q9NPH3_C,Q9NPH3.5_N,Q9NPH3.5_C
5,2.47801756836569,4.92181081461432,0,0
6,1.87900019788179,6.50641069791409,0,0
7,2.8662062264003,10.8477846940352,0,0
8,3.20359765489582,23.9334619172243,0,0
9,1.50479477944109,2.5032042489758,0,0
10,1.48876333901628,2.00871971563706,0,0
11,1.38050457553842,3.4467792379714,0,0
12,1.7646751212466,4.13378970277582,0,0
13,4.17623383371921,24.7671981776013,0,0
14,4.76785907633814,11.7221511676727,0,0
15,6.76386492011284,12.0160141934674,0,0
16,4.37735137563822,7.05787796509807,0,0
17,2.78593534678335,7.55008123452232,0,0
18,1.91380536294873,3.62351444133081,0,0
19,2.32850031154921,3.63219322530415,0,0
20,2.71004114491282,5.15468182532252,0,0
21,2.36184855254289,4.37867049340317,0,0
22,2.73462551952238,3.86480109007881,0,0
23,2.886394734048,5.46186972109515,0,0
24,2.49427187882354,7.62564781729113,0,0
25,1.89695145881609,2.28036732480475,0,0
26,1.83453182615967,2.94980961102141,0,0
27,1.64077272124728,2.62998766550444,0,0
28,1.8402764070626,2.53828652830477,0,0
29,2.98568661649977,6.26451558638068,0,0
30,3.27315336810533,7.2216611170483,0,0
31,2.44206104868986,7.34555332588334,0,0
32,2.88064847950882,4.70150756167888,0,0
33,0.386446098648355,1.72700659376249,0,0
34,0.642780513230539,2.29458127330968,0,0
35,0.57044648324233,1.04111613219912,0,0
36,0.245623725399902,1.2658758874759,0,0
37,1.19973895528462,2.89714225094866,0,0
38,1.12745314683644,3.12430538799389,0,0
39,1.04151392324886,1.72603864886597,0,0
40,1.09396619791977,2.97765102331543,0,0
41,0.700597447514586,0.706539599079855,0,0
42,0.495152540364071,1.06541753985228,0,0
43,0.430375007407487,1.80447466100645,0,0
44,0.263465195584599,1.6175581689769,0,0
53,1.74733070382619,1.58139497680346,0,0
54,1.29589945768449,3.63673065700328,0,0
55,1.68854649716223,2.7061780950412,0,0
56,1.56131037934583,2.1048381793017,0,0
57,2.37256807891239,3.70586746929829,0,0
58,2.23023823169077,3.8318913930096,0,0
59,2.37087814171723,6.95529244553281,0,0
60,2.88351338300159,4.59560600170988,0,0
61,1.57471867740818,2.78634599582188,0,0
62,1.32820782927246,2.71652905082996,0,0
63,1.26927887457284,3.16074658026678,0,0
64,1.43345867230447,2.86424103482543,0,0
70,0,0,0.916428740724535,1.44183120932013
73,2.88888408602039,6.58965390643966,0,0
74,3.07984616278719,16.3904062445637,0,0
75,2.53824498052289,5.19371126972874,0,0
76,2.76102355053656,8.66350754677298,0,0
77,2.10965115420928,2.25533245638529,0,0
78,1.66667184663561,2.61120486823174,0,0
79,1.47324483646421,2.41191091069855,0,0
80,1.22150548660917,2.77567556864858,0,0
81,1.89385773034825,4.53458010353547,0,0
82,1.73372956077698,6.34926164794955,0,0
83,1.63719363701972,3.7747632457352,0,0
84,1.95658130093801,2.18140120961084,0,0
85,0.749126359560606,1.75325752752983,0,0
86,1.00094305760609,1.46847275460862,0,0
87,0.412842514459088,0.866238199081662,0,0
88,0.749339690365575,1.62670833954137,0,0
89,2.74421821587849,6.35657299278352,0,0
90,2.96333901272726,6.45805426959149,0,0
91,3.43204846393494,3.4894685837338,0,0
92,3.43054907590308,6.93165293338557,0,0
93,2.25320536654818,1.71693585426365,0,0
94,1.52324339676966,2.00293617878061,0,0
95,0.964764225910148,2.13831437404176,0,0
96,1.45941392303972,2.43106273880553,0,0
97,1.53724114957109,2.5351100740396,0,0
98,1.55542928214407,2.19386575997516,0,0
99,1.43704721952667,3.42597187276255,0,0
100,1.73127467656489,3.00349197363262,0,0
