patient,Q9NXR7_N,Q9NXR7_C,Q9NXR7.1_N,Q9NXR7.1_C
1,1.44526945466692,2.74706763200873,0,0
2,1.75838120810211,2.34380728391952,0,0
3,1.68758016920306,1.98239209965165,0,0
4,1.65750682449938,1.97165868787808,0,0
5,0.741600458906289,1.79603984309864,0,0
6,0.416650216331583,1.21641054462608,0,0
7,0.722106231232103,1.04166153803279,0,0
8,1.03268546107773,1.17159286465748,0,0
9,2.74203407629723,3.90280713951374,0,0
10,2.84414017933435,3.7017334471313,0,0
11,2.72673052626894,3.91649178025432,0,0
12,2.7874110726553,4.07319828312957,0,0
13,1.01398992725238,1.32016541310595,0,0
14,1.18596644314399,1.06556770650555,0,0
15,1.43092769815902,1.41320080050838,0,0
16,1.03094856449119,1.08807489116311,0,0
17,2.45862236624999,2.68978789843333,0,0
18,1.58774052123951,1.77712789502936,0,0
19,1.17409544355235,2.04383157043653,0,0
20,1.85073530121344,2.89059923776046,0,0
21,2.19646669877574,3.10486557180958,0,0
22,2.26627611256479,3.19042372124941,0,0
23,3.00449600014017,3.60928750675096,0,0
24,2.71459388766503,4.04692642590685,0,0
29,2.72457707888792,2.57159035765145,0,0
30,2.38571359604621,3.72004171509029,0,0
31,1.34215800381498,2.88818368648217,0,0
32,1.61418718138311,2.88200064354912,0,0
33,1.79988995451911,4.01144194881717,0,0
34,2.19627067835672,4.52990720814665,0,0
35,2.92404290448005,4.44000524126012,0,0
36,1.65460658636025,3.47523387895902,0,0
37,1.87462072328626,3.24165562023707,0.753338023277559,1.58570576239793
38,1.49295054617123,3.60009506601332,0.80532338352761,2.20637238750813
39,1.64838043825385,3.63047995931786,0.745057303400803,1.35190610612928
40,1.17480641179756,3.76335200034572,0.744334220860753,1.31759530530646
41,2.41477211720009,2.26694604185842,0,0
42,1.92108761156378,2.59181838895207,0,0
43,1.80918406933643,4.40432569809176,0,0
44,1.96141746716639,2.99778192090765,0,0
45,1.33042781594771,2.01978296085742,0,0
46,0.98696544904669,2.92772104895563,0,0
47,1.4785467628368,3.24091149035252,0,0
48,0.979509361844602,2.31256642043975,0,0
49,1.07304494643088,3.03032811851244,0,0
50,1.43597246154295,1.4402120147594,0,0
51,2.38984872762882,2.89880639488551,0,0
52,1.61950359478059,3.78105643107701,0,0
53,0.851148386947813,1.07293512580595,0,0
54,0.787584491148271,1.21155255912216,0,0
55,0.816613081048008,1.50633214617618,0,0
56,0.733513042374006,1.42412391842672,0,0
57,0.884696760209266,1.51887520437125,0,0
58,0.847542697156002,1.32081937100804,0,0
59,0.836933322176755,1.28338240899751,0,0
60,0.986224281762049,0.987209779538038,0,0
61,1.74699881014508,2.69489944998371,0,0
62,1.51129924303286,3.11297195779649,0,0
63,1.62139373548739,3.20065292255664,0,0
64,1.67095896083445,2.6011689194617,0,0
65,1.01904338889066,0.930128429841614,0,0
66,1.58051363969534,0.829523726058829,0,0
67,0.714956658912011,0.791158099365818,0,0
68,0.970059593995985,0.905149542687785,0,0
69,1.30911002909908,1.29710737848973,0,0
70,1.21732115589617,0.986916937969979,0,0
71,1.22865251087614,1.29318332420986,0,0
72,0.714961537353424,0.904356218848137,0,0
73,1.59640340451883,2.05374276414124,0,0
74,1.59542399166546,2.70046603839484,0,0
75,1.092478105623,2.55395113999309,0,0
76,1.46667294040824,2.99206252343265,0,0
77,1.0257377118734,1.4740978807357,0,0
78,1.15488767262776,1.73205838053416,0,0
79,1.05773881499395,1.35686480409003,0,0
80,0.712053713485649,1.0371454634167,0,0
81,0.785301798263306,1.70737351648585,0,0
82,1.02332576095341,1.34217957155899,0,0
83,0.829540066382172,1.69398738880279,0,0
84,0.917814908388357,1.35995697189727,0,0
85,1.78164474638956,2.41722339059595,0,0
86,1.88222523999175,3.10481624742894,0,0
87,1.5764734213863,2.09800249760469,0,0
88,1.49705024241652,3.75907791424995,0,0
89,1.24413454256487,2.89086781529749,0,0
90,1.50617983617763,2.9253252587382,0,0
91,1.33239097549312,2.48550153039124,0,0
92,1.75042044851453,3.93362076381043,0,0
93,2.15287232682367,2.41343936213666,0,0
94,2.20011969659788,2.84966736399617,0,0
95,1.82205407402364,3.37951935924741,0,0
96,2.48601798781434,3.59754683707291,0,0
97,0.7306414553118,0.917469156580661,0,0
98,0.827112207115573,1.14178094220609,0,0
99,0.867387931917634,1.10535790074493,0,0
100,0.86385356144536,1.36356817749418,0,0
