patient,Q9NY56_N,Q9NY56_C,Q9NY56.3_N,Q9NY56.3_C
53,1.24700538381026,0.162543183357391,0,0
54,1.73722627737226,0.215963305262726,0,0
55,2.13545721341643,0.172585665519671,0,0
56,1.66768824523358,0.708405448114982,0,0
61,0.687781248961415,0.295369570274851,0,0
62,1.90990893682077,0.18292814649872,0,0
63,1.62090797301339,0.175797633686729,0,0
64,2.16523480341653,0.205229485858619,0,0
97,0,0,0.479910139554045,0.96722926000309
98,0,0,0.631955172768938,0.965031026314434
99,0,0,0.675453164426593,2.72460605592461
100,0,0,0.608621066996241,1.21018718780576
