patient,Q9P0L0_N,Q9P0L0_C,Q9P0L0.2_N,Q9P0L0.2_C
1,1.4670854284319,2.12515170767688,0,0
2,1.78186114041302,3.04624380932665,0,0
3,2.22924101997386,1.94073033593486,0,0
4,1.80201353017241,1.82828926025986,0,0
5,0.87513325736132,1.20128294673382,0,0
6,0.298562658530309,0.923266735286549,0,0
7,0.591000992537588,0.954003234937323,0,0
8,1.22682240929309,0.682893430871595,0,0
9,1.64917567815501,2.89099874372649,0,0
10,2.03478437559608,2.80785727044446,0,0
11,2.04694716894,2.37976982482977,0,0
12,2.02993549108064,3.59073153935291,0,0
13,2.28844365298498,3.65058026799624,0,0
14,3.1196588189899,5.11758798555554,0,0
15,3.19788146459091,2.40896200700805,0,0
16,2.67874074598683,6.64050619870803,0,0
17,1.43468089561507,1.6202011595919,0,0
18,0.791706679567066,0.374062254056045,0,0
19,0.687975190798357,0.509985775865181,0,0
20,1.01848776507794,1.00018772969812,0,0
21,4.51124393109925,6.24534591519544,0,0
22,4.59606693014557,5.92164403315873,0,0
23,6.26145022445004,4.98430175196592,0,0
24,5.37000315778935,7.60987164162787,0,0
25,5.71541166213705,7.85794411766914,0,0
26,4.76257407620348,6.7073789495316,0,0
27,3.8421090186111,8.47032864490249,0,0
28,3.96136893674243,7.23452370111976,0,0
29,6.02382737078478,6.20131221601067,0,0
30,6.00439631556161,13.5737637514661,0,0
31,4.96433613768632,7.57238988208489,0,0
32,3.51366542024028,4.60541356057354,0,0
33,1.91524669732715,5.90511128647571,0,0
34,3.70961516787455,6.94033717844943,0,0
35,3.58024995702677,3.98064807877002,0,0
36,1.40501150072938,4.38871565969696,0,0
37,3.4997473407408,5.58931891475503,0,0
38,2.65484352244977,5.43228087942422,0,0
39,2.44104765233522,2.04458548486439,0,0
40,2.10735808618347,3.99312232238955,0,0
41,5.66031663485024,6.9430163584179,0,0
42,3.28255981798083,7.97261728712076,0,0
43,2.97860780200307,3.92551241073515,0,0
44,1.77242560407826,3.46980352712343,0,0
45,3.0557206324949,3.98637411155424,0.687435398411383,0.954565489326964
46,1.77287814834741,4.79378238574063,0.394283089205288,1.97759236669181
47,3.60486337355007,7.78981742905393,0.826616320107273,1.22623049536421
48,1.72313830451782,3.69765320858646,0.452384943212682,1.68504222965108
49,0.771621600840356,3.9373806987719,0,0
50,1.31854065238369,1.60678761089852,0,0
51,3.01695788505598,2.59176815307696,0,0
52,1.34835977345734,3.27151895623631,0,0
53,3.79306451836274,8.4117064608575,0,0
54,3.76028597124544,4.76888439581918,0,0
55,3.33772148805992,11.0156268598761,0,0
56,3.11402951880013,5.81482298609274,0,0
57,2.40022207858385,4.18651275095167,0,0
58,2.98656188601543,3.68329062882501,0,0
59,2.23200080938238,4.00281127302551,0,0
60,3.05025897519337,2.62361042120685,0,0
61,1.37979278348037,1.69393495035938,0,0
62,0.895245879307996,0.556559853201599,0,0
63,1.15142190918051,1.2799987179179,0,0
64,1.03665953508498,0.588036571391941,0,0
65,2.65942990129396,3.32756869673602,1.00802711719972,1.85392358640944
66,2.8669032786973,5.48103667490957,1.07838232664661,1.49713534632636
67,3.73696484873648,3.1832968169335,1.40573653555709,1.30107966628497
68,2.55612080896015,3.31257161414245,0.969202119767632,1.09471047215427
69,3.57829814330976,3.57936725198744,0,0
70,3.7296821272172,3.72864615712376,0,0
71,3.49706041762134,4.14768017261683,0,0
72,2.34038526992428,4.38357401198266,0,0
73,2.20456632754668,2.1937924996654,0,0
74,2.11029149902886,1.91651983287244,0,0
75,0.977092972189338,1.62672539163468,0,0
76,1.88770132561621,1.90092810268079,0,0
77,3.36075742594657,6.13589952178787,0,0
78,3.50141908253635,2.99801519439701,0,0
79,3.28097592441068,3.60415798236221,0,0
80,2.58547554526074,2.70732423390548,0,0
81,4.33448530819195,7.01952195872507,0,0
82,3.75172926994588,6.9981677278498,0,0
83,3.29383587974728,4.62143963450422,0,0
84,3.77029754347279,4.56068286699108,0,0
85,3.53093101103261,5.47128654440437,0,0
86,4.66529033527956,7.16550652822717,0,0
87,1.64136387869587,4.5992113171357,0,0
88,2.87456342924896,12.347285291339,0,0
89,3.189943959352,3.51736676757477,0,0
90,3.82495132073048,6.97553669859564,0,0
91,4.33401694203033,3.58159551353762,0,0
92,3.80363187849736,8.37223234208012,0,0
93,2.49675583537145,2.32065638193611,0,0
94,2.39140963183325,4.36109045145737,0,0
95,1.2740572506845,2.2315574093022,0,0
96,2.81844078966655,2.93863581431427,0,0
97,3.66966168618261,6.19284982524628,0,0
98,4.14877569207286,9.16963060219312,0,0
99,4.2001041467734,8.87462960844419,0,0
100,4.31462981259798,7.65328079237595,0,0
