patient,Q9UDY8_N,Q9UDY8_C,Q9UDY8.2_N,Q9UDY8.2_C
1,0.719857972790421,1.15028752389881,0,0
2,0.949507998257878,1.21213284416131,0,0
3,0.876597252467391,0.843415739626625,0,0
4,0.757904139015406,1.56581307624735,0,0
5,0.733039907296347,1.28942785311079,0,0
6,0.50220577771453,1.10000203297485,0,0
7,0.592286893411129,0.747094540107206,0,0
8,1.18058915611214,0.987510757825259,0,0
9,0.716432712725769,1.28686862260114,0.869959183269267,1.4137740373903
10,0.634043280816307,1.20767952154099,1.24529485260258,1.33012697254732
11,0.686723080716098,1.31243786634006,0.802490266208269,1.68766370843023
12,0.749786459037515,1.50976244064993,1.1531031773671,1.63995946385334
13,0,0,0.884585191037166,1.50595752846679
14,0,0,1.08279232511832,1.55525261864591
15,0,0,1.29344534799393,1.46037078480874
16,0,0,0.888186374318704,0.782660489412023
21,0.672669381196344,1.397339694789,0,0
22,0.859426377888321,1.66677247050305,0,0
23,0.837544821976779,1.27921797739435,0,0
24,0.854521378161096,1.69852850008183,0,0
25,0.948470735033806,1.51445111865587,0,0
26,1.10971823220452,1.35370418734221,0,0
27,0.897413017614115,1.78744087519225,0,0
28,0.841240822959287,1.35418298946635,0,0
45,0.622562172924296,1.59223877325491,0,0
46,0.397409880083658,3.56802717981971,0,0
47,0.713776223137552,1.728055674792,0,0
48,0.339255477519111,1.15613783529541,0,0
49,0.634756928409758,1.05898484045131,0,0
50,0.835000940701592,0.647413640743211,0,0
51,0.717031259798975,0.931499820411514,0,0
52,0.698633417141293,1.20238197045627,0,0
53,1.92167656697295,2.20096668794664,0,0
54,1.62612133335171,3.64752371383804,0,0
55,1.63917130363032,3.05919127404577,0,0
56,1.73125899495641,2.02297985018943,0,0
65,1.7472699879541,2.66409531430445,1.07653260445139,1.06328546430069
66,1.61608935274818,3.95660447952906,1.18468624813802,1.06964148842321
67,1.87940735960464,2.82992869256052,1.13328127033711,1.20736257538288
68,1.46416206061538,1.93210061950012,0.659374954806427,0.983947242830492
73,0,0,1.34110313910525,1.06814939152329
74,0,0,0.823078104050029,1.41572725504846
75,0,0,0.747665885387347,1.03512891108768
76,0,0,0.9212388565346,1.39482718033223
85,0.75744912074156,1.48158589330291,0,0
86,0.899075533405101,1.42803285369356,0,0
87,0.33837025697805,1.08976338387785,0,0
88,0.619429135669745,2.22514683521007,0,0
89,0,0,0.82801690147476,1.27666395960595
90,0,0,1.49285689064652,1.21280086625943
91,0,0,0.820053435024658,0.968962960347445
92,0,0,0.990581782658334,0.778623636171039
