patient,Q9UHY8_N,Q9UHY8_C,Q9UHY8.2_N,Q9UHY8.2_C
1,1.564293639799,2.62869538820195,0,0
2,2.28331666266465,2.39743139980346,0,0
3,2.11601094808681,2.17847722733226,0,0
4,1.98385215796664,2.82447976750388,0,0
9,0.720010915441711,1.70315092417406,0,0
10,0.702442148158929,1.28450007276961,0,0
11,0.756534711104643,1.54552466889827,0,0
12,0.795015281618396,1.78279726386261,0,0
21,0.788995044951488,1.01463272310081,0,0
22,0.94436697029938,0.924576447200546,0,0
23,1.05004500093958,1.09944713131373,0,0
24,0.921515394277463,1.56738272557339,0,0
25,0.768361750732732,1.08289985141643,0,0
26,0.865617436702586,1.1278769391242,0,0
27,0.66437226838484,1.08686026897157,0,0
28,0.690622937282523,1.41248645227534,0,0
37,0.922034100703784,1.74072197224974,0,0
38,0.714230162144453,1.25540468750718,0,0
39,0.657811057544363,1.56962137716383,0,0
40,0.545184121448354,1.29385639246582,0,0
41,2.14784492263754,1.91130044688085,0,0
42,2.12545469535997,2.45813546679493,0,0
43,1.96479649761583,2.14513370539902,0,0
44,2.29052579632261,3.00608752044136,0,0
50,0,0,0.206941460491911,0.375695988648585
51,0,0,1.06648023404773,0.870123065584004
53,0,0,0.835965989919633,0.800086946564737
54,0,0,0.813687873477222,0.808214897750452
55,0,0,0.815535487977891,0.751734564558795
56,0,0,0.788933332557025,1.21586619544734
57,0.89412767272247,1.6603782987768,0,0
58,0.930031421074795,1.58037790009543,0,0
59,0.836737490749347,1.19119761389205,0,0
60,0.911617325695263,0.902694338475492,0,0
81,1.37812144339559,2.13515515163687,0,0
82,1.10858731673027,1.81798344714467,0,0
83,1.15784210350137,2.30752493807324,0,0
84,1.05165444868447,1.91719178884649,0,0
89,0.512968673338909,1.50672011917503,0,0
90,0.803062503336545,1.76336079680505,0,0
91,0.729894933790239,1.16306235080878,0,0
92,0.874952652839177,1.92660363880408,0,0
93,0.81634297345433,0.783582172106212,0,0
94,0.753830297979668,0.850519740553775,0,0
95,0.664980290789216,1.07014377214751,0,0
96,0.801549081281597,1.13301228276541,0,0
