patient,Q9UNF0_N,Q9UNF0_C,Q9UNF0.2_N,Q9UNF0.2_C
1,2.68577613999716,4.26011627473415,0,0
2,2.48300402200056,3.00419240605093,0,0
3,3.36647149363219,4.30796342710549,0,0
4,2.39273499881622,2.64978451685091,0,0
5,1.86190578390977,5.81813898281891,0,0
6,0.891483970473562,3.03078942935078,0,0
7,1.17192602878274,1.38548734067352,0,0
8,2.35864909583359,0.996053086120388,0,0
9,1.25848368987799,0.899822375503839,0,0
10,0.84945735009694,1.31577583505893,0,0
11,0.623226405271254,0.800124148686309,0,0
12,0.87777950533698,1.03920813397693,0,0
13,1.80471287503889,2.35896514231834,0,0
14,2.15204452749568,2.55586658748389,0,0
15,2.08330205943665,2.32908033705547,0,0
16,2.03115101862405,3.75636899765522,0,0
17,2.79864576565478,3.22370139294431,0.9651832423753,0.674912534315272
18,1.47633661444802,1.79161142807553,0.919206663872787,0.827696132674731
19,1.65359315677482,2.10074915128682,0.683298880721762,0.694896618621362
20,2.0785652729766,7.18588333270101,0.785547796523975,2.93159547768271
21,2.6695968726728,3.51731410258952,0,0
22,2.43864906210795,3.78563556840489,0,0
23,3.61715238940001,2.78362962614843,0,0
24,3.3074869735017,4.91078749850876,0,0
25,2.72311096242372,3.44200412365715,0,0
26,2.54308027924535,3.19880729810135,0,0
27,1.79020271318344,3.05595934364363,0,0
28,2.37945948292663,4.38981715573575,0,0
29,1.9558547770806,2.23979806422754,0,0
30,2.25024447227298,1.42619662464442,0,0
31,1.66694941005646,2.10146604701857,0,0
32,1.31389706875821,1.88437550707783,0,0
33,1.38531469417884,2.78209475859382,0,0
34,2.34769250803953,3.31160419448752,0,0
35,1.50711456118967,1.17932644161122,0,0
36,0.656706326999797,2.32125435396013,0,0
37,1.49154849435211,2.57408009727197,0,0
38,0.925573888690175,2.74762752084849,0,0
39,1.2473206961762,2.14966566557898,0,0
40,0.867235037348015,1.80059477055895,0,0
41,2.16903293061321,2.43811320935385,0,0
42,1.41766693547704,3.46685870496127,0,0
43,1.2025792829607,1.7677898906238,0,0
44,0.684563786941697,3.23112781961459,0,0
45,2.46295193106877,3.24175082160322,0,0
46,1.47212392285605,2.61794415115199,0,0
47,3.35297618005301,3.53960171920791,0,0
48,1.07465498793864,3.27639458289299,0,0
49,0.23980164878339,1.08860767922861,0,0
50,0.823470524778364,1.31503571476136,0,0
51,1.14798430237462,1.3085187141798,0,0
52,0.54449362283969,0.952185725637827,0,0
53,3.58731812091277,4.96476972902612,0,0
54,3.41199920230248,3.72430048272761,0,0
55,2.72516723227767,3.22311467910249,0,0
56,3.64320847248485,5.99140884353481,0,0
57,1.83211560671307,2.62412436745622,0,0
58,1.71661475128734,4.28205675518783,0,0
59,1.5991727703032,2.46322174449897,0,0
60,2.06423134576134,1.70166078368713,0,0
61,2.99380504941963,4.31537741952636,0,0
62,1.32764383284476,1.39741385265377,0,0
63,1.87476239362837,2.14006217421531,0,0
64,1.70053758530422,1.28548366099041,0,0
65,2.95017493426203,3.04057530127938,0,0
66,3.10319611289517,3.17373725766979,0,0
67,3.35980478961752,2.55458919601445,0,0
68,2.46020625148236,4.71781520820477,0,0
69,3.19975127854861,2.76477845294541,0,0
70,3.49726729786327,2.8191425773152,0,0
71,2.86060675564932,2.87439932338366,0,0
72,1.21815795725668,3.31123870603468,0,0
73,2.15026845743226,2.04307932745372,0,0
74,1.80345602281995,1.70716307703331,0,0
75,0.671410816628414,1.38912156625004,0,0
76,1.46894989562718,1.8554884798309,0,0
77,4.37907211099213,5.27965082215412,0,0
78,3.96572742409139,4.51081971687225,0,0
79,3.60376347222156,5.20696198284169,0,0
80,3.19217414903804,4.17674604453374,0,0
81,2.11807671247142,2.81109899427988,0,0
82,2.21317396196222,2.03076765586416,0,0
83,1.95629838634216,3.1090020603433,0,0
84,2.20957344653,2.88595576070718,0,0
85,1.33860535437784,2.8724450080935,0,0
86,2.15945774086103,3.24438351094639,0,0
87,0.344847432720175,1.60211282979052,0,0
88,1.18268579867558,1.94870167466563,0,0
89,1.23137640523129,2.28979245218432,0,0
90,1.16075896441443,2.52632433296659,0,0
91,1.7895745437303,1.12230052867916,0,0
92,1.94272293785225,2.64397559775831,0,0
93,2.77406982811086,3.2779430473599,0,0
94,2.76880669471791,3.02180382115755,0,0
95,1.06751908179385,4.17393527912077,0,0
96,2.47750934490445,3.46284212075531,0,0
97,1.74457616992913,3.14918087127516,0,0
98,2.16372988363119,3.40108703646608,0,0
99,2.18674868260203,6.26885689436328,0,0
100,2.5830741135201,6.25868890294644,0,0
