patient,Q9UPN3.3_N,Q9UPN3.3_C,Q9UPN3.5_N,Q9UPN3.5_C
1,0,0,2.02946725335105,2.17153891036582
2,0,0,2.22420382762098,1.7637366071283
3,0,0,2.75499594711463,2.45411964798218
4,0,0,2.12881176250921,1.61563721475471
5,0.752874983644214,1.12081473619935,2.06289496737173,2.5776579557015
6,0.587994126455665,1.59487082564006,1.01773605569778,2.42144706117837
7,0.57507426738196,0.967763352378737,1.92430974800363,1.43426576254694
8,1.52522667907283,1.15516430901046,2.46407593902957,2.29902131724815
9,1.16979922724154,0.330132163362583,1.15780392765058,1.16408506678557
10,1.03443108366735,1.80602498826418,0.908247733887964,1.1852631404034
11,0.908632145307478,0.634266782219333,0.829816578551627,0.794181914861208
12,1.0162947315206,1.09869822698877,1.14848745849269,1.05465255718246
13,0,0,2.90876657461407,7.28352946948003
14,0,0,4.93728873555702,4.70975499353931
15,0,0,6.54489394095131,5.15535268370196
16,0,0,4.49201584346621,5.00845492808394
17,0,0,2.55334649365654,2.37775098348273
18,0,0,2.42077705659957,1.34103014501484
19,0,0,2.04170492407997,1.28358060302556
20,0,0,2.09073848245528,2.75546334046806
21,0,0,1.97707941974826,1.24461874965543
22,0,0,2.09173956087637,3.05125364757467
23,0,0,2.70214620440106,4.81500709532269
24,0,0,2.39709496023015,2.38109805996257
25,0.428737095391171,1.27651842814026,1.65757589988025,1.30082298246026
26,0.483222591989605,1.46996762751623,1.2154723050553,0.917431731198197
27,0.588045978748239,0.977856767813365,0.692429383174059,1.0948073446195
28,1.11369276737518,1.08114652231888,0.800497194111155,1.44785918899246
29,1.0206601185925,0.899474407438498,1.8563171430403,1.80392075855611
30,1.26368919995509,0.394962224705524,2.23268715469952,1.27810167281342
31,0.865885674260936,0.699449812059221,1.17802936607048,1.61598413586227
32,0.517587300229379,1.51259443823619,1.07307060925961,1.42540002708023
34,2.01646564823855,1.79537963486342,1.87103708189242,1.97097747424129
37,0,0,1.80934430853655,0.734774469831013
38,0,0,1.49836525886607,1.59007103110496
39,0,0,1.43106521014437,1.11976562299664
40,0,0,1.2870605431187,0.931834500089751
41,2.42715709043762,1.32220564818137,2.11031910759863,1.70132712486189
42,0.888057249674289,1.16164724986311,2.12244374419391,2.73478633459238
43,0.695309126841764,0.961997192902954,1.70256763922691,1.92487914108669
44,0.333350956364117,0.570934587086095,1.29473421378903,2.98829555538736
45,0.902083138318462,1.19284082485598,2.01737074104398,3.80340084780663
46,0.381846286959008,0.505945318251621,1.242507297548,2.03111630090157
47,1.27552375723874,2.02419112047745,2.6741740668208,4.79160238613309
48,0.237813995026172,0.87315347269834,1.15450010590063,1.94853903056208
50,1.3817456547344,1.24251495057687,1.18178663291553,0.867247785081452
51,1.58733804897412,1.29300527743976,1.80660801045197,1.3301759686441
52,0.919777709812394,1.25970079324279,0.636069489241824,1.01019679091985
53,1.0420061309189,1.38223545129387,1.06304084266514,0.741524462579358
54,0.533200993217754,0.391041700474157,0.913316559986442,0.715355434173304
55,1.37386601341333,0.68721198796935,0.897978072977095,1.0121837072573
56,1.12144910203601,0.863760445125164,1.16306300434108,2.03804768671212
57,0,0,4.47369575236201,4.35935924825802
58,0,0,4.74189825739294,4.56648067693763
59,0,0,4.42659209313726,3.05322032020237
60,0,0,5.15355569101216,3.27416881475693
61,1.54114623923163,2.79750194831181,3.89435463920213,3.78507842133184
62,0.605099311245445,0.38543505276239,3.43924712032482,2.95446684419502
63,0.867979232049203,1.07194009731028,3.48423863469661,2.81431087946545
64,1.20411988963077,0.414432251405944,2.70798588007139,2.71177365233187
65,1.66508203708372,0.438846676065159,5.04739157095331,3.4231255942523
66,1.70727350631233,1.41417167586732,5.2505883761659,3.51093988049648
