patient,Q9UPY6_N,Q9UPY6_C,Q9UPY6.2_N,Q9UPY6.2_C
1,0,0,2.07188241590311,3.70854394455737
2,0,0,2.33390746037681,2.18612029893155
3,0,0,2.89806894631754,2.78301591601104
4,0,0,2.28914740194653,2.02637558101815
5,0,0,1.37408206383633,3.28298075244758
6,0,0,1.1703245516475,2.63858207398822
7,0,0,1.11655236299662,2.09091705601763
8,0,0,2.00446778521593,2.90769026385421
9,0,0,1.2826835908142,1.83854864500743
10,0,0,1.20596198192673,2.33349775985357
11,0,0,1.34209525168436,2.47886937555851
12,0,0,1.45169247217349,2.58384450425232
13,0,0,0.515298001309062,1.17950274618427
14,0,0,0.646074237091985,1.48421062616796
15,0,0,1.00055018545044,1.08800121420237
16,0,0,1.0824614158738,1.51529610411785
17,0,0,0.897094089564344,1.38208160143038
18,0,0,0.465069168594417,0.717993972516889
19,0,0,0.437504032146577,0.966222132106946
20,0,0,0.730517128558657,1.02003631236003
21,0,0,2.48149170736708,4.43835223355846
22,0,0,2.64660365953134,3.43210084975188
23,0,0,2.95278944175252,3.54496435840019
24,0,0,3.09888165437229,3.64198092339817
26,0.828463907918418,2.01420634412503,0,0
27,1.05454894679557,1.15110987804502,0,0
29,0,0,1.40696734197424,3.44408731102301
30,0,0,1.49715252776036,2.72404079444578
31,0,0,1.13203901989529,3.09372223778631
32,0,0,1.07332243863469,3.32787357619901
33,0,0,0.491253025659938,2.49400136392506
34,0,0,0.701730662850018,1.83843634479791
35,0,0,0.691190975850331,1.50772256710599
36,0,0,0.402144230684802,1.43054665296888
41,0,0,1.79389263048372,1.11850373773751
42,0,0,0.964035408132359,0.62644661862801
43,0,0,1.56455684993605,0.57730309333124
44,0,0,0.41732752522432,0.957511851178778
45,0,0,1.02608762984296,1.10006633721495
46,0,0,0.658805976358988,0.530798265524526
47,0,0,1.82703553548232,1.25140417623972
48,0,0,0.296592070044703,0.493469135859541
53,0,0,1.7252613421414,2.53442578334514
54,0,0,1.20992757856268,2.3796627823456
55,0,0,1.25619940373288,3.93061986072377
56,0,0,1.58250976000079,2.07133794741534
57,0,0,2.17307004532103,1.70060564841904
58,0,0,2.48157550671021,1.38281905007593
59,0,0,1.94504605390447,0.904239538933285
60,0,0,1.84373332707946,0.318308992090806
61,0,0,3.26574856454929,2.44519265642969
62,0,0,1.63862988213873,2.65084340448788
63,0,0,2.51436461215303,2.30668713968589
64,0,0,2.20488852774006,1.65989887977034
69,0,0,0.723838496904604,1.29123045562808
70,0,0,1.01431584826666,1.49800221353138
71,0,0,0.762950703717565,1.01812600647578
72,0,0,0.442558631685088,1.30415225982784
77,0,0,3.80975660803789,1.08845391515409
78,0,0,2.3783001141754,0.904244169791782
79,0,0,2.47028081525296,1.40683146867674
80,0,0,2.51268658931062,0.980293419842154
85,0.50732438131173,0.678355514200592,1.23431662184376,2.47561781787044
86,0.589082574289543,2.85854041641413,2.04170032868345,4.10317909316284
87,0.40634267519186,0.842238972879301,0.404395520991783,2.31214723890759
88,0.387429893378179,0.946245187505869,1.44121762748809,3.01381872902427
89,0,0,0.602021101420992,1.60300054888089
90,0,0,0.518709520034153,1.70978837592242
91,0,0,0.742219918277734,1.47474538025249
92,0,0,0.780819662133317,1.97681283161554
93,0,0,1.80624404194471,0.818109509056244
94,0,0,1.88939863361932,1.22197727994916
95,0,0,0.762587384810931,1.05753495392437
96,0,0,1.18871147124245,0.619034000635526
