patient,Q9Y2H2_N,Q9Y2H2_C,Q9Y2H2.3_N,Q9Y2H2.3_C,Q9Y2H2.4_N,Q9Y2H2.4_C
1,2.06841942396879,4.08095859964915,0,0,0,0
2,2.60961118424406,3.67735120398832,0,0,0,0
3,2.90149022930783,3.03611324552375,0,0,0,0
4,2.19414627597081,4.09349501251091,0,0,0,0
5,0.808217106564147,3.7587678993102,0,0,0,0
6,0.300888131492317,1.01636092919376,0,0,0,0
7,0.412904951900148,1.52367187409122,0,0,0,0
8,0.873189712331476,1.12635080903137,0,0,0,0
9,5.01622727804291,8.6042168419665,0,0,0,0
10,4.89062447246498,6.99244933935316,0,0,0,0
11,5.00019559981631,9.46999427769171,0,0,0,0
12,6.13005848040506,7.40495569288199,0,0,0,0
13,0.691030818411913,1.94440501686314,0,0,0,0
14,0.441603285957431,0.968986892597175,0,0,0,0
15,1.17714149337721,1.37431150022296,0,0,0,0
16,1.0161785671668,2.04476740169448,0,0,0,0
17,3.57618546996975,3.57528859529829,0,0,0,0
18,2.50116180692505,2.88151578948935,0,0,0,0
19,2.69615923913412,2.77149688617621,0,0,0,0
20,2.70105475924576,4.71788793231333,0,0,0,0
21,2.06193848454836,6.14313736039176,0,0,0,0
22,2.91964328072769,4.27249246621585,0,0,0,0
23,3.12724259521896,4.08784984772336,0,0,0,0
24,2.98503381021294,5.88209047619051,0,0,0,0
25,2.12090074815038,2.52552821320151,0,0,0,0
26,2.50955863637212,2.45306882480538,0,0,0,0
27,1.92270917596757,2.43943222090748,0,0,0,0
28,1.8201516970241,2.5086324620561,0,0,0,0
29,2.48275782191032,4.24281183076156,0,0,0,0
30,2.57452704820231,3.67876778300354,0,0,0,0
31,2.55226298221752,3.72072800284097,0,0,0,0
32,2.5734928461359,2.84378179533394,0,0,0,0
33,1.2933528552458,2.49090409892642,0,0,0,0
34,2.30573869249581,2.55709245762483,0,0,0,0
35,2.1278110570287,2.23145099709261,0,0,0,0
36,1.36650703096987,3.10766002870015,0,0,0,0
37,3.62372249028161,6.55058741222441,0,0,0,0
38,3.60219372388014,7.09628824466182,0,0,0,0
41,1.03091941565281,1.08008823215131,0,0,0,0
42,1.03621639774687,1.26756628860157,0,0,0,0
43,0.871994687752828,1.19966722129784,0,0,0,0
44,0.727560335221115,1.39290021218459,0,0,0,0
45,2.27620057772984,3.21989347373805,0,0,0,0
46,1.75550475378219,4.47488367986017,0,0,0,0
47,3.114556270267,4.12293705346537,0,0,0,0
48,1.86720193415285,3.33203056319498,0,0,0,0
49,0.460911756620544,1.11783194355356,0,0,0,0
50,0.439530834784202,0.920791716301659,0,0,0,0
51,1.0124072207459,1.33346467515807,0,0,0,0
52,0.456226518830752,1.21943553559974,0,0,0,0
53,3.80397914582454,5.89034318174553,0,0,0.936050391742775,1.29582293409396
54,2.32112958747564,3.17369901759173,0,0,0.938226232595559,0.93431794703016
55,2.68202782250674,5.11453098330525,0,0,0.927607580702669,1.45922126838723
56,4.91245020814451,5.10087028474457,0,0,1.01085177769855,1.55637530512054
57,1.50520316397547,2.76760820541727,0.583620959449189,6.99371842446461,0,0
58,1.62308463107107,1.95072375737542,0.690027719408057,1.00062145124514,0,0
59,1.56752240933059,2.13479789813251,0.724053292797425,1.24100460499844,0,0
60,1.88925563158315,3.20936971362485,0.813050476147896,1.27417400634864,0,0
61,2.82479370997665,3.73442758026086,0,0,0,0
62,2.32420133586978,3.39065005203871,0,0,0,0
63,2.51456606579586,4.38572307267239,0,0,0,0
64,2.89735326982526,3.85057810045069,0,0,0,0
69,0.95400548593113,0.631980870278582,0,0,0,0
70,1.6066628627211,0.708566210422352,0,0,0,0
71,0.989800384519317,1.01033367018875,0,0,0,0
72,0.762874407925039,1.30442105552615,0,0,0,0
81,0.872449128863793,0.905693958854479,0,0,0,0
82,0.99606489269884,1.20510344894844,0,0,0,0
83,0.975592094676634,1.44567650199681,0,0,0,0
84,1.06282762084485,0.950802625355354,0,0,0,0
85,2.34873176491126,7.08985052732226,0,0,0,0
86,2.96605970377601,5.77008253204857,0,0,0,0
88,2.18789322064188,7.53634348738253,0,0,0,0
89,0.454880635511107,1.69416027963955,0,0,0,0
90,0.555953106317087,1.1255537586872,0,0,0,0
91,0.732656529885789,0.923067055767566,0,0,0,0
92,0.748988688891841,1.49143077042894,0,0,0,0
93,1.22803184374943,1.26509280126056,0,0,0,0
94,1.02263233111636,1.16828816944246,0,0,0,0
95,0.543661481522197,0.949737994466736,0,0,0,0
96,0.813128675864343,1.30877260484802,0,0,0,0
97,0.723843664107478,0.741243213615578,0,0,0,0
98,0.734717882448019,0.935290799323062,0,0,0,0
99,0.721255136047754,1.73259744987978,0,0,0,0
100,0.745268034679075,1.34004136843916,0,0,0,0
