patient,Q9Y2X7_N,Q9Y2X7_C,Q9Y2X7.3_N,Q9Y2X7.3_C
1,1.20914860943239,2.08293189926486,0,0
2,1.12615831975756,1.14672342214515,0,0
3,1.2326682665639,1.27724934456765,0,0
4,0.909220429636637,1.32263621022883,0,0
5,1.19353939969471,1.36813727990833,0,0
6,0.777850155197244,1.21904589992819,0,0
7,0.817848271640303,0.734948221804526,0,0
8,1.31031600591751,1.03119248774707,0,0
13,0.723891967609943,1.11752454443803,0,0
14,1.11267709472494,1.09721932098841,0,0
15,1.15380361992062,1.05019475811902,0,0
16,0.919602373960164,0.885129572515144,0,0
17,1.36763480290024,1.36360668944634,0,0
18,1.06769314109509,0.783829207989555,0,0
19,0.974803455843543,0.819582187404506,0,0
20,1.01941828485707,1.31387337833708,0,0
21,0.728193588687924,0.781339617819927,0,0
22,0.856526306823022,1.11138873903291,0,0
23,1.04600499730259,0.785769045117692,0,0
24,0.945625940543457,1.04213634685823,0,0
29,1.05628650219593,1.29614945356967,0,0
30,1.10330643738568,1.29870286632188,0,0
31,0.822840509196929,1.06346391331396,0,0
32,0.602751186176288,1.07546959581797,0,0
33,0.447404338289057,1.22836231738613,0,0
34,0.944731975168815,1.29070550959843,0,0
35,0.728312138894066,1.01410732462617,0,0
36,0.33693352066637,0.85441785780849,0,0
37,1.15803103276833,0.950299987494167,0,0
38,0.725338343800614,1.14983818671514,0,0
39,1.07348854801173,0.817948616275275,0,0
40,0.758536756474819,1.12195017797936,0,0
41,1.14527714841147,1.12464210376348,0,0
42,0.884168003272194,1.05642696618886,0,0
43,0.755412677914068,1.26643105643156,0,0
44,0.556079984925847,1.18788001341967,0,0
45,0.754285609224143,1.0252781423013,0,0
46,0.46781455188121,1.16103180968884,0,0
47,0.936247325444304,1.79785529935489,0,0
48,0.394712710775673,0.975611269560741,0,0
49,0.505991529053443,1.35845157079631,0,0
50,0.818228171676037,0.799355501016378,0,0
51,1.48581490369907,1.47629698621942,0,0
52,1.24693557049718,0.775608296904637,0,0
57,0.997922953394392,1.77279545414439,1.87307936573863,4.9681330060802
58,0.974491326521609,1.11719519296945,1.86301120786105,2.34233777887718
59,0.875326027493956,1.03877388956536,1.61784721557357,2.15903832803767
60,0.936920959288475,0.547025605731731,2.11985598764038,6.89499738859977
61,1.15459513261383,1.6156443334179,0,0
62,0.872550205897851,2.6049298385995,0,0
63,0.825954839087414,1.9356974179824,0,0
64,0.923173754366791,1.42046878354379,0,0
81,0.872140486411478,1.20999926965244,0,0
82,0.959847113909875,1.29551485445796,0,0
83,0.963320322326725,1.13597448652509,0,0
84,1.14577737383246,0.920181126195944,0,0
85,0.867397812174723,0.968797257222377,0,0
86,1.15452252494901,1.58965229906825,0,0
87,0.782819483372472,0.857338248785866,0,0
88,0.772165127782127,1.68912568352005,0,0
89,0.674232928956093,1.49435979991951,0,0
90,0.654707832652983,1.20806454704,0,0
91,0.952578623584201,1.07099791103701,0,0
92,0.877195806742176,1.80036029820426,0,0
