patient,Q9Y4F9_N,Q9Y4F9_C,Q9Y4F9.2_N,Q9Y4F9.2_C
33,0.164950138235008,2.08761655758025,0,0
34,0.257463954375087,1.31030005388074,0,0
35,0.226154829097954,1.26075921787545,0,0
36,0.132079354844408,0.464145754757257,0,0
37,0,0,0.978655712495384,0.968206062734224
38,0,0,0.674235498537897,1.02712307701622
39,0,0,0.928590023793235,1.04042428241904
40,0,0,0.678854897592222,1.33966205130378
45,0.974509827320787,0.764853157034261,0,0
46,0.483897991574877,1.44618065085862,0,0
47,1.04916882465959,1.2385049584114,0,0
48,0.291633352029309,1.00283542370252,0,0
49,0.283799495188516,1.41467108376716,0.964287585351798,1.40252286234858
50,0.824254614292475,0.803541568070674,1.06414264009919,0.855450581818394
51,1.34253036756586,1.32684966082978,1.18452869508525,1.49510154899324
52,0.727791449755482,0.99812273229216,0.949804702280123,1.73667114890942
53,1.91936406960973,2.1897237659707,0,0
54,1.15987363608625,1.26771558761125,0,0
55,1.39482140912869,3.61206753279287,0,0
56,1.00022918915258,3.75361222943462,0,0
57,1.27778260589122,6.50684032695327,0,0
58,1.54566155036351,4.98507050666203,0,0
59,1.28857341445248,2.72721891940185,0,0
60,1.69701092600214,1.55421212329773,0,0
65,1.21305116044266,0.946115030179037,0,0
66,0.934603598457171,1.89222341787006,0,0
67,1.0809475730563,1.33306984797559,0,0
68,0.911077013005991,1.09923434254868,0,0
69,2.41270028028371,6.3697947859677,0,0
70,3.01505229828411,2.94689148581168,0,0
71,2.63327081697567,3.19740174111211,0,0
72,1.90879017883404,5.29663981339987,0,0
73,2.85947258987581,3.55359594315586,0,0
74,2.70778292954972,4.75638505251019,0,0
75,1.57396168561848,5.11284630578048,0,0
76,2.46533991720387,3.91668585928363,0,0
85,1.44192027646548,2.83018547557455,0,0
86,1.19707154343245,2.32376824042908,0,0
87,0.33860478820627,1.64375106121593,0,0
88,0.669594790303732,2.5578999410713,0,0
89,0.831614709189655,1.18082903345003,0,0
90,0.713591884585018,1.15144361769718,0,0
91,0.874626833930133,1.02763622056873,0,0
92,0.944525524160426,1.33601295148775,0,0
93,3.38051681254755,3.90049567627682,0,0
94,2.36579944994784,3.32354062882917,0,0
95,2.81974085315625,2.95111925854046,0,0
96,2.31639073191973,3.61776634683647,0,0
97,1.17845069329757,1.26330898571286,0,0
98,0.949839046025078,0.751279002196194,0,0
99,1.00254296196483,1.34847446033312,0,0
100,0.988561421398566,0.881242409511881,0,0
