patient,Q9Y6I3_N,Q9Y6I3_C,Q9Y6I3.1_N,Q9Y6I3.1_C,Q9Y6I3.3_N,Q9Y6I3.3_C
9,0.89159479113817,1.81563056475761,0,0,0,0
10,0.627128659683051,1.33184110782822,0,0,0,0
11,0.701885178221466,1.32553396802658,0,0,0,0
12,0.959067259577601,1.25869221356731,0,0,0,0
21,1.81500277652611,1.71413368498029,0,0,0,0
22,1.78009946260297,2.11201615392737,0,0,0,0
23,2.24681857475701,1.91434909463656,0,0,0,0
24,1.88665470303375,2.1092034587037,0,0,0,0
25,0,0,0,0,1.03318408564368,1.15251810134228
26,0,0,0,0,1.22895142326781,1.09023465900399
27,0,0,0,0,1.12421991928323,1.25277217463714
28,0,0,0,0,1.20866498756444,1.22260037945397
33,0.805392160243105,0.983187714204933,0,0,0,0
34,0.946911656196341,1.36567066400943,0,0,0,0
35,0.769741333535614,1.14341702697919,0,0,0,0
36,0.50698098331414,1.04513618319277,0,0,0,0
41,0.931845039305349,1.0382948843104,0,0,0,0
42,1.03469831646372,1.2019387213345,0,0,0,0
43,0.734992892496874,1.07738615150114,0,0,0,0
44,0.761957731764545,1.3983541420473,0,0,0,0
45,0.889936849011728,0.938839721747948,0,0,1.05445573350913,1.18454066002249
46,0.530054502210657,1.13392184785607,0,0,0.757840190793811,1.11696785201846
47,0.957419681933747,1.4042036041544,0,0,1.37435529530384,1.59188738511653
48,0.630161866346562,1.21117929065112,0,0,0.737631364641098,1.30253616163183
53,1.58356611619676,1.47035272760535,0,0,0,0
54,1.02875718577832,0.776238557285693,0,0,0,0
55,1.03768901147614,1.27197951041718,0,0,0,0
56,1.1713371000767,1.31510614194947,0,0,0,0
57,0,0,0,0,0.664373856976113,1.5539195186348
58,0,0,0,0,0.512117145514353,0.971974458682612
59,0,0,0,0,0.751689958866745,1.65562289730418
60,0,0,0,0,0.883129123468426,1.5477027170419
61,0.837867975022301,1.17890561239015,0,0,0,0
62,0.914341298612561,1.61353844401845,0,0,0,0
63,0.893385465105244,1.45412530605273,0,0,0,0
64,0.813591588057775,1.45638392772411,0,0,0,0
65,0,0,0,0,0.989120724246327,1.18517634179926
66,0,0,0,0,1.01598250898175,1.20592719697529
67,0,0,0,0,0.947509745617381,1.29264371560705
68,0,0,0,0,0.813767398190801,1.15200127884354
69,1.03568186532427,0.858412270743235,0,0,0,0
70,1.29881276053806,1.3186945049749,0,0,0,0
71,0.944318179283642,1.33291327553635,0,0,0,0
72,0.822219644876447,1.22588552272661,0,0,0,0
73,0,0,0,0,1.06223677131404,0.997753983950533
74,0,0,0,0,1.00903407670099,1.32765918752415
75,0,0,0,0,1.22788575931862,1.37267498692855
76,0,0,0,0,0.985453939242386,1.26148506823676
77,0.802410580612313,1.03436153254011,0,0,0.994996462144951,0.804927004664193
78,0.677759863256981,1.43943848079476,0,0,1.03909690834789,1.65985328731715
79,0.853633650743621,1.32045508270649,0,0,0.990729375749087,1.85697679455892
80,0.573451892440139,1.2061489908939,0,0,0.872146250595659,1.66616366550664
81,0.830398614244505,1.15894454882623,0,0,0.701841971544715,0.791772527100271
82,0.904018621089466,1.19654643747686,0,0,1.27187076558266,1.06621217253839
83,0.900384854474719,2.02537525057449,0,0,0.932962116079494,1.61603009259259
84,1.00586012530471,1.70529995599668,0,0,1.0820488934056,0.93872798102981
85,0,0,0,0,0.917038576108043,1.10714172134884
86,0,0,0,0,0.9118537521334,1.55933766550412
87,0,0,0,0,0.873119693002449,1.07982360361697
88,0,0,0,0,0.683281566365959,1.93289728938972
89,0.643954636713875,1.33156004123935,0.755656919053817,0.758600308070737,0.792981809630253,2.15793595186086
90,0.54492810244723,1.38962721797168,0.844113819002472,1.26844543685147,1.00062307410703,1.97141374787561
91,0.985355689402572,1.11408106788214,0.913817808399107,0.947962315068002,0.90323440920695,1.35404670873831
92,0.875654674697488,1.59179553963861,0.82334889607986,0.899088922588272,1.12593370200572,1.82418157882615
93,0.945137597326861,0.722396999022791,0,0,0,0
94,0.707070579705576,0.843842007376352,0,0,0,0
95,0.536544463007912,2.62506698609841,0,0,0,0
96,0.770589162437348,1.08218012167828,0,0,0,0
