patient,Q9UF33_N,Q9UF33_C,Q9UF33.3_N,Q9UF33.3_C
17,1.94163990789937,1.47299108832843,0,0
18,1.54266334724344,0.78212499498969,0,0
19,1.21940259289115,1.40899718086551,0,0
20,1.77165010666393,1.54150986251709,0,0
37,0.880468861020321,1.28033741296007,0,0
38,1.3297814231917,1.29435039789683,0,0
39,1.14076932641751,1.06216249822367,0,0
40,1.13472538013358,1.15686061176638,0,0
45,0.959833324145028,0.354575775952368,1.13869396928455,1.50876014483706
46,0.660257823841814,0.826419133726593,0.598531651891622,0.779393182669497
47,1.27131686789055,1.45471543819027,1.22927956049444,2.30836059433138
48,1.18545675064778,1.84286619990077,0.191743039081034,1.2966612560869
49,1.86911381799962,1.98435279719418,0,0
50,1.26251160192859,1.49158227033657,0,0
51,0.903124238516486,0.921369725742729,0,0
52,0.607001952135713,0.790130352287941,0,0
81,1.48359486447932,0.863908701854494,0,0
82,1.55693499082943,1.11349500713267,0,0
83,1.39988587731812,1.91600570613409,0,0
84,1.4899938862849,1.08320358671286,0,0
