patient,Q9NWX5_N,Q9NWX5_C,Q9NWX5.2_N,Q9NWX5.2_C
9,0.955544404905148,1.39398376897673,0,0
10,0.976544379304165,1.4201172525025,0,0
11,1.1915721563708,1.54987327513377,0,0
12,1.13739023578505,1.5434627889711,0,0
13,1.2454144168901,1.13973495342003,0,0
14,1.05221709755922,0.936142242819901,0,0
15,1.71580401506205,1.34671192214473,0,0
16,0.951795983947674,1.14156448286704,0,0
25,1.18035882684099,1.61958796435961,0,0
26,0.636161080138628,1.09576633735804,0,0
27,0.695267979942183,1.07921697550732,0,0
28,0.634906872724077,2.87080475933708,0,0
37,0.846608392560521,0.83738014626014,0,0
38,0.755318344240818,0.866807662167518,0,0
39,0.778994090896713,0.841414856568847,0,0
40,0.506187463503042,0.911886888931248,0,0
45,1.84101524857883,2.14609473241327,0,0
46,1.23711531050259,2.97940334798908,0,0
47,1.8421080999977,2.46203545514226,0,0
48,1.13771613858376,1.92033646045995,0,0
65,0,0,0.707698232776353,1.96581091844862
66,0,0,0.984577275552093,2.03893318861764
67,0,0,1.18534403529196,1.66803504687213
68,0,0,0.755102540985759,1.78307526674661
73,1.78388395557935,1.02064572656408,0,0
74,1.24060024894477,1.23008615714117,0,0
75,0.653592662387784,1.13956900568123,0,0
76,1.23758926895075,1.37788841989611,0,0
77,0.757052536251283,0.944174783272475,0,0
78,1.19195779110021,1.07021864736324,0,0
79,0.999212178044702,0.854678209150667,0,0
80,0.988237741719838,0.72307063932899,0,0
85,2.75504712317381,2.00897123457085,0,0
86,2.38475111336697,2.39300559649716,0,0
87,2.12372309071036,1.87756043432975,0,0
88,1.94482542255469,4.52005666756673,0,0
93,1.96321165660853,1.77558288887232,0,0
94,1.89863974924125,2.15236962825691,0,0
95,1.36496918897708,1.81589850658283,0,0
96,1.69315524480969,2.38502395762304,0,0
