patient,Q9Y2I1.3_N,Q9Y2I1.3_C,Q9Y2I1.4_N,Q9Y2I1.4_C
5,1.1082024016179,1.59726177362313,0,0
6,0.870160187436694,1.3105221694365,0,0
7,1.24919940385855,1.15703620843124,0,0
8,1.46839904644651,1.27640091535678,0,0
9,1.10165515363094,1.19721025526752,0,0
10,1.010810492956,0.780079353289262,0,0
11,1.07261878234173,1.14148963826785,0,0
12,0.965414469286192,1.24917985094952,0,0
17,0,0,1.26238445742188,0.907338343842298
18,0,0,0.978114800312424,1.31512670242646
19,0,0,1.04564028821634,1.23785865399039
20,0,0,1.08401309698076,1.09011157262048
25,0.955346048226975,0.783137804624589,0,0
26,1.19868311083006,0.863097475446517,0,0
27,0.944861346340083,0.715957884310092,0,0
28,0.751281291594992,1.14981051477189,0,0
33,0,0,0.85388643771365,0.825139120756817
34,0,0,0.681943119484856,0.851367358295572
35,0,0,0.701198425948009,1.02323316638843
36,0,0,0.520538198584943,0.791762063757055
61,0,0,0.861895414968041,1.15315315315315
62,0,0,0.689088529870653,1.9324827620917
63,0,0,0.830791685540289,1.30834465750667
64,0,0,0.846312094217122,1.22162665458755
65,0,0,1.16907564196977,1.60354091045758
66,0,0,1.33817960773719,1.57609950803742
67,0,0,1.32073868464284,1.77971493187037
68,0,0,1.16160251689623,1.81852942842576
73,0,0,1.60915674829917,1.13399134708228
74,0,0,0.914414246605134,1.25481402872157
75,0,0,0.949359186702256,1.3195045061826
76,0,0,0.728461091572517,0.961349830999274
77,0.704382752298513,1.11364135575289,1.31193505300573,1.16626359533709
78,0.986533918477311,1.22163897094751,1.26375730520561,0.927245255221808
79,0.743328596595825,1.74067034548299,0.993239495369487,1.44651946057962
80,0.69144563136826,0.833292241761887,1.01075423890518,0.906397962308023
81,1.18748791897012,1.24288668960452,0,0
82,1.01868210461205,1.49420110565585,0,0
83,0.912481153593382,1.16570340588394,0,0
84,1.00404956121699,1.20471063517223,0,0
