patient,Q9UET6_N,Q9UET6_C,Q9UET6.2_N,Q9UET6.2_C
9,0.737085344749067,1.85694507696512,0,0
10,0.802448310410784,1.3838509882503,0,0
11,0.6691902723381,1.351817105383,0,0
12,0.868501685035067,1.16956917752072,0,0
21,1.06867916552921,1.7549776764092,0,0
22,1.15715455674243,1.14584745986597,0,0
23,1.01114858617258,1.05367348556232,0,0
24,0.907544228889456,1.32299197759715,0,0
33,0.640895291118258,0.677274488076899,0,0
34,0.531648694179437,0.824508346621262,0,0
35,0.479646496040648,0.712232101835085,0,0
36,0.640776375413277,0.735533273875481,0,0
57,0,0,0.875475983699646,1.06869196339101
58,0,0,0.833947658494221,1.03302658828245
59,0,0,0.937470772930723,1.05432059589819
60,0,0,0.946330750217115,0.899316921638052
61,0.924830639180699,1.07922310131621,0,0
62,0.745487882000209,1.70768026861149,0,0
63,0.87331037275304,1.45946486985719,0,0
64,0.861554070346729,1.37349463368472,0,0
65,0.850915338696158,1.44588317564407,0,0
66,0.9453390203352,1.09398372628293,0,0
67,1.03159805678666,1.17234209076047,0,0
68,0.834678670501225,1.11863048844307,0,0
69,0.855815714053966,1.26602498242578,0,0
70,0.938273941491375,1.05310117341697,0,0
71,0.9184394095063,0.972151624939166,0,0
72,0.686005515600497,0.861991023630563,0,0
73,0.911535697679334,0.893393076045145,1.61432075610616,1.66631145074059
74,0.895100815826183,1.77476434036437,1.04212731713807,1.25631218700633
75,0.753397303123811,1.1671048738217,1.01248422518365,1.06495284670043
76,0.778268588578433,1.27610432430148,0.932647185333586,0.881917184313148
77,0.878172161409418,1.04457542586955,0,0
78,1.12010492907572,1.49830299889889,0,0
79,0.92352483969169,0.947924088347691,0,0
80,0.833059135954401,0.877012759893775,0,0
89,0.386661583338505,1.36748916098487,0,0
90,0.386984315568284,1.25845177192407,0,0
91,0.539454015090392,0.919183948504704,0,0
92,0.662897319726564,1.48692668481297,0,0
