patient,Q66PJ3_N,Q66PJ3_C,Q66PJ3.7_N,Q66PJ3.7_C
9,0,0,0.834613056636403,0.684565499351492
10,0,0,1.13705836575875,0.749198443579767
11,0,0,1.03375356679637,0.817597924773022
12,0,0,1.06520709035884,0.929106787721574
17,1.02669971537896,1.10181171030228,0,0
18,1.05194962270434,1.15727668557857,0,0
19,1.05266588757155,1.21933255423821,0,0
20,0.946165469750376,1.37604847982206,0,0
25,0,0,0.883072397468843,0.890049018100066
26,0,0,0.855072240879362,0.830624708142373
27,0,0,0.666943960539451,1.07932096090017
28,0,0,0.744027928852451,1.06732788439222
33,0.491163449734897,2.48932405255047,0.32106594691986,1.34211355596346
34,0.958145062292684,2.03292893149111,0.7917671837473,1.44786434956621
35,0.859403975239638,1.68414866664925,1.02175441844897,1.80562207239366
36,0.368218324757751,1.32739572178546,0.279609883937267,1.5042168213517
45,0,0,0.433531716802687,1.00339559824401
46,0,0,0.48961433075042,1.47408738693615
47,0,0,0.687089360949884,2.53555434430335
48,0,0,0.390501163784214,0.847813116879291
51,1.90746005216355,3.15304353989875,0,0
52,1.33908902923528,3.09596109126938,0,0
85,0,0,0.731010257594248,1.2300584734702
86,0,0,1.01421315252576,1.62189197721372
87,0,0,0.32348645121164,1.89845594228984
88,0,0,0.591785914537325,1.7105657461375
89,0.69409356129232,1.12720857876774,0,0
90,0.833480009475499,1.11126300730646,0,0
91,0.810026825191594,1.17902076801834,0,0
92,0.868008676169516,1.62647740371318,0,0
