patient,Q86WV1_N,Q86WV1_C,Q86WV1.2_N,Q86WV1.2_C
57,2.12966901438162,1.91072392453469,0,0
58,2.74357276120805,2.04744694198348,0,0
59,4.27359165144296,3.2220982014405,0,0
60,2.4737495550448,1.3127646283721,0,0
61,0.516626359912289,0.949664737113002,0,0
62,0.721798785861848,1.5720127759485,0,0
63,1.33579169281318,1.29913487368592,0,0
64,1.20283580931967,1.00313758117169,0,0
65,0.623566031531242,1.61409947725117,0,0
66,0.923558849876967,1.38182020917513,0,0
67,1.05222007612554,1.98138061633713,0,0
68,1.21905368475562,1.75326292792265,0,0
69,0.817015653001691,1.63918767375697,1.26533945096819,1.34756613587188
70,1.89929217133564,4.05119227482358,1.40608012393852,2.36018413897949
71,0.776666173866951,2.84061775449199,0.932715165543626,1.59799575791122
72,0.495418765572771,1.31898264503636,0.979727329146139,1.1783400349797
73,1.49708126126089,0.770359995095605,0,0
74,1.08387555304332,1.78454117925773,0,0
75,0.4232555626443,0.6864969108543,0,0
76,0.740312260365211,1.44647662826968,0,0
77,2.87409062378134,2.58842565293809,0,0
78,3.26007337128457,4.41640968046989,0,0
79,1.52326765154243,2.8768895531983,0,0
80,1.52395995779921,1.74830700962904,0,0
89,1.66329999326426,2.18091257743769,0,0
90,1.5292774656828,2.18057112193791,0,0
91,2.23666592315139,2.54797791026995,0,0
92,1.52709295904837,2.60205728839236,0,0
