patient,O00154_N,O00154_C,O00154.5_N,O00154.5_C,O00154.6_N,O00154.6_C
9,0,0,1.39908285727941,0.747519111332473,0,0
10,0,0,1.29139530964258,1.47664757420027,0,0
11,0,0,1.81099212907413,2.20138149967676,0,0
12,0,0,0.909468001881576,1.98317649337549,0,0
21,0.669086357947434,2.3433041301627,0,0,2.17737062615791,0.274646322402161
22,0.773663507956374,1.70490970856428,0,0,0.692647550848177,0.137779458984385
23,1.0721866618988,1.08366887180404,0,0,1.27618562518414,3.38309538433881
24,0.999874843554443,2.05208296084391,0,0,0.874945693697473,0.166699125606108
61,0,0,0.209367723654184,0.25348132319895,0,0
62,0,0,0.791765136250936,3.14213298184289,0,0
63,0,0,1.36927400577172,1.828828410338,0,0
64,0,0,1.4606111985321,1.40800376265104,0,0
