patient,Q9NP87_N,Q9NP87_C,Q9NP87.2_N,Q9NP87.2_C,Q9NP87.3_N,Q9NP87.3_C
17,1.97877270358296,2.71652216924524,0,0,0,0
18,1.75086189306249,1.47249012370893,0,0,0,0
19,1.23186793514802,2.43009088741021,0,0,0,0
20,1.90779318878632,2.74288481210177,0,0,0,0
21,0,0,0.860437567097324,2.12001258653241,0,0
22,0,0,0.825802391441158,0.986543516084848,0,0
23,0,0,0.988949764927998,1.03864805834228,0,0
24,0,0,0.96976640876615,1.46687520823307,0,0
53,0.875075904406199,1.27537702654367,0,0,0,0
54,0.90574128451051,0.984777527304791,0,0,0,0
55,0.948168728216475,1.19185722485173,0,0,0,0
56,0.674301471505694,1.34851976010049,0,0,0,0
69,0,0,0.892753142500618,0.867743024106711,0,0
70,0,0,1.14337271292406,1.09730589789294,0,0
71,0,0,1.06901846360451,1.2552954860946,0,0
72,0,0,0.761231417236177,1.06641029536433,0,0
81,0.620959387530952,1.08912126549207,0,0,0,0
82,2.64473675659165,1.14245884486154,0,0,0,0
83,0.908454594492718,0.755252844952525,0,0,0,0
84,1.1122448316425,0.937128336442038,0,0,0,0
89,1.47728658139474,0.568168911350197,0,0,0,0
90,0.887073748925417,0.499716049704327,0,0,0,0
91,0.483567353531143,0.432490165941595,0,0,0,0
92,0.527668221012322,0.608065230416547,0,0,0,0
97,0,0,0,0,0.7695822191166,0.456357418331833
98,0,0,0,0,0.90235430076461,0.844901030678474
99,0,0,0,0,0.989340473278955,0.835830522595643
100,0,0,0,0,0.767106306354731,2.58876667965653
