patient,Q02297.11_N,Q02297.11_C,Q02297.3_N,Q02297.3_C,Q02297.9_N,Q02297.9_C
29,0,0,0,0,0.504914989411917,1.45907060661729
30,0,0,0,0,0.622923982193516,2.62845605013035
31,0,0,0,0,0.859019568925507,1.78227499764958
32,0,0,0,0,0.492337630746777,1.76044220727571
57,0,0,0,0,0.47520453910267,1.19656427906906
58,0,0,0,0,0.969299034828118,1.42413580554141
59,0,0,0,0,0.786819909876453,1.15319854362799
60,0,0,0,0,0.700800545182372,1.19345168589226
73,0,0,1.47611136000719,0.781667422717767,0,0
74,0,0,1.13230847446677,1.511671509607,0,0
75,0,0,0.938398922521849,1.37278047506225,0,0
76,0,0,1.51080076344776,1.93830903904735,0,0
85,1.28136104674354,0.677195204759918,0.515265562103297,1.3223812888816,0,0
86,0.929715689886696,0.71616033665338,0.658229964541244,0.880620086564791,0,0
87,1.3187290847693,0.891179900672637,0.325618004467046,1.03266369704847,0,0
88,0.82846998711972,1.06941192232856,0.57251694070438,1.54913750678259,0,0
