patient,Q9Y4E6_N,Q9Y4E6_C,Q9Y4E6.2_N,Q9Y4E6.2_C
9,0,0,0.856756784528911,1.77463855235981
10,0,0,0.811595096437416,0.992796736438649
11,0,0,0.9302485691092,1.99573044791763
12,0,0,0.674342612287678,1.0538292384681
13,1.59572219130332,2.22160942771548,0,0
14,1.74628722268104,1.47435365602573,0,0
15,0.899699006900704,3.45697099025487,0,0
16,1.71757991442328,3.08769418517352,0,0
29,0.80391178756627,1.27555751480068,0,0
30,0.999694512437984,0.878876115126275,0,0
31,1.08543211022301,1.80494812511842,0,0
32,0.479565202259835,1.03368097044505,0,0
61,0,0,1.05289221256243,1.37944137621225
62,0,0,0.642882435324895,1.96832703538303
63,0,0,0.820130539333562,1.67203445815607
64,0,0,0.677610126047089,1.47613561292709
73,1.37810049856224,0.944465131674218,0,0
74,0.78695256418213,1.56456484412172,0,0
75,0.501407765986057,1.08415047890937,0,0
76,0.494178096361116,1.85588241378597,0,0
77,0,0,5.55610620871257,3.75628484149237
78,0,0,4.54056401484566,6.0620487580627
79,0,0,2.51847300736175,4.43053735272536
80,0,0,2.95882908158248,4.20458354654421
85,0,0,2.15699551497027,1.57804945368254
86,0,0,1.51587804931278,2.32250763627895
87,0,0,1.51209216715524,1.90204279239904
88,0,0,1.46413493056951,2.41891470406056
93,0.602111521940392,0.636780274060827,0.649056105798895,0.641676861128251
94,0.607950984169336,1.02947332708464,0.678965407784408,0.966374326363056
95,0.72220145713415,0.849036531859715,0.650393571604353,0.911110239281549
96,0.795299678556437,1.58153108342007,0.764559652758211,1.19239891433442
